energy_ev,total_up,Ge_p_up,Ge_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,4.45054478,1.04416674,0.00000000,2.70512233,2.16819917,1.39364628,0.00000000
-5.99399700,4.24400328,0.99803548,0.00000000,2.57889657,2.07474296,1.32241546,0.00000000
-5.98799400,4.04496984,0.95654161,0.00000000,2.46177480,1.98436238,1.25190563,0.00000000
-5.98199100,3.85467840,0.91986102,0.00000000,2.35464708,1.89746905,1.18271930,0.00000000
-5.97598799,3.67417430,0.88806919,0.00000000,2.25817749,1.81441322,1.11541965,0.00000000
-5.96998499,3.50428798,0.86113890,0.00000000,2.17279004,1.73547330,1.05051769,0.00000000
-5.96398199,3.34561540,0.83894076,0.00000000,2.09866117,1.66084769,0.98846105,0.00000000
-5.95797899,3.19850642,0.82124703,0.00000000,2.03571951,1.59064946,0.92962490,0.00000000
-5.95197599,3.06306194,0.80773847,0.00000000,1.98365311,1.52490457,0.87430547,0.00000000
-5.94597299,2.93914042,0.79801413,0.00000000,1.94192406,1.46355381,0.82271622,0.00000000
-5.93996998,2.82637353,0.79160387,0.00000000,1.90979058,1.40645872,0.77498701,0.00000000
-5.93396698,2.72419074,0.78798321,0.00000000,1.88633573,1.35341126,0.73116620,0.00000000
-5.92796398,2.63185200,0.78659001,0.00000000,1.87050236,1.30414708,0.69122554,0.00000000
-5.92196098,2.54848734,0.78684255,0.00000000,1.86113336,1.25836185,0.65506768,0.00000000
-5.91595798,2.47314204,0.78815838,0.00000000,1.85701603,1.21573010,0.62253602,0.00000000
-5.90995498,2.40482577,0.78997352,0.00000000,1.85692966,1.17592581,0.59342642,0.00000000
-5.90395198,2.34256398,0.79176128,0.00000000,1.85969475,1.13864405,0.56750034,0.00000000
-5.89794897,2.28544974,0.79305025,0.00000000,1.86422267,1.10362282,0.54449895,0.00000000
-5.89194597,2.23269423,0.79344105,0.00000000,1.86956436,1.07066434,0.52415757,0.00000000
-5.88594297,2.18367416,0.79262123,0.00000000,1.87495645,1.03965489,0.50621989,0.00000000
-5.87993997,2.13797449,0.79037802,0.00000000,1.87986348,1.01058270,0.49045150,0.00000000
-5.87393697,2.09542496,0.78660856,0.00000000,1.88401467,0.98355311,0.47665213,0.00000000
-5.86793397,2.05612910,0.78132732,0.00000000,1.88743398,0.95880037,0.46466611,0.00000000
-5.86193097,2.02048456,0.77467054,0.00000000,1.89046200,0.93669580,0.45439070,0.00000000
-5.85592796,1.98919386,0.76689738,0.00000000,1.89376860,0.91775175,0.44578183,0.00000000
-5.84992496,1.96326477,0.75838783,0.00000000,1.89835517,0.90262109,0.43885709,0.00000000
-5.84392196,1.94399990,0.74963717,0.00000000,1.90554584,0.89209202,0.43369569,0.00000000
-5.83791896,1.93297511,0.74124708,0.00000000,1.91696681,0.88707796,0.43043539,0.00000000
-5.83191596,1.93200692,0.73391341,0.00000000,1.93451376,0.88860255,0.42926647,0.00000000
-5.82591296,1.94310893,0.72841078,0.00000000,1.96030711,0.89777967,0.43042275,0.00000000
-5.81990995,1.96843801,0.72557407,0.00000000,1.99663581,0.91578873,0.43417010,0.00000000
-5.81390695,2.01023107,0.72627723,0.00000000,2.04589026,0.94384521,0.44079273,0.00000000
-5.80790395,2.07073359,0.73140969,0.00000000,2.11048571,0.98316717,0.45057769,0.00000000
-5.80190095,2.15212139,0.74185076,0.00000000,2.19277794,1.03493792,0.46379828,0.00000000
-5.79589795,2.25641779,0.75844258,0.00000000,2.29497312,1.10026578,0.48069692,0.00000000
-5.78989495,2.38540811,0.78196230,0.00000000,2.41903475,1.18014170,0.50146824,0.00000000
-5.78389195,2.54055426,0.81309406,0.00000000,2.56659040,1.27539587,0.52624304,0.00000000
-5.77788894,2.72291229,0.85240169,0.00000000,2.73884166,1.38665452,0.55507402,0.00000000
-5.77188594,2.93305577,0.90030287,0.00000000,2.93648071,1.51429849,0.58792381,0.00000000
-5.76588294,3.17100831,0.95704574,0.00000000,3.15961720,1.65842491,0.62465607,0.00000000
