energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,3.79950525,-4.24866752,0.01994161,-0.00831178,0.16026933,-0.21587960,0.51878300,-0.98629509,0.31012716,-0.22680984,0.04990970,-0.06017677,1.39830565,-1.73522895,0.24134202,-0.52772324,0.49424067,-0.44731375
-5.99399700,3.72579828,-4.19838126,0.02001172,-0.00884152,0.15595250,-0.22121480,0.49195205,-0.94866329,0.30402803,-0.22853655,0.04812817,-0.05691901,1.37168469,-1.71744189,0.23112257,-0.52963008,0.48484272,-0.43212054
-5.98799400,3.64867976,-4.15788938,0.01999395,-0.00945351,0.15158460,-0.22609912,0.46731008,-0.91254906,0.29752740,-0.23050339,0.04636344,-0.05399527,1.34380004,-1.70326318,0.22135530,-0.53082218,0.47490774,-0.41913863
-5.98199100,3.56660975,-4.12656312,0.01988063,-0.01014054,0.14711285,-0.23046836,0.44449583,-0.87803400,0.29051826,-0.23265278,0.04459875,-0.05140522,1.31407247,-1.69244546,0.21192449,-0.53118474,0.46425160,-0.40830843
-5.97598799,3.47826621,-4.10356844,0.01966680,-0.01089409,0.14249018,-0.23426801,0.42315939,-0.84515962,0.28291298,-0.23492231,0.04282000,-0.04914184,1.28200592,-1.68466254,0.20272582,-0.53062243,0.45271815,-0.39952943
-5.96998499,3.38260257,-4.08787784,0.01935039,-0.01170428,0.13767797,-0.23745338,0.40297518,-0.81392934,0.27464775,-0.23724529,0.04101639,-0.04719191,1.24720919,-1.67951361,0.19367121,-0.52906017,0.44018545,-0.39266283
-5.96398199,3.27889283,-4.07828414,0.01893220,-0.01255981,0.13264827,-0.23998927,0.38365288,-0.78431105,0.26568579,-0.23955114,0.03918084,-0.04553657,1.20941285,-1.67652818,0.18469267,-0.52644293,0.42657060,-0.38753462
-5.95797899,3.16676234,-4.07341686,0.01841592,-0.01344797,0.12738542,-0.24184921,0.36494593,-0.75624019,0.25601947,-0.24176579,0.03731020,-0.04415197,1.16848082,-1.67517211,0.17574509,-0.52273467,0.41183292,-0.38393935
-5.95197599,3.04620343,-4.07176192,0.01780798,-0.01435477,0.12188701,-0.24301445,0.34665749,-0.72962328,0.24567109,-0.24381209,0.03540539,-0.04301002,1.12441618,-1.67485496,0.16680790,-0.51791658,0.39597551,-0.38164449
-5.94597299,2.91757568,-4.07168540,0.01711726,-0.01526510,0.11616421,-0.24347285,0.32864392,-0.70434183,0.23469252,-0.24561046,0.03347130,-0.04207924,1.07736141,-1.67493905,0.15788577,-0.51198485,0.37904486,-0.38039535
