energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,2.99130815,0.00895074,0.19145085,0.01449251,0.00000000,1.22452729,1.14663320,0.04718116,1.18958268
-5.99399700,2.78430121,0.00823059,0.18061780,0.01363906,0.00000000,1.15775683,1.05555236,0.04439899,1.11335575
-5.98799400,2.58640036,0.00754026,0.17051212,0.01284627,0.00000000,1.09664564,0.96707518,0.04183384,1.04077238
-5.98199100,2.39942309,0.00688733,0.16119998,0.01211977,0.00000000,1.04124797,0.88214725,0.03951539,0.97254870
-5.97598799,2.22494707,0.00627895,0.15272410,0.01146391,0.00000000,0.99148376,0.80163430,0.03746937,0.90931090
-5.96998499,2.06429165,0.00572183,0.14510421,0.01088171,0.00000000,0.94714620,0.72630813,0.03571753,0.85158874
-5.96398199,1.91851075,0.00522221,0.13833863,0.01037505,0.00000000,0.90791474,0.65683675,0.03427768,0.79981324
-5.95797899,1.78839611,0.00478588,0.13240658,0.00994469,0.00000000,0.87337271,0.59377874,0.03316391,0.75431800
-5.95197599,1.67448953,0.00441817,0.12727140,0.00959046,0.00000000,0.84302852,0.53758136,0.03238683,0.71534390
-5.94597299,1.57710235,0.00412399,0.12288419,0.00931137,0.00000000,0.81633939,0.48858218,0.03195388,0.68304610
-5.93996998,1.49634015,0.00390782,0.11918768,0.00910576,0.00000000,0.79273614,0.44701343,0.03186958,0.65750279
-5.93396698,1.43213051,0.00377381,0.11612033,0.00897150,0.00000000,0.77164807,0.41300858,0.03213579,0.63872472
-5.92796398,1.38425186,0.00372570,0.11362019,0.00890603,0.00000000,0.75252652,0.38661039,0.03275189,0.62666488
-5.92196098,1.35236165,0.00376686,0.11162850,0.00890653,0.00000000,0.73486617,0.36778004,0.03371479,0.62122741
-5.91595798,1.33602239,0.00390028,0.11009286,0.00896997,0.00000000,0.71822315,0.35640656,0.03501890,0.62227551
-5.90995498,1.33472450,0.00412851,0.10896985,0.00909315,0.00000000,0.70222930,0.35231646,0.03665599,0.62963776
-5.90395198,1.34790547,0.00445358,0.10822710,0.00927275,0.00000000,0.68660230,0.35528313,0.03861497,0.64311290
