energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,2.70075736,1.19687258,1.09159908,0.07589503,0.11757928,0.01865878,1.83762306
-5.99399700,2.81636308,1.29942615,1.11277712,0.07819169,0.12940471,0.01951353,1.90256021
-5.98799400,2.94027790,1.40956722,1.13575444,0.08046821,0.14225174,0.02038514,1.97223855
-5.98199100,3.07221062,1.52693348,1.16042141,0.08272208,0.15613238,0.02127561,2.04646403
-5.97598799,3.21172290,1.65103526,1.18664228,0.08494793,0.17104568,0.02218693,2.12495794
-5.96998499,3.35822185,1.78125320,1.21425557,0.08713710,0.18697591,0.02312082,2.20735388
-5.96398199,3.51095773,1.91684012,1.24307531,0.08927736,0.20389120,0.02407854,2.29319796
-5.95797899,3.66902767,2.05692758,1.27289323,0.09135284,0.22174260,0.02506064,2.38195216
-5.95197599,3.83138549,2.20053693,1.30348206,0.09334417,0.24046368,0.02606680,2.47300141
-5.94597299,3.99685799,2.34659494,1.33459991,0.09522888,0.25997068,0.02709574,2.56566408
-5.93996998,4.16416713,2.49395328,1.36599578,0.09698193,0.28016323,0.02814507,2.65920604
-5.93396698,4.33195780,2.64141143,1.39741612,0.09857650,0.30092559,0.02921132,2.75285773
-5.92796398,4.49883003,2.78774209,1.42861225,0.09998490,0.32212842,0.03028994,2.84583383
-5.92196098,4.66337459,2.93171802,1.45934861,0.10117954,0.34363091,0.03137535,2.93735487
-5.91595798,4.82421055,3.07213940,1.48941131,0.10213404,0.36528326,0.03246114,3.02666992
-5.90995498,4.98002325,3.20786038,1.51861692,0.10282429,0.38692928,0.03354015,3.11307951
-5.90395198,5.12960108,3.33781392,1.54682096,0.10322945,0.40840918,0.03460476,3.19595791
-5.89794897,5.27186960,3.46103385,1.57392578,0.10333291,0.42956215,0.03564705,3.27477372
-5.89194597,5.40592153,3.57667332,1.59988753,0.10312306,0.45022895,0.03665906,3.34910806
-5.88594297,5.53104146,3.68401915,1.62472170,0.10259393,0.47025415,0.03763303,3.41866954
-5.87993997,5.64672444,3.78250163,1.64850705,0.10174561,0.48948816,0.03856159,3.48330546
-5.87393697,5.75268775,3.87169965,1.67138760,0.10058447,0.50778888,0.03943800,3.54300875
-5.86793397,5.84887568,3.95134146,1.69357250,0.09912321,0.52502312,0.04025627,3.59792041
-5.86193097,5.93545749,4.02130123,1.71533368,0.09738066,0.54106767,0.04101133,3.64832744
-5.85592796,6.01281866,4.08159219,1.73700118,0.09538146,0.55581027,0.04169912,3.69465629
-5.84992496,6.08154635,4.13235686,1.75895627,0.09315553,0.56915035,0.04231661,3.73746213
-5.84392196,6.14240964,4.17385515,1.78162247,0.09073745,0.58099972,0.04286185,3.77741421
-5.83791896,6.19633552,4.20645123,1.80545457,0.08816574,0.59128339,0.04333395,3.81527798
-5.83191596,6.24438157,4.23059958,1.83092604,0.08548208,0.59994032,0.04373300,3.85189420
-5.82591296,6.28770619,4.24683114,1.85851504,0.08273047,0.60692441,0.04406005,3.88815587
-5.81990995,6.32753717,4.25573965,1.88868952,0.07995639,0.61220555,0.04431697,3.92498337
-5.81390695,6.36513952,4.25796870,1.92189157,0.07720594,0.61577084,0.04450634,3.96329842
-5.80790395,6.40178279,4.25419954,1.95852175,0.07452508,0.61762574,0.04463140,4.00399743
-5.80190095,6.43870884,4.24513946,1.99892361,0.07195880,0.61779532,0.04469588,4.04792477
-5.79589795,6.47710006,4.23151081,2.04336896,0.06955036,0.61632525,0.04470391,4.09584648
-5.78989495,6.51804869,4.21404030,2.09204437,0.06734064,0.61328255,0.04465994,4.14842492
