energy_ev,total_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,8.00828564,6.62214837,5.73102594,0.01091520,0.74330924,1.78737809,0.00000000
-5.99399700,8.09551790,6.65838107,5.79442408,0.01037772,0.76524647,1.81167503,0.00000000
-5.98799400,8.18759234,6.68902505,5.86141690,0.00993940,0.78845686,1.83697878,0.00000000
-5.98199100,8.28412034,6.71426125,5.93191269,0.00959752,0.81262134,1.86313845,0.00000000
-5.97598799,8.38455704,6.73425843,6.00570691,0.00934823,0.83739561,1.88998191,0.00000000
-5.96998499,8.48822152,6.74916867,6.08249261,0.00918677,0.86241843,1.91732501,0.00000000
-5.96398199,8.59431921,6.75912561,6.16187196,0.00910769,0.88732037,1.94498024,0.00000000
-5.95797899,8.70196507,6.76424530,6.24336786,0.00910506,0.91173289,1.97276426,0.00000000
-5.95197599,8.81020575,6.76462898,6.32643468,0.00917268,0.93529721,2.00050360,0.00000000
-5.94597299,8.91803942,6.76036699,6.41046708,0.00930418,0.95767271,2.02803816,0.00000000
-5.93996998,9.02443188,6.75154295,6.49480644,0.00949320,0.97854454,2.05522227,0.00000000
-5.93396698,9.12832830,6.73823710,6.57874454,0.00973341,0.99762997,2.08192300,0.00000000
-5.92796398,9.22865996,6.72052803,6.66152431,0.01001866,1.01468353,2.10801613,0.00000000
-5.92196098,9.32434629,6.69849192,6.74233819,0.01034287,1.02950051,2.13337988,0.00000000
-5.91595798,9.41429256,6.67219887,6.82032468,0.01070016,1.04191885,2.15788689,0.00000000
-5.90995498,9.49738441,6.64170617,6.89456404,0.01108472,1.05181944,2.18139533,0.00000000
-5.90395198,9.57248071,6.60704877,6.96407445,0.01149080,1.05912478,2.20373981,0.00000000
-5.89794897,9.63840639,6.56822754,7.02780994,0.01191270,1.06379640,2.22472291,0.00000000
-5.89194597,9.69394719,6.52519632,7.08466150,0.01234467,1.06583097,2.24410840,0.00000000
-5.88594297,9.73784831,6.47784906,7.13346250,0.01278089,1.06525560,2.26161676,0.00000000
-5.87993997,9.76881846,6.42600840,7.17299976,0.01321545,1.06212263,2.27692389,0.00000000
-5.87393697,9.78554088,6.36941723,7.20203059,0.01364237,1.05650409,2.28966330,0.00000000
-5.86793397,9.78669201,6.30773464,7.21930630,0.01405557,1.04848634,2.29943222,0.00000000
-5.86193097,9.77096812,6.24053739,7.22360188,0.01444895,1.03816505,2.30580144,0.00000000
-5.85592796,9.73711953,6.16732776,7.21375090,0.01481645,1.02564091,2.30832878,0.00000000
-5.84992496,9.68399122,6.08754832,7.18868466,0.01515216,1.01101611,2.30657546,0.00000000
-5.84392196,9.61056825,6.00060326,7.14747354,0.01545041,0.99439186,2.30012465,0.00000000
-5.83791896,9.51602364,5.90588602,7.08936876,0.01570590,0.97586696,2.28860121,0.00000000
-5.83191596,9.39976622,5.80281194,7.01384216,0.01591384,0.95553737,2.27169145,0.00000000
-5.82591296,9.26148550,5.69085440,6.92062164,0.01607009,0.93349681,2.24916177,0.00000000
-5.81990995,9.10119078,5.56958273,6.80972024,0.01617125,0.90983809,2.22087511,0.00000000
-5.81390695,8.91924197,5.43869973,6.68145670,0.01621483,0.88465523,2.18680406,0.00000000
-5.80790395,8.71636969,5.29807660,6.53646604,0.01619929,0.85804587,2.14703980,0.00000000
-5.80190095,8.49368298,5.14778329,6.37569915,0.01612409,0.83011399,2.10179636,0.00000000
-5.79589795,8.25266362,4.98811231,6.20041080,0.01598978,0.80097255,2.05140971,0.00000000
-5.78989495,7.99514664,4.81959439,6.01213638,0.01579795,0.77074588,1.99633169,0.00000000
-5.78389195,7.72328739,4.64300501,5.81265798,0.01555122,0.73957167,1.93711901,0.00000000
-5.77788894,7.43951650,4.45936088,5.60396124,0.01525315,0.70760229,1.87441783,0.00000000
-5.77188594,7.14648422,4.26990659,5.38818476,0.01490819,0.67500542,1.80894471,0.00000000
-5.76588294,6.84699672,4.07609149,5.16756418,0.01452151,0.64196386,1.74146478,0.00000000
-5.75987994,6.54394689,3.87953797,4.94437338,0.01409894,0.60867453,1.67276823,0.00000000
-5.75387694,6.24024262,3.68200238,4.72086534,0.01364675,0.57534663,1.60364633,0.00000000
-5.74787394,5.93873551,3.48533018,4.49921495,0.01317155,0.54219912,1.53486782,0.00000000
-5.74187094,5.64215287,3.29140737,4.28146625,0.01268016,0.50945742,1.46715707,0.00000000
-5.73586793,5.35303554,3.10211014,4.06948582,0.01217939,0.47734977,1.40117453,0.00000000
-5.72986493,5.07368378,2.91925480,3.86492411,0.01167601,0.44610308,1.33750049,0.00000000
-5.72386193,4.80611288,2.74454986,3.66918571,0.01117654,0.41593860,1.27662251,0.00000000
-5.71785893,4.55201977,2.57955216,3.48340926,0.01068722,0.38706762,1.21892688,0.00000000
-5.71185593,4.31276102,2.42562837,3.30845720,0.01021386,0.35968716,1.16469427,0.00000000
-5.70585293,4.08934254,2.28392302,3.14491510,0.00976181,0.33397602,1.11409936,0.00000000
-5.69984992,3.88242043,2.15533406,2.99309989,0.00933587,0.31009117,1.06721421,0.00000000
-5.69384692,3.69231208,2.04049619,2.85307607,0.00894026,0.28816468,1.02401502,0.00000000
-5.68784392,3.51901647,1.93977223,2.72467860,0.00857858,0.26830117,0.98439159,0.00000000
-5.68184092,3.36224206,1.85325231,2.60754119,0.00825377,0.25057605,0.94815903,0.00000000
-5.67583792,3.22144077,1.78076047,2.50112835,0.00796808,0.23503428,0.91507090,0.00000000
-5.66983492,3.09584641,1.72186802,2.40476996,0.00772310,0.22169005,0.88483330,0.00000000
-5.66383192,2.98451580,1.67591283,2.31769675,0.00751969,0.21052702,0.85711927,0.00000000
-5.65782891,2.88637123,1.64202372,2.23907552,0.00735802,0.20149933,0.83158280,0.00000000
-5.65182591,2.80024272,1.61914893,2.16804291,0.00723756,0.19453330,0.80787221,0.00000000
-5.64582291,2.72490897,1.60608769,2.10373682,0.00715711,0.18952975,0.78564234,0.00000000
-5.63981991,2.65913586,1.60152400,2.04532470,0.00711481,0.18636680,0.76456533,0.00000000
-5.63381691,2.60171196,1.60406169,1.99202816,0.00710817,0.18490330,0.74433977,0.00000000
-5.62781391,2.55148011,1.61225981,1.94314355,0.00713418,0.18498261,0.72469809,0.00000000
-5.62181091,2.50736501,1.62466773,1.89805839,0.00718931,0.18643669,0.70541219,0.00000000
-5.61580790,2.46839634,1.63985909,1.85626344,0.00726966,0.18909054,0.68629733,0.00000000
-5.60980490,2.43372746,1.65646408,1.81736079,0.00737101,0.19276666,0.66721434,0.00000000
-5.60380190,2.40264975,1.67319941,1.78106798,0.00748898,0.19728970,0.64807028,0.00000000
-5.59779890,2.37460262,1.68889551,1.74721860,0.00761914,0.20249097,0.62881780,0.00000000
-5.59179590,2.34917961,1.70252054,1.71575977,0.00775714,0.20821285,0.60945331,0.00000000
-5.58579290,2.32613076,1.71320086,1.68674685,0.00789887,0.21431294,0.59001415,0.00000000
-5.57978989,2.30536169,1.72023770,1.66033606,0.00804061,0.22066785,0.57057510,0.00000000
-5.57378689,2.28692977,1.72311974,1.63677536,0.00817913,0.22717657,0.55124427,0.00000000
-5.56778389,2.27103780,1.72153160,1.61639415,0.00831186,0.23376331,0.53215875,0.00000000
-5.56178089,2.25802560,1.71535801,1.59959234,0.00843700,0.24037970,0.51348002,0.00000000
-5.55577789,2.24835991,1.70468381,1.58682906,0.00855357,0.24700638,0.49538952,0.00000000
-5.54977489,2.24262293,1.68978976,1.57861154,0.00866156,0.25365375,0.47808425,0.00000000
-5.54377189,2.24149977,1.67114428,1.57548434,0.00876188,0.26036208,0.46177274,0.00000000
-5.53776888,2.24576498,1.64939146,1.57801904,0.00885644,0.26720070,0.44667133,0.00000000
-5.53176588,2.25626825,1.62533535,1.58680459,0.00894808,0.27426641,0.43300087,0.00000000
-5.52576288,2.27391933,1.59992112,1.60243809,0.00904054,0.28168107,0.42098377,0.00000000
-5.51975988,2.29967188,1.57421323,1.62551585,0.00913836,0.28958838,0.41084144,0.00000000
-5.51375688,2.33450631,1.54937098,1.65662461,0.00924672,0.29814990,0.40279196,0.00000000
-5.50775388,2.37941112,1.52662211,1.69633224,0.00937134,0.30754034,0.39704803,0.00000000
-5.50175088,2.43536265,1.50723458,1.74517791,0.00951823,0.31794224,0.39381491,0.00000000
-5.49574787,2.50330294,1.49248731,1.80366103,0.00969350,0.32954009,0.39328833,0.00000000
-5.48974487,2.58411553,1.48364012,1.87222884,0.00990314,0.34251404,0.39565228,0.00000000
-5.48374187,2.67859926,1.48190369,1.95126245,0.01015274,0.35703336,0.40107648,0.00000000
-5.47773887,2.78744019,1.48840984,2.04106104,0.01044726,0.37324976,0.40971349,0.00000000
-5.47173587,2.91118201,1.50418300,2.14182466,0.01079079,0.39129084,0.42169543,0.00000000
-5.46573287,3.05019560,1.53011316,2.25363572,0.01118628,0.41125379,0.43713021,0.00000000
-5.45972986,3.20464860,1.56693124,2.37643983,0.01163539,0.43319964,0.45609741,0.00000000
-5.45372686,3.37447610,1.61518724,2.51002673,0.01213820,0.45714820,0.47864379,0.00000000
-5.44772386,3.55935367,1.67523188,2.65401224,0.01269318,0.48307394,0.50477858,0.00000000
-5.44172086,3.75867423,1.74720225,2.80782229,0.01329702,0.51090310,0.53446876,0.00000000
-5.43571786,3.97153020,1.83101199,2.97068020,0.01394462,0.54051198,0.56763444,0.00000000
-5.42971486,4.19670232,1.92634637,3.14159826,0.01462911,0.57172687,0.60414464,0.00000000
-5.42371186,4.43265646,2.03266256,3.31937484,0.01534192,0.60432535,0.64381368,0.00000000
-5.41770885,4.67754951,2.14919546,3.50259765,0.01607295,0.63803937,0.68639848,0.00000000
-5.41170585,4.92924510,2.27496881,3.68965415,0.01681076,0.67255977,0.73159688,0.00000000
-5.40570285,5.18533943,2.40881189,3.87874913,0.01754289,0.70754242,0.77904738,0.00000000
-5.39969985,5.44319732,2.54938130,4.06792985,0.01825614,0.74261562,0.82833033,0.00000000
-5.39369685,5.69999780,2.69518745,4.25511810,0.01893695,0.77738874,0.87897085,0.00000000
-5.38769385,5.95278837,2.84462547,4.43814882,0.01957181,0.81146171,0.93044347,0.00000000
-5.38169085,6.19854656,2.99600958,4.61481400,0.02014764,0.84443522,0.98217855,0.00000000
