energy_ev,total_up,Au_p_up,Au_d_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up
-6.00000000,2.94205350,0.31503747,2.30070680,0.26086761,0.01060643,0.04138482,0.19878558
-5.99399700,2.92061720,0.31079778,2.28406929,0.25788173,0.01038461,0.04193668,0.19841976
-5.98799400,2.89301625,0.30662555,2.26220295,0.25482150,0.01013989,0.04240920,0.19765950
-5.98199100,2.85969209,0.30260600,2.23545302,0.25173098,0.00987654,0.04279988,0.19652196
-5.97598799,2.82116677,0.29882199,2.20423181,0.24865274,0.00959890,0.04310726,0.19503172
-5.96998499,2.77802783,0.29535223,2.16900655,0.24562686,0.00931123,0.04333070,0.19322003
-5.96398199,2.73091275,0.29226968,2.13028717,0.24269030,0.00901756,0.04347035,0.19112395
-5.95797899,2.68049370,0.28964013,2.08861431,0.23987619,0.00872163,0.04352691,0.18878532
-5.95197599,2.62746336,0.28752103,2.04454832,0.23721349,0.00842674,0.04350158,0.18624950
-5.94597299,2.57252204,0.28596049,1.99865951,0.23472669,0.00813576,0.04339586,0.18356414
-5.93996998,2.51636668,0.28499657,1.95151991,0.23243562,0.00785100,0.04321152,0.18077785
-5.93396698,2.45968179,0.28465665,1.90369682,0.23035542,0.00757431,0.04295047,0.17793881
-5.92796398,2.40313243,0.28495707,1.85574792,0.22849662,0.00730699,0.04261477,0.17509350
-5.92196098,2.34735893,0.28590292,1.80821782,0.22686522,0.00704993,0.04220658,0.17228545
-5.91595798,2.29297333,0.28748797,1.76163590,0.22546291,0.00680359,0.04172824,0.16955407
-5.90995498,2.24055685,0.28969484,1.71651484,0.22428724,0.00656815,0.04118232,0.16693376
-5.90395198,2.19065830,0.29249520,1.67334960,0.22333192,0.00634350,0.04057167,0.16445298
-5.89794897,2.14379268,0.29585026,1.63261631,0.22258710,0.00612943,0.03989951,0.16213371
-5.89194597,2.10043973,0.29971137,1.59477079,0.22203960,0.00592562,0.03916957,0.15999099
-5.88594297,2.06104202,0.30402081,1.56024621,0.22167328,0.00573174,0.03838608,0.15803270
-5.87993997,2.02600233,0.30871272,1.52944982,0.22146936,0.00554756,0.03755390,0.15625959
-5.87393697,1.99568019,0.31371429,1.50275862,0.22140671,0.00537290,0.03667849,0.15466545
-5.86793397,1.97038757,0.31894707,1.48051393,0.22146228,0.00520774,0.03576592,0.15323760
-5.86193097,1.95038389,0.32432852,1.46301510,0.22161147,0.00505219,0.03482279,0.15195743
-5.85592796,1.93587060,0.32977361,1.45051270,0.22182854,0.00490647,0.03385618,0.15080117
