energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.48743462,0.27754008,0.00000000,1.54838415,1.28839796,0.06350597,1.49625851
-5.99399700,3.44970431,0.27573902,0.00000000,1.53008876,1.27532139,0.06329693,1.47797005
-5.98799400,3.40092160,0.27388824,0.00000000,1.50773231,1.25796131,0.06281065,1.45416309
-5.98199100,3.34238297,0.27214786,0.00000000,1.48199639,1.23686063,0.06207082,1.42533032
-5.97598799,3.27561326,0.27068421,0.00000000,1.45365332,1.21265208,0.06110656,1.39207453
-5.96998499,3.20231314,0.26966319,0.00000000,1.42354302,1.18603527,0.05995120,1.35508914
-5.96398199,3.12429857,0.26924338,0.00000000,1.39254617,1.15775070,0.05864081,1.31513504
-5.95797899,3.04343487,0.26956888,0.00000000,1.36155480,1.12855216,0.05721277,1.27301470
-5.95197599,2.96156864,0.27076235,0.00000000,1.33144142,1.09917848,0.05570420,1.22954481
-5.94597299,2.88046066,0.27291861,0.00000000,1.30302830,1.07032627,0.05415057,1.18552864
-5.93996998,2.80172298,0.27609905,0.00000000,1.27705815,1.04262467,0.05258442,1.14172950
-5.93396698,2.72676313,0.28032708,0.00000000,1.25416766,1.01661351,0.05103422,1.09884648
-5.92796398,2.65673807,0.28558507,0.00000000,1.23486505,0.99272567,0.04952359,1.05749356
-5.92196098,2.59251999,0.29181274,0.00000000,1.21951287,0.97127456,0.04807073,1.01818294
-5.91595798,2.53467530,0.29890732,0.00000000,1.20831668,0.95244715,0.04668817,0.98131336
-5.90995498,2.48345770,0.30672537,0.00000000,1.20132033,0.93630277,0.04538290,0.94716363
-5.90395198,2.43881526,0.31508634,0.00000000,1.19840799,0.92277761,0.04415664,0.91589163
-5.89794897,2.40041083,0.32377770,0.00000000,1.19931280,0.91169455,0.04300654,0.88753853
-5.89194597,2.36765456,0.33256152,0.00000000,1.20363188,0.90277775,0.04192592,0.86203787
-5.88594297,2.33974639,0.34118212,0.00000000,1.21084679,0.89567097,0.04090529,0.83922874
-5.87993997,2.31572635,0.34937464,0.00000000,1.22034851,0.88995891,0.03993338,0.81887235
-5.87393697,2.29452983,0.35687408,0.00000000,1.23146581,0.88519016,0.03899821,0.80067085
-5.86793397,2.27504492,0.36342442,0.00000000,1.24349543,0.88090071,0.03808813,0.78428757
-5.86193097,2.25616902,0.36878751,0.00000000,1.25573277,0.87663686,0.03719270,0.76936734
-5.85592796,2.23686179,0.37275129,0.00000000,1.26750146,0.87197641,0.03630350,0.75555605
-5.84992496,2.21619209,0.37513703,0.00000000,1.27818052,0.86654704,0.03541467,0.74251842
-5.84392196,2.19337667,0.37580532,0.00000000,1.28722758,0.86004136,0.03452327,0.72995317
-5.83791896,2.16780907,0.37466046,0.00000000,1.29419737,0.85222766,0.03362944,0.71760492
-5.83191596,2.13907769,0.37165321,0.00000000,1.29875441,0.84295632,0.03273623,0.70527251
-5.82591296,2.10697254,0.36678177,0.00000000,1.30067953,0.83216155,0.03184936,0.69281340
-5.81990995,2.07148101,0.36009094,0.00000000,1.29987004,0.81985870,0.03097671,0.68014415
-5.81390695,2.03277317,0.35166964,0.00000000,1.29633377,0.80613740,0.03012768,0.66723736
-5.80790395,1.99117818,0.34164676,0.00000000,1.29017746,0.79115124,0.02931247,0.65411531
-5.80190095,1.94715340,0.33018586,0.00000000,1.28159044,0.77510452,0.02854131,0.64084095
-5.79589795,1.90124830,0.31747867,0.00000000,1.27082470,0.75823708,0.02782370,0.62750706
-5.78989495,1.85406549,0.30373796,0.00000000,1.25817260,0.74080816,0.02716765,0.61422409
-5.78389195,1.80622118,0.28918993,0.00000000,1.24394372,0.72308008,0.02657911,0.60110781
-5.77788894,1.75830750,0.27406672,0.00000000,1.22844228,0.70530287,0.02606140,0.58826735
-5.77188594,1.71085858,0.25859902,0.00000000,1.21194646,0.68770056,0.02561492,0.57579449
-5.76588294,1.66432240,0.24300940,0.00000000,1.19469097,0.67045991,0.02523696,0.56375471
-5.75987994,1.61903969,0.22750650,0.00000000,1.17685375,0.65372215,0.02492168,0.55218072
-5.75387694,1.57523089,0.21228021,0.00000000,1.15854764,0.63757805,0.02466032,0.54106846
-5.74787394,1.53299156,0.19749811,0.00000000,1.13981734,0.62206654,0.02444155,0.53037610
-5.74187094,1.49229624,0.18330314,0.00000000,1.12064180,0.60717683,0.02425191,0.52002573
-5.73586793,1.45301008,0.16981262,0.00000000,1.10094168,0.59285377,0.02407645,0.50990768
-5.72986493,1.41490738,0.15711842,0.00000000,1.08059129,0.57900608,0.02389936,0.49988706
-5.72386193,1.37769559,0.14528830,0.00000000,1.05943427,0.56551679,0.02370471,0.48981214
-5.71785893,1.34104318,0.13436812,0.00000000,1.03730176,0.55225532,0.02347711,0.47952390
-5.71185593,1.30460958,0.12438495,0.00000000,1.01403191,0.53909047,0.02320245,0.46886612
-5.70585293,1.26807538,0.11535051,0.00000000,0.98948962,0.52590338,0.02286842,0.45769553
-5.69984992,1.23117109,0.10726508,0.00000000,0.96358507,0.51259997,0.02246508,0.44589122
-5.69384692,1.19370267,0.10012142,0.00000000,0.93629003,0.49912194,0.02198522,0.43336297
-5.68784392,1.15557273,0.09390850,0.00000000,0.90765104,0.48545594,0.02142460,0.42005779
-5.68184092,1.11679620,0.08861497,0.00000000,0.87779859,0.47164034,0.02078209,0.40596463
-5.67583792,1.07750980,0.08423208,0.00000000,0.84695207,0.45776938,0.02005963,0.39111688
-5.66983492,1.03797515,0.08075606,0.00000000,0.81541998,0.44399444,0.01926208,0.37559252
-5.66383192,0.99857543,0.07818970,0.00000000,0.78359574,0.43052261,0.01839693,0.35951223
-5.65782891,0.95980612,0.07654328,0.00000000,0.75194933,0.41761259,0.01747397,0.34303542
-5.65182591,0.92226057,0.07583477,0.00000000,0.72101525,0.40556826,0.01650482,0.32635450
-5.64582291,0.88661125,0.07608932,0.00000000,0.69137764,0.39473040,0.01550247,0.30968784
