energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,8.49678639,0.01327372,2.05322970,4.36649707,4.63169602,1.11976340,0.00000000
-5.99399700,8.86199881,0.01350788,2.15088946,4.49841279,4.87027607,1.14594206,0.00000000
-5.98799400,9.23744030,0.01367514,2.25269490,4.63849968,5.11664968,1.17118464,0.00000000
-5.98199100,9.62203421,0.01377310,2.35842700,4.78737629,5.36993890,1.19542129,0.00000000
-5.97598799,10.01452908,0.01380077,2.46779949,4.94561218,5.62911426,1.21859558,0.00000000
-5.96998499,10.41345882,0.01375851,2.58044519,5.11368773,5.89297482,1.24066386,0.00000000
-5.96398199,10.81710159,0.01364804,2.69590235,5.29195163,6.16012813,1.26159401,0.00000000
-5.95797899,11.22343937,0.01347230,2.81360160,5.48057725,6.42897138,1.28136353,0.00000000
-5.95197599,11.63012060,0.01323540,2.93285452,5.67951916,6.69767531,1.29995681,0.00000000
-5.94597299,12.03442928,0.01294244,3.05284463,5.88847147,6.96417287,1.31736186,0.00000000
-5.93996998,12.43326365,0.01259940,3.17262190,6.10683003,7.22615470,1.33356632,0.00000000
-5.93396698,12.82312824,0.01221289,3.29110173,6.33366070,7.48107359,1.34855330,0.00000000
-5.92796398,13.20014268,0.01179006,3.40706953,6.56767600,7.72615987,1.36229692,0.00000000
-5.92196098,13.56007017,0.01133835,3.51919140,6.80722240,7.95844943,1.37475823,0.00000000
-5.91595798,13.89836791,0.01086530,3.62603170,7.05028032,8.17482549,1.38588153,0.00000000
-5.90995498,14.21026042,0.01037842,3.72607758,7.29447841,8.37207434,1.39559165,0.00000000
-5.90395198,14.49083579,0.00988495,3.81777023,7.53712325,8.54695466,1.40379229,0.00000000
-5.89794897,14.73516287,0.00939177,3.89954234,7.77524485,8.69627899,1.41036583,0.00000000
-5.89194597,14.93842647,0.00890523,3.96986051,8.00565737,8.81700469,1.41517463,0.00000000
-5.88594297,15.09607560,0.00843105,4.02727131,8.22503399,8.90633128,1.41806402,0.00000000
-5.87993997,15.20397899,0.00797423,4.07044899,8.42999345,8.96180004,1.41886686,0.00000000
-5.87393697,15.25858082,0.00753899,4.09824285,8.61719556,8.98139105,1.41740955,0.00000000
-5.86793397,15.25704909,0.00712875,4.10972192,8.78344192,8.96361297,1.41351930,0.00000000
-5.86193097,15.19740905,0.00674608,4.10421483,8.92577759,8.90758062,1.40703226,0.00000000
-5.85592796,15.07865432,0.00639279,4.08134261,9.04158955,8.81307581,1.39780214,0.00000000
