energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,5.72118748,1.11894293,0.70817946,0.02428897,1.36618384,0.05237887,2.45644077,2.59898504,0.79037386
-5.99399700,5.59006519,1.11487338,0.70575645,0.02226170,1.31125622,0.05054757,2.42829201,2.51858444,0.76084198
-5.98799400,5.44882654,1.10668855,0.70104569,0.02031244,1.25411181,0.04869090,2.39396118,2.43393182,0.73159713
-5.98199100,5.29936795,1.09463017,0.69416718,0.01845377,1.19547208,0.04682744,2.35400075,2.34574755,0.70306990
-5.97598799,5.14369534,1.07899240,0.68527207,0.01669547,1.13608831,0.04497457,2.30903595,2.25487592,0.67569057
-5.96998499,4.98387725,1.06011438,0.67454036,0.01504465,1.07671655,0.04314843,2.25975767,2.16226234,0.64987580
-5.96398199,4.82200008,1.03837209,0.66217797,0.01350584,1.01809356,0.04136394,2.20691467,2.06892904,0.62601615
-5.95797899,4.66012636,1.01416998,0.64841308,0.01208123,0.96091501,0.03963498,2.15130510,1.97595001,0.60446481
-5.95197599,4.50025689,0.98793237,0.63349195,0.01077087,0.90581632,0.03797453,2.09376696,1.88442585,0.58552780
-5.94597299,4.34429700,0.96009490,0.61767405,0.00957299,0.85335723,0.03639495,2.03516755,1.79545897,0.56945621
-5.93996998,4.19402721,0.93109628,0.60122677,0.00848432,0.80401007,0.03490816,1.97639156,1.71012969,0.55644029
-5.93396698,4.05107847,0.90137034,0.58441973,0.00750032,0.75815229,0.03352588,1.91832811,1.62947356,0.54660586
-5.92796398,3.91691171,0.87133874,0.56751881,0.00661557,0.71606302,0.03225973,1.86185652,1.55446036,0.54001275
-5.92196098,3.79280177,0.84140425,0.55078020,0.00582399,0.67792362,0.03112133,1.80783138,1.48597494,0.53665544
-5.91595798,3.67982546,0.81194496,0.53444450,0.00511910,0.64382190,0.03012224,1.75706694,1.42480034,0.53646558
-5.90995498,3.57885353,0.78330924,0.51873129,0.00449426,0.61375933,0.02927388,1.71032142,1.37160332,0.53931628
-5.90395198,3.49054639,0.75581179,0.50383413,0.00394284,0.58766099,0.02858727,1.66828175,1.32692252,0.54502792
-5.89794897,3.41535337,0.72973061,0.48991637,0.00345837,0.56538725,0.02807278,1.63154910,1.29115936,0.55337512
-5.89194597,3.35351529,0.70530498,0.47710794,0.00303469,0.54674677,0.02773972,1.60062592,1.26457193,0.56409463
-5.88594297,3.30507017,0.68273440,0.46550310,0.00266598,0.53150994,0.02759592,1.57590487,1.24727174,0.57689381
-5.87993997,3.26986171,0.66217845,0.45515942,0.00234686,0.51942219,0.02764734,1.55766020,1.23922351,0.59145929
-5.87393697,3.24755043,0.64375739,0.44609786,0.00207239,0.51021647,0.02789761,1.54604180,1.24024785,0.60746567
-5.86793397,3.23762706,0.62755347,0.43830408,0.00183809,0.50362451,0.02834768,1.54107230,1.25002679,0.62458387
-5.86193097,3.23942786,0.61361268,0.43173083,0.00163993,0.49938618,0.02899547,1.54264734,1.26811197,0.64248892
-5.85592796,3.25215165,0.60194689,0.42630118,0.00147429,0.49725692,0.02983570,1.55053895,1.29393530,0.66086705
-5.84992496,3.27487801,0.59253609,0.42191270,0.00133796,0.49701286,0.03085983,1.56440213,1.32682193,0.67942185
-5.84392196,3.30658660,0.58533075,0.41844208,0.00122805,0.49845362,0.03205610,1.58378420,1.36600507,0.69787958
-5.83791896,3.34617709,0.58025399,0.41575015,0.00114199,0.50140295,0.03340977,1.60813685,1.41064260,0.71599341
-5.83191596,3.39248966,0.57720361,0.41368707,0.00107748,0.50570729,0.03490355,1.63683054,1.45983501,0.73354670
-5.82591296,3.44432586,0.57605391,0.41209735,0.00103241,0.51123264,0.03651817,1.66917069,1.51264433,0.75035550
-5.81990995,3.50046973,0.57665724,0.41082464,0.00100488,0.51786017,0.03823309,1.70441555,1.56811396,0.76627017
-5.81390695,3.55970926,0.57884555,0.40971608,0.00099312,0.52548089,0.04002739,1.74179508,1.62528876,0.78117635
-5.80790395,3.62085821,0.58243179,0.40862608,0.00099551,0.53399010,0.04188071,1.78053066,1.68323541,0.79499554
-5.80190095,3.68277825,0.58721153,0.40741949,0.00101050,0.54328193,0.04377439,1.81985513,1.74106248,0.80768522
