energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,2.04547246,-3.49520591,1.99564949,-3.82906801,0.64254678,-0.60299448,0.00529227,-0.01572467,0.45152136,-0.52894094,0.00629256,-0.01895496,0.77168623,-1.76109403,0.35499374,-0.83664674,0.08568387,-0.15116525
-5.99399700,1.97288645,-3.45541226,1.88417805,-3.85990603,0.62586570,-0.58654115,0.00488420,-0.01487031,0.43695263,-0.52034905,0.00611656,-0.01816305,0.74276586,-1.74624865,0.34176500,-0.83142007,0.08340142,-0.15008069
-5.98799400,1.91011468,-3.40439546,1.78082555,-3.87479501,0.61088162,-0.56924219,0.00456082,-0.01400142,0.42358928,-0.51120536,0.00603962,-0.01732481,0.71884393,-1.72432324,0.33087026,-0.82250670,0.08164235,-0.14842411
-5.98199100,1.85808076,-3.34266907,1.68644967,-3.87323966,0.59806470,-0.55138468,0.00431924,-0.01312661,0.41188889,-0.50169764,0.00606249,-0.01645045,0.69997047,-1.69542711,0.32226727,-0.80994720,0.08041422,-0.14620541
-5.97598799,1.81753660,-3.27092782,1.60170641,-3.85504527,0.58783392,-0.53326413,0.00415664,-0.01225402,0.40226155,-0.49201546,0.00618596,-0.01555023,0.68614070,-1.65979234,0.31588733,-0.79384556,0.07972021,-0.14344356
-5.96998499,1.78904805,-3.19004929,1.52705008,-3.82034451,0.58054414,-0.51518121,0.00407039,-0.01139131,0.39505630,-0.48235037,0.00641079,-0.01463429,0.67730196,-1.61777531,0.31164053,-0.77436967,0.07955967,-0.14016701
-5.96398199,1.77298200,-3.10108940,1.46273655,-3.76961300,0.57647447,-0.49743806,0.00405820,-0.01054550,0.39054922,-0.47289575,0.00673772,-0.01371253,0.67335945,-1.56985450,0.30942058,-0.75174989,0.07992848,-0.13641386
-5.95797899,1.76949501,-3.00527119,1.40882914,-3.70367214,0.57581832,-0.48033413,0.00411816,-0.00972300,0.38893354,-0.46384598,0.00716732,-0.01279444,0.67418080,-1.51662421,0.30910883,-0.72627568,0.08081918,-0.13223174
-5.95197599,1.77852429,-2.90396647,1.36520692,-3.62367817,0.57867559,-0.46416146,0.00424873,-0.00892957,0.39031220,-0.45539473,0.00769987,-0.01188908,0.67959897,-1.45878459,0.31057749,-0.69829035,0.08222096,-0.12767732
-5.94597299,1.79978117,-2.79867059,1.33157505,-3.53109731,0.58504712,-0.44919946,0.00444875,-0.00817027,0.39469300,-0.44773217,0.00833518,-0.01100497,0.68941383,-1.39712783,0.31369195,-0.66818402,0.08411939,-0.12281555
-5.93996998,1.83274800,-2.69097086,1.30747685,-3.42766777,0.59483181,-0.43570910,0.00471731,-0.00744955,0.40198675,-0.44104111,0.00907235,-0.01015004,0.70339235,-1.33252130,0.31831229,-0.63638515,0.08649600,-0.11771857
-5.93396698,1.87667910,-2.58250960,1.29230766,-3.31534964,0.60782666,-0.42392683,0.00505369,-0.00677127,0.41200842,-0.43549205,0.00990956,-0.00933164,0.72126780,-1.26588808,0.32429400,-0.60335079,0.08932783,-0.11246434
-5.92796398,1.93060629,-2.47494307,1.28533031,-3.19626514,0.62372973,-0.41405825,0.00545714,-0.00613870,0.42448137,-0.43123732,0.01084383,-0.00855652,0.74273832,-1.19818559,0.33148813,-0.56955594,0.09258683,-0.10713503
-5.92196098,1.99334978,-2.36989814,1.28569215,-3.07263151,0.64214618,-0.40627189,0.00592678,-0.00555470,0.43904463,-0.42840461,0.01187077,-0.00783084,0.76746530,-1.13038318,0.33974106,-0.53548256,0.09623936,-0.10181522
-5.91595798,2.06353475,-2.26892847,1.29244374,-2.94668993,0.66259738,-0.40069338,0.00646138,-0.00502168,0.45526297,-0.42709030,0.01298438,-0.00716023,0.79507208,-1.06343961,0.34889402,-0.50160843,0.10024574,-0.09659007
-5.90995498,2.13961377,-2.17347219,1.30455904,-2.82063348,0.68453278,-0.39740026,0.00705919,-0.00454177,0.47263969,-0.42735295,0.01417689,-0.00654982,0.82514335,-0.99828119,0.35878264,-0.46839639,0.10455998,-0.09154339
-5.90395198,2.21989518,-2.08481317,1.32095706,-2.69653792,0.70734447,-0.39641789,0.00771777,-0.00411688,0.49063145,-0.42920747,0.01543859,-0.00600429,0.85722575,-0.93578151,0.36923676,-0.43628441,0.10912967,-0.08675577
-5.89794897,2.30257695,-2.00404772,1.34052460,-2.57629808,0.73038391,-0.39771676,0.00843382,-0.00374877,0.50866506,-0.43262055,0.01675783,-0.00552797,0.89082990,-0.87674345,0.38008055,-0.40567663,0.11389624,-0.08230292
-5.89194597,2.38578538,-1.93205841,1.36213995,-2.46157324,0.75298039,-0.40121146,0.00920304,-0.00343914,0.52615532,-0.43750765,0.01812100,-0.00512484,0.92543420,-0.82188419,0.39113308,-0.37693594,0.11879531,-0.07825411
-5.88594297,2.46761761,-1.86949630,1.38469686,-2.35374350,0.77446056,-0.40676155,0.01002010,-0.00318974,0.54252356,-0.44373208,0.01951259,-0.00479864,0.96049027,-0.77182356,0.40220949,-0.35037808,0.12375752,-0.07467093
-5.87993997,2.54618679,-1.81677248,1.40712844,-2.25387923,0.79416850,-0.41417455,0.01087848,-0.00300237,0.55721608,-0.45110635,0.02091541,-0.00455289,0.99543023,-0.72707618,0.41312271,-0.32626754,0.12870948,-0.07160636
-5.87393697,2.61966825,-1.77405933,1.42843010,-2.16272461,0.81148547,-0.42321108,0.01177058,-0.00287897,0.56972190,-0.45939605,0.02231084,-0.00439093,1.02967546,-0.68804743,0.42368566,-0.30481529,0.13357509,-0.06910414
-5.86793397,2.68634507,-1.74130153,1.44768112,-2.08069542,0.82584868,-0.43359202,0.01268769,-0.00282163,0.57958905,-0.46832625,0.02367910,-0.00431598,1.06264664,-0.65503323,0.43371386,-0.28617826,0.13827695,-0.06719851
-5.86193097,2.74465134,-1.71823602,1.46406384,-2.00789099,0.83676834,-0.44500768,0.01362009,-0.00283260,0.58643894,-0.47759020,0.02499972,-0.00433108,1.09377460,-0.62822328,0.44302842,-0.27046060,0.14273799,-0.06591428
-5.85592796,2.79321141,-1.70442011,1.47687998,-1.94411887,0.84384229,-0.45712853,0.01455722,-0.00291428,0.58997811,-0.48686021,0.02625195,-0.00443909,1.12251172,-0.60770759,0.45145912,-0.25771645,0.14688316,-0.06526716
-5.84992496,2.83087354,-1.69926593,1.48556353,-1.88893061,0.84676775,-0.46961724,0.01548787,-0.00306913,0.59000702,-0.49580013,0.02741528,-0.00464265,1.14834314,-0.59348558,0.45884753,-0.24795403,0.15064112,-0.06526446
-5.84392196,2.85673665,-1.70207972,1.48968963,-1.84166647,0.84534960,-0.48214140,0.01640036,-0.00329966,0.58642552,-0.50407893,0.02846993,-0.00494408,1.17079755,-0.58547718,0.46504993,-0.24114077,0.15394586,-0.06590588
-5.83791896,2.87016918,-1.71210367,1.48897928,-1.80150623,0.83950501,-0.49438655,0.01728280,-0.00360826,0.57923485,-0.51138476,0.02939739,-0.00534530,1.18945696,-0.58353526,0.46993999,-0.23720928,0.15673823,-0.06718458
-5.83191596,2.87081938,-1.72855807,1.48329969,-1.76752353,0.82926421,-0.50606869,0.01812340,-0.00399715,0.56853609,-0.51743880,0.03018095,-0.00584767,1.20396520,-0.58745873,0.47341104,-0.23606366,0.15896721,-0.06908819
-5.82591296,2.85861675,-1.75068178,1.47266046,-1.73874065,0.81476749,-0.51694590,0.01891068,-0.00446813,0.55452524,-0.52200809,0.03080612,-0.00645183,1.21403468,-0.59700539,0.47537786,-0.23758601,0.16059106,-0.07159992
-5.81990995,2.83376494,-1.77776858,1.45720580,-1.71418118,0.79625858,-0.52682830,0.01963378,-0.00502249,0.53748523,-0.52491679,0.03126107,-0.00715758,1.21945143,-0.61190415,0.47577791,-0.24164271,0.16157807,-0.07469959
-5.81390695,2.79672653,-1.80919774,1.43720330,-1.69291782,0.77407481,-0.53558590,0.02028271,-0.00566076,0.51777513,-0.52605509,0.03153697,-0.00796365,1.22007813,-0.63186571,0.47457204,-0.24809028,0.16190714,-0.07836449
-5.80790395,2.74820068,-1.84445705,1.41302974,-1.67411343,0.74863458,-0.54315391,0.02084854,-0.00638253,0.49581725,-0.52538545,0.03162824,-0.00886750,1.21585521,-0.65659140,0.47174473,-0.25678044,0.16156800,-0.08257008
