energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,5.01608530,-5.01604294,1.57483912,-1.57482617,0.54143750,-0.54143300,0.03094748,-0.03094723,0.56649639,-0.56649146,0.09490929,-0.09490784,1.47997999,-1.47996748,0.14617782,-0.14617756,1.33833941,-1.33832819
-5.99399700,4.73598390,-4.73594157,1.49547024,-1.49545688,0.51788255,-0.51787832,0.02829513,-0.02829488,0.54076246,-0.54075748,0.09072984,-0.09072839,1.40148571,-1.40147333,0.14373746,-0.14373713,1.23891292,-1.23890162
-5.98799400,4.46042451,-4.46038253,1.41595677,-1.41594305,0.49574545,-0.49574154,0.02571955,-0.02571932,0.51528656,-0.51528158,0.08643602,-0.08643457,1.32448065,-1.32446844,0.14120519,-0.14120478,1.14105374,-1.14104247
-5.98199100,4.19160383,-4.19156252,1.33675825,-1.33674424,0.47530756,-0.47530401,0.02324322,-0.02324300,0.49029730,-0.49029237,0.08205691,-0.08205547,1.24950763,-1.24949565,0.13856138,-0.13856090,1.04559593,-1.04558480
-5.97598799,3.93152917,-3.93148880,1.25834330,-1.25832910,0.45683095,-0.45682782,0.02088544,-0.02088524,0.46602091,-0.46601610,0.07762394,-0.07762252,1.17705229,-1.17704057,0.13578532,-0.13578475,0.95328934,-0.95327847
-5.96998499,3.68200066,-3.68196149,1.18118174,-1.18116742,0.44055859,-0.44055592,0.01866214,-0.01866195,0.44267797,-0.44267333,0.07316983,-0.07316844,1.10754248,-1.10753106,0.13285683,-0.13285616,0.86478802,-0.86477749
-5.96398199,3.44460431,-3.44456659,1.10573802,-1.10572368,0.42671533,-0.42671317,0.01658585,-0.01658567,0.42048079,-0.42047636,0.06872773,-0.06872637,1.04135091,-1.04133984,0.12975814,-0.12975737,0.78064271,-0.78063260
-5.95797899,3.22071451,-3.22067846,1.03246619,-1.03245192,0.41550944,-0.41550782,0.01466574,-0.01466558,0.39963124,-0.39962708,0.06433042,-0.06432910,0.97880036,-0.97878966,0.12647575,-0.12647489,0.70129725,-0.70128763
-5.95197599,3.01150401,-3.01146984,0.96180623,-0.96179216,0.40713423,-0.40713320,0.01290784,-0.01290769,0.38031910,-0.38031526,0.06000966,-0.06000839,0.92017074,-0.92016045,0.12300222,-0.12300126,0.62708869,-0.62707962
-5.94597299,2.81795947,-2.81792739,0.89418184,-0.89416806,0.40176940,-0.40176899,0.01131527,-0.01131514,0.36272063,-0.36271716,0.05579569,-0.05579447,0.86570727,-0.86569743,0.11933768,-0.11933663,0.55825070,-0.55824221
