energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.09608182,0.08015796,0.94548091,1.59678883,1.21650298,0.10136070,1.12202624,0.43132247,0.72824341
-5.99399700,6.24849312,0.08245200,0.95639492,1.62272512,1.24862000,0.10501932,1.16566703,0.43974520,0.74346100
-5.98799400,6.38463891,0.08468013,0.96328117,1.64256499,1.27800609,0.10848472,1.20807203,0.44670208,0.75646915
-5.98199100,6.50347830,0.08682122,0.96616395,1.65630276,1.30444497,0.11173144,1.24886553,0.45216552,0.76709761
-5.97598799,6.60419120,0.08885198,0.96514070,1.66403669,1.32774269,0.11473669,1.28766026,0.45612930,0.77522550
-5.96998499,6.68616869,0.09074748,0.96037621,1.66595908,1.34772777,0.11748046,1.32405999,0.45860622,0.78077976
-5.96398199,6.74900104,0.09248188,0.95209496,1.66234374,1.36425161,0.11994569,1.35766361,0.45962527,0.78373292
-5.95797899,6.79246488,0.09402927,0.94057199,1.65353135,1.37718931,0.12211836,1.38807064,0.45922845,0.78410030
-5.95197599,6.81651133,0.09536464,0.92612283,1.63991382,1.38644105,0.12398771,1.41488823,0.45746750,0.78193701
-5.94597299,6.82125623,0.09646486,0.90909296,1.62191837,1.39193418,0.12554647,1.43773963,0.45440071,0.77733481
-5.93996998,6.80697359,0.09730975,0.88984746,1.59999235,1.39362605,0.12679112,1.45627383,0.45009012,0.77041910
-5.93396698,6.77409280,0.09788302,0.86876121,1.57458949,1.39150747,0.12772229,1.47017609,0.44459902,0.76134597
-5.92796398,6.72319974,0.09817328,0.84621009,1.54615827,1.38560659,0.12834504,1.47917898,0.43799023,0.75029965
-5.92196098,6.65504123,0.09817479,0.82256350,1.51513283,1.37599319,0.12866928,1.48307340,0.43032490,0.73748998
-5.91595798,6.57053184,0.09788810,0.79817833,1.48192666,1.36278272,0.12871008,1.48171904,0.42166206,0.72315024
-5.90995498,6.47076166,0.09732050,0.77339452,1.44692910,1.34613995,0.12848790,1.47505365,0.41205883,0.70753489
-5.90395198,6.35700323,0.09648621,0.74853198,1.41050444,1.32628166,0.12802872,1.46310062,0.40157120,0.69091728
-5.89794897,6.23071557,0.09540628,0.72388887,1.37299316,1.30347804,0.12736400,1.44597429,0.39025526,0.67358708
-5.89194597,6.09354347,0.09410823,0.69974084,1.33471491,1.27805230,0.12653042,1.42388255,0.37816874,0.65584727
-5.88594297,5.94731007,0.09262544,0.67634103,1.29597241,1.25037821,0.12556936,1.39712635,0.36537267,0.63801053
-5.87993997,5.79400132,0.09099623,0.65392029,1.25705575,1.22087531,0.12452612,1.36609598,0.35193303,0.62039498
-5.87393697,5.63574136,0.08926269,0.63268752,1.21824628,1.19000177,0.12344886,1.33126411,0.33792214,0.60331913
-5.86793397,5.47475846,0.08746934,0.61282965,1.17981963,1.15824474,0.12238728,1.29317565,0.32341974,0.58709610
-5.86193097,5.31334177,0.08566161,0.59451111,1.14204724,1.12610865,0.12139101,1.25243476,0.30851358,0.57202723
-5.85592796,5.15379023,0.08388419,0.57787265,1.10519625,1.09410160,0.12050784,1.20968957,0.29329952,0.55839519
-5.84992496,4.99835518,0.08217942,0.56302949,1.06952748,1.06272049,0.11978184,1.16561509,0.27788095,0.54645692
