energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.88817104,0.68816873,0.42154716,0.02539178,0.25961031,0.41008680,0.19918922,0.01277338,1.03795558
-5.99399700,1.87013719,0.68136214,0.42104760,0.02446188,0.25850806,0.41410165,0.19891966,0.01209589,1.02894111
-5.98799400,1.85103816,0.67469526,0.42058242,0.02342981,0.25720588,0.41761012,0.19835342,0.01140879,1.01900897
-5.98199100,1.83130392,0.66838314,0.42017807,0.02231234,0.25574037,0.42065634,0.19748894,0.01072340,1.00838498
-5.97598799,1.81148040,0.66268609,0.41988964,0.02112800,0.25416981,0.42332314,0.19633641,0.01005088,0.99735702
-5.96998499,1.79223070,0.65791053,0.41980430,0.01989647,0.25257596,0.42573265,0.19491851,0.00940197,0.98627430
-5.96398199,1.77433035,0.65440727,0.42004309,0.01863791,0.25106493,0.42804501,0.19327064,0.00878685,0.97554345
-5.95797899,1.75865583,0.65256698,0.42076058,0.01737238,0.24976684,0.43045491,0.19144055,0.00821495,0.96562127
-5.95197599,1.74616660,0.65281269,0.42214239,0.01611921,0.24883415,0.43318629,0.18948721,0.00769485,0.95700412
-5.94597299,1.73788042,0.65558936,0.42440062,0.01489651,0.24843876,0.43648492,0.18747915,0.00723415,0.95021408
-5.93996998,1.73484273,0.66135081,0.42776696,0.01372066,0.24876785,0.44060943,0.18549214,0.00683945,0.94578233
-5.93396698,1.73809089,0.67054412,0.43248411,0.01260602,0.25001841,0.44582077,0.18360636,0.00651621,0.94423008
-5.92796398,1.74861443,0.68359221,0.43879541,0.01156458,0.25239087,0.45237071,0.18190316,0.00626878,0.94604794
-5.92196098,1.76731281,0.70087497,0.44693336,0.01060584,0.25608179,0.46048983,0.18046161,0.00610031,0.95167439
-5.91595798,1.79495250,0.72270992,0.45710745,0.00973671,0.26127604,0.47037538,0.17935493,0.00601273,0.96147424
-5.90995498,1.83212528,0.74933299,0.46949185,0.00896151,0.26813873,0.48217977,0.17864709,0.00600675,0.97571833
-5.90395198,1.87920972,0.78088046,0.48421365,0.00828207,0.27680717,0.49600016,0.17838961,0.00608177,0.99456518
-5.89794897,1.93633800,0.81737294,0.50134213,0.00769788,0.28738342,0.51186972,0.17861900,0.00623590,1.01804578
-5.89194597,2.00336988,0.85870230,0.52087987,0.00720631,0.29992752,0.52975106,0.17935465,0.00646593,1.04605239
