energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.48540640,1.27107521,1.18384850,1.57215633,3.21327745,0.01271543,0.35640825,0.02074471,1.13092437
-5.99399700,6.35087585,1.23354192,1.18952086,1.51018579,3.13647478,0.01259855,0.34531010,0.02031817,1.09245003
-5.98799400,6.21181839,1.19393180,1.19465274,1.44619833,3.05796987,0.01244073,0.33377663,0.01986096,1.05357781
-5.98199100,6.06980916,1.15263454,1.19936558,1.38089208,2.97855973,0.01224539,0.32195980,0.01937862,1.01463671
-5.97598799,5.92659999,1.11006810,1.20385867,1.31498800,2.89909242,0.01201643,0.31002033,0.01887645,0.97597839
-5.96998499,5.78405233,1.06666736,1.20839328,1.24921084,2.82043691,0.01175803,0.29812287,0.01835936,0.93796607
-5.96398199,5.64406752,1.02287296,1.21327436,1.18427062,2.74345316,0.01147442,0.28643107,0.01783172,0.90096302
-5.95797899,5.50851718,0.97912051,1.21883059,1.12084504,2.66896355,0.01116976,0.27510275,0.01729728,0.86532084
-5.95197599,5.37917669,0.93583054,1.22539382,1.05956360,2.59772714,0.01084796,0.26428529,0.01675917,0.83136840
-5.94597299,5.25766436,0.89339969,1.23327852,1.00099375,2.53041756,0.01051260,0.25411154,0.01621986,0.79940158
-5.93996998,5.14538838,0.85219310,1.24276241,0.94562944,2.46760541,0.01016683,0.24469609,0.01568124,0.76967424
-5.93396698,5.04350336,0.81253819,1.25406884,0.89388234,2.40974568,0.00981331,0.23613231,0.01514468,0.74239077
-5.92796398,4.95287745,0.77471989,1.26735162,0.84607565,2.35717036,0.00945425,0.22849003,0.01461115,0.71770037
-5.92196098,4.87407088,0.73897725,1.28268299,0.80244073,2.31008620,0.00909139,0.22181396,0.01408131,0.69569315
-5.91595798,4.80732586,0.70550121,1.30004498,0.76311611,2.26857733,0.00872605,0.21612288,0.01355566,0.67639819
-5.90995498,4.75256759,0.67443359,1.31932460,0.72814892,2.23261224,0.00835924,0.21140958,0.01303469,0.65978344
-5.90395198,4.70941576,0.64586693,1.34031297,0.69749839,2.20205439,0.00799169,0.20764157,0.01251893,0.64575742
-5.89794897,4.67720538,0.61984524,1.36270835,0.67104115,2.17667564,0.00762401,0.20476240,0.01200913,0.63417263
-5.89194597,4.65501593,0.59636535,1.38612309,0.64857801,2.15617182,0.00725673,0.20269370,0.01150625,0.62483044
-5.88594297,4.64170731,0.57537898,1.41009411,0.62984210,2.14017934,0.00689041,0.20133778,0.01101157,0.61748734
-5.87993997,4.63596133,0.55679529,1.43409657,0.61450791,2.12829239,0.00652573,0.20058063,0.01052669,0.61186238
-5.87393697,4.63632724,0.54048408,1.45756039,0.60220123,2.12007977,0.00616353,0.20029548,0.01005349,0.60764551
-5.86793397,4.64126991,0.52627958,1.47988885,0.59250965,2.11510093,0.00580489,0.20034656,0.00959412,0.60450665
-5.86193097,4.64921929,0.51398495,1.50047868,0.58499351,2.11292077,0.00545114,0.20059310,0.00915093,0.60210534
-5.85592796,4.65861979,0.50337737,1.51874100,0.57919712,2.11312284,0.00510390,0.20089348,0.00872637,0.60010058
-5.84992496,4.66797835,0.49421403,1.53412208,0.57466013,2.11532079,0.00476503,0.20110928,0.00832290,0.59816080
-5.84392196,4.67590998,0.48623872,1.54612344,0.57092870,2.11916795,0.00443668,0.20110925,0.00794295,0.59597350
-5.83791896,4.68117941,0.47918915,1.55432024,0.56756658,2.12436506,0.00412121,0.20077303,0.00758875,0.59325456
-5.83191596,4.68273800,0.47280479,1.55837735,0.56416554,2.13066615,0.00382120,0.19999449,0.00726231,0.58975664
-5.82591296,4.67975457,0.46683508,1.55806232,0.56035514,2.13788252,0.00353940,0.19868455,0.00696535,0.58527667
-5.81990995,4.67163947,0.46104770,1.55325493,0.55581148,2.14588511,0.00327869,0.19677350,0.00669924,0.57966208
-5.81390695,4.65806078,0.45523672,1.54395255,0.55026471,2.15460504,0.00304207,0.19421261,0.00646502,0.57281544
-5.80790395,4.63895234,0.44923009,1.53027144,0.54350498,2.16403249,0.00283258,0.19097507,0.00626339,0.56469749
-5.80190095,4.61451295,0.44289633,1.51244365,0.53538672,2.17421386,0.00265333,0.18705620,0.00609474,0.55532832
-5.79589795,4.58519676,0.43614986,1.49080988,0.52583094,2.18524728,0.00250745,0.18247290,0.00595921,0.54478655
-5.78989495,4.55169499,0.42895481,1.46580848,0.51482553,2.19727638,0.00239803,0.17726241,0.00585676,0.53320662
-5.78389195,4.51490947,0.42132694,1.43796120,0.50242349,2.21048238,0.00232814,0.17148050,0.00578721,0.52077409
-5.77788894,4.47591890,0.41333343,1.40785639,0.48873899,2.22507461,0.00230077,0.16519899,0.00575038,0.50771924
-5.77188594,4.43593891,0.40509060,1.37613036,0.47394168,2.24127960,0.00231877,0.15850293,0.00574608,0.49430901
-5.76588294,4.39627740,0.39675936,1.34344792,0.45824909,2.25932882,0.00238485,0.15148741,0.00577421,0.48083757
-5.75987994,4.35828690,0.38853862,1.31048282,0.44191773,2.27944563,0.00250146,0.14425419,0.00583481,0.46761598
-5.75387694,4.32331564,0.38065678,1.27789921,0.42523298,2.30183149,0.00267072,0.13690831,0.00592800,0.45496106
-5.74787394,4.29265943,0.37336174,1.24633481,0.40849839,2.32665218,0.00289436,0.12955479,0.00605405,0.44318416
-5.74187094,4.26751603,0.36690961,1.21638650,0.39202461,2.35402435,0.00317358,0.12229551,0.00621331,0.43257993
-5.73586793,4.24894411,0.36155290,1.18859893,0.37611862,2.38400310,0.00350896,0.11522644,0.00640610,0.42341579
-5.72986493,4.23782811,0.35752834,1.16345652,0.36107346,2.41657099,0.00390031,0.10843536,0.00663272,0.41592227
-5.72386193,4.23485059,0.35504519,1.14137907,0.34715903,2.45162922,0.00434660,0.10199991,0.00689327,0.41028466
-5.71785893,4.24047292,0.35427437,1.12272079,0.33461420,2.48899132,0.00484578,0.09598635,0.00718759,0.40663639
-5.71185593,4.25492511,0.35533902,1.10777270,0.32364062,2.52837981,0.00539474,0.09044871,0.00751512,0.40505414
-5.70585293,4.27820484,0.35830689,1.09676795,0.31439828,2.56942617,0.00598923,0.08542855,0.00787484,0.40555510
-5.69984992,4.31008570,0.36318495,1.08988944,0.30700311,2.61167432,0.00662379,0.08095527,0.00826519,0.40809634
-5.69384692,4.35013395,0.36991659,1.08727907,0.30152644,2.65458752,0.00729176,0.07704674,0.00868399,0.41257642
-5.68784392,4.39773296,0.37838135,1.08904795,0.29799652,2.69755879,0.00798532,0.07371048,0.00912843,0.41883905
-5.68184092,4.45211412,0.38839752,1.09528679,0.29640164,2.73992446,0.00869559,0.07094498,0.00959510,0.42667880
-5.67583792,4.51239277,0.39972735,1.10607563,0.29669491,2.78098059,0.00941273,0.06874143,0.01008006,0.43584854
-5.66983492,4.57760745,0.41208467,1.12149232,0.29880020,2.82000171,0.01012617,0.06708539,0.01057888,0.44606846
-5.66383192,4.64676104,0.42514470,1.14161915,0.30261899,2.85626139,0.01082481,0.06595862,0.01108680,0.45703608
-5.65782891,4.71886177,0.43855558,1.16654725,0.30803775,2.88905398,0.01149730,0.06534083,0.01159890,0.46843720
-5.65182591,4.79296277,0.45195105,1.19637832,0.31493538,2.91771678,0.01213236,0.06521128,0.01211023,0.47995706
-5.64582291,4.86819860,0.46496381,1.23122387,0.32319040,2.94165216,0.01271905,0.06555019,0.01261604,0.49129143
-5.63981991,4.94381747,0.47723899,1.27120184,0.33268746,2.96034868,0.01324717,0.06633986,0.01311192,0.50215719
-5.63381691,5.01920829,0.48844693,1.31643102,0.34332286,2.97340076,0.01370753,0.06756549,0.01359399,0.51230188
-5.62781391,5.09392173,0.49829493,1.36702368,0.35500873,2.98052625,0.01409228,0.06921567,0.01405903,0.52151200
-5.62181091,5.16768506,0.50653736,1.42307714,0.36767581,2.98158131,0.01439517,0.07128246,0.01450461,0.52961958
-5.61580790,5.24041072,0.51298370,1.48466476,0.38127454,2.97657225,0.01461177,0.07376117,0.01492914,0.53650693
-5.60980490,5.31219877,0.51750418,1.55182748,0.39577456,2.96566384,0.01473966,0.07664972,0.01533191,0.54210928
-5.60380190,5.38333400,0.52003292,1.62456645,0.41116259,2.94918399,0.01477851,0.07994779,0.01571304,0.54641535
-5.59779890,5.45427829,0.52056844,1.70283780,0.42743895,2.92762449,0.01473017,0.08365566,0.01607345,0.54946583
-5.59179590,5.52565947,0.51917163,1.78655008,0.44461289,2.90163788,0.01459861,0.08777286,0.01641472,0.55134997
-5.58579290,5.59825741,0.51596148,1.87556511,0.46269711,2.87203046,0.01438982,0.09229678,0.01673896,0.55220041
-5.57978989,5.67298885,0.51110880,1.96970256,0.48170179,2.83975162,0.01411173,0.09722119,0.01704867,0.55218666
-5.57378689,5.75089163,0.50482839,2.06874845,0.50162863,2.80587977,0.01377393,0.10253487,0.01734654,0.55150752
-5.56778389,5.83310949,0.49737012,2.17246753,0.52246525,2.77160513,0.01338750,0.10822042,0.01763530,0.55038285
-5.56178089,5.92087786,0.48900946,2.28061900,0.54418044,2.73820999,0.01296471,0.11425330,0.01791757,0.54904511
-5.55577789,6.01551111,0.48003788,2.39297503,0.56672045,2.70704659,0.01251873,0.12060119,0.01819570,0.54773104
-5.54977489,6.11839105,0.47075370,2.50934096,0.59000690,2.67951335,0.01206331,0.12722371,0.01847173,0.54667391
-5.54377189,6.23095648,0.46145357,2.62957608,0.61393613,2.65702981,0.01161254,0.13407264,0.01874728,0.54609650
-5.53776888,6.35469274,0.45242516,2.75361334,0.63838040,2.64101073,0.01118048,0.14109245,0.01902355,0.54620525
-5.53176588,6.49112027,0.44394094,2.88147653,0.66319073,2.63283978,0.01078094,0.14822137,0.01930134,0.54718543
-5.52576288,6.64178072,0.43625344,3.01329334,0.68820124,2.63384318,0.01042717,0.15539272,0.01958110,0.54919776
-5.51975988,6.80821915,0.42959167,3.14930254,0.71323472,2.64526356,0.01013167,0.16253670,0.01986298,0.55237600
-5.51375688,6.99196061,0.42415882,3.28985404,0.73810910,2.66823437,0.00990591,0.16958225,0.02014696,0.55682587
-5.50775388,7.19447982,0.42013087,3.43540067,0.76264428,2.70375493,0.00976015,0.17645917,0.02043291,0.56262466
-5.50175088,7.41716283,0.41765594,3.58648084,0.78666896,2.75266644,0.00970329,0.18310020,0.02072063,0.56982167
-5.49574787,7.66126001,0.41685401,3.74369195,0.81002677,2.81562901,0.00974262,0.18944299,0.02101001,0.57843898
-5.48974487,7.92783042,0.41781688,3.90765479,0.83258151,2.89310004,0.00988376,0.19543185,0.02130093,0.58847245
-5.48374187,8.21767829,0.42060789,4.07896973,0.85422075,2.98531413,0.01013044,0.20101918,0.02159335,0.59989260
-5.47773887,8.53128321,0.42526150,4.25816634,0.87485778,3.09226499,0.01048442,0.20616645,0.02188722,0.61264530
-5.47173587,8.86872638,0.43178226,4.44564826,0.89443151,3.21368970,0.01094540,0.21084473,0.02218240,0.62665205
-5.46573287,9.22961619,0.44014354,4.64163609,0.91290443,3.34905601,0.01151089,0.21503472,0.02247852,0.64180984
-5.45972986,9.61301689,0.45028572,4.84611104,0.93025856,3.49755330,0.01217619,0.21872621,0.02277489,0.65799069
-5.45372686,10.01738484,0.46211430,5.05876255,0.94648980,3.65808800,0.01293439,0.22191710,0.02307030,0.67504087
-5.44772386,10.44051683,0.47549796,5.27894323,0.96160104,3.82928422,0.01377635,0.22461203,0.02336290,0.69278003
-5.44172086,10.87951534,0.49026695,5.50563417,0.97559438,4.00949051,0.01469080,0.22682067,0.02365003,0.71100060
-5.43571786,11.33077488,0.50621221,5.73742353,0.98846328,4.19679338,0.01566447,0.22855583,0.02392816,0.72946748
-5.42971486,11.78999321,0.52308541,5.97250079,1.00018503,4.38903827,0.01668228,0.22983155,0.02419280,0.74791869
-5.42371186,12.25221044,0.54060030,6.20866843,1.01071431,4.58385828,0.01772759,0.23066123,0.02443848,0.76606684
-5.41770885,12.71187735,0.55843568,6.44337205,1.01997829,4.77871085,0.01878251,0.23105602,0.02465885,0.78360202
-5.41170585,13.16295347,0.57624003,6.67374885,1.02787385,4.97092205,0.01982828,0.23102357,0.02484676,0.80019600
-5.40570285,13.59903346,0.59363793,6.89669389,1.03426712,5.15773804,0.02084569,0.23056720,0.02499445,0.81550808
-5.39969985,14.01349918,0.61023827,7.10894202,1.03899569,5.33638255,0.02181555,0.22968558,0.02509380,0.82919225
-5.39369685,14.39969273,0.62564395,7.30716310,1.04187336,5.50411902,0.02271917,0.22837302,0.02513661,0.84090584
-5.38769385,14.75110507,0.63946289,7.48806674,1.04269736,5.65831573,0.02353886,0.22662024,0.02511493,0.85031920
