energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,4.83852287,2.08205231,1.07384501,0.00532539,0.97031699,1.37134376,1.07082145,0.00892079,1.98282092
-5.99399700,4.89719956,2.10344930,1.08833859,0.00538374,0.98633962,1.39940386,1.07653645,0.00917911,2.00537387
-5.98799400,4.94209223,2.12100623,1.09988731,0.00542614,0.99991860,1.42295525,1.07842875,0.00942427,2.02209437
-5.98199100,4.97144858,2.13372489,1.10808582,0.00545092,1.01066749,1.44127080,1.07638319,0.00965226,2.03222125
-5.97598799,4.98378726,2.14073291,1.11257929,0.00545677,1.01824769,1.45371636,1.07034882,0.00985957,2.03511200
-5.96998499,4.97795832,2.14131674,1.11307764,0.00544275,1.02238283,1.45977308,1.06034340,0.01004337,2.03026828
-5.96398199,4.95319461,2.13494914,1.10936823,0.00540835,1.02287148,1.45905641,1.04645652,0.01020170,2.01735719
-5.95797899,4.90915199,2.12131028,1.10132628,0.00535342,1.01959774,1.45133073,1.02885114,0.01033363,1.99622727
-5.95197599,4.84593608,2.10030129,1.08892269,0.00527826,1.01253894,1.43651911,1.00776335,0.01043944,1.96691869
-5.94597299,4.76411431,2.07204978,1.07222857,0.00518356,1.00177019,1.41470779,0.98350044,0.01052069,1.92966709
-5.93996998,4.66471229,2.03690688,1.05141648,0.00507041,0.98746518,1.38614508,0.95643692,0.01058037,1.88490089
-5.93396698,4.54919409,1.99543587,1.02675797,0.00494027,0.96989329,1.35123467,0.92700880,0.01062285,1.83323197
-5.92796398,4.41942691,1.94839280,0.99861746,0.00479495,0.94941275,1.31052376,0.89570587,0.01065391,1.77544021
-5.92196098,4.27763114,1.89669970,0.96744282,0.00463661,0.92646022,1.26468632,0.86306225,0.01068066,1.71245225
-5.91595798,4.12631728,1.84141148,0.93375256,0.00446764,0.90153704,1.21450213,0.82964533,0.01071138,1.64531532
-5.90995498,3.96821210,1.78367779,0.89812054,0.00429071,0.87519262,1.16083266,0.79604315,0.01075537,1.57516689
-5.90395198,3.80617661,1.72470138,0.86115837,0.00410864,0.84800573,1.10459443,0.76285081,0.01082266,1.50320159
-5.89794897,3.64311880,1.66569458,0.82349654,0.00392438,0.82056439,1.04673119,0.73065586,0.01092373,1.43063608
-5.89194597,3.48190451,1.60783565,0.78576470,0.00374094,0.79344523,0.98818572,0.70002338,0.01106916,1.35867360
-5.88594297,3.32526966,1.55222679,0.74857215,0.00356130,0.76719314,0.92987259,0.67148095,0.01126926,1.28846905
-5.87993997,3.17573710,1.49985544,0.71248913,0.00338838,0.74230217,0.87265259,0.64550415,0.01153366,1.22109613
-5.87393697,3.03554129,1.45156040,0.67802968,0.00322493,0.71919843,0.81730992,0.62250289,0.01187089,1.15751734
