energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,0.32870204,0.33487916,0.13023525,0.00083983,0.18235359,0.02418288,0.02360199
-5.99399700,0.30191916,0.30836042,0.11977178,0.00077601,0.16766754,0.02229202,0.02156565
-5.98799400,0.27560495,0.28207181,0.10944621,0.00071191,0.15318579,0.02040999,0.01959961
-5.98199100,0.24998798,0.25629922,0.09935935,0.00064842,0.13904718,0.01855911,0.01771238
-5.97598799,0.22528192,0.23130488,0.08960449,0.00058635,0.12538029,0.01675971,0.01591265
-5.96998499,0.20167763,0.20732024,0.08026439,0.00052643,0.11229935,0.01502968,0.01420864
-5.96398199,0.17933737,0.18454092,0.07140919,0.00046923,0.09990120,0.01338409,0.01260751
-5.95797899,0.15839082,0.16312355,0.06309502,0.00041525,0.08826329,0.01183503,0.01111495
-5.95197599,0.13893311,0.14318455,0.05536333,0.00036484,0.07744277,0.01039152,0.00973492
-5.94597299,0.12102451,0.12480059,0.04824095,0.00031825,0.06747649,0.00905958,0.00846949
-5.93996998,0.10469169,0.10801052,0.04174069,0.00027562,0.05838186,0.00784237,0.00731888
-5.93396698,0.08993016,0.09281847,0.03586247,0.00023698,0.05015832,0.00674048,0.00628147
-5.92796398,0.07670762,0.07919785,0.03059469,0.00020230,0.04278939,0.00575218,0.00535404
-5.92196098,0.06496805,0.06709593,0.02591599,0.00017145,0.03624493,0.00487379,0.00453192
-5.91595798,0.05463609,0.05643870,0.02179706,0.00014427,0.03048375,0.00410007,0.00380930
-5.90995498,0.04562150,0.04713582,0.01820245,0.00012052,0.02545616,0.00342453,0.00317947
-5.90395198,0.03782361,0.03908540,0.01509240,0.00009996,0.02110644,0.00283984,0.00263510
-5.89794897,0.03113538,0.03217837,0.01242449,0.00008231,0.01737521,0.00233813,0.00216852
-5.89194597,0.02544711,0.02630249,0.01015516,0.00006729,0.01420150,0.00191127,0.00177192
-5.88594297,0.02064962,0.02134573,0.00824101,0.00005461,0.01152456,0.00155115,0.00143758
-5.87993997,0.01663687,0.01719904,0.00663983,0.00004401,0.00928534,0.00124986,0.00115803
-5.87393697,0.01330805,0.01375863,0.00531146,0.00003521,0.00742766,0.00099987,0.00092619
-5.86793397,0.01056911,0.01092754,0.00421842,0.00002797,0.00589910,0.00079415,0.00073549
-5.86193097,0.00833377,0.00861678,0.00332631,0.00002205,0.00465154,0.00062623,0.00057988
-5.85592796,0.00652412,0.00674593,0.00260406,0.00001727,0.00364153,0.00049027,0.00045392
-5.84992496,0.00507083,0.00524339,0.00202402,0.00001342,0.00283039,0.00038108,0.00035279
-5.84392196,0.00391302,0.00404628,0.00156190,0.00001036,0.00218416,0.00029408,0.00027222
