energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,6.81866146,0.06311390,0.05471572,0.78679657,0.00000000,0.18561084,3.84519452,1.31853431,0.28477042
-5.99399700,6.56792902,0.06256195,0.05415131,0.78335993,0.00000000,0.17870252,3.70142402,1.27298121,0.27311824
-5.98799400,6.29306552,0.06166303,0.05329642,0.77575791,0.00000000,0.17114612,3.54422012,1.22267232,0.26051430
-5.98199100,5.99827382,0.06043099,0.05216270,0.76403549,0.00000000,0.16306377,3.37598785,1.16837368,0.24715750
-5.97598799,5.68788320,0.05888512,0.05076685,0.74832281,0.00000000,0.15458119,3.19919735,1.11087824,0.23325021
-5.96998499,5.36626096,0.05704972,0.04913022,0.72883353,0.00000000,0.14582531,3.01633379,1.05099058,0.21899410
-5.96398199,5.03773227,0.05495353,0.04727821,0.70586116,0.00000000,0.13692222,2.82985207,0.98951299,0.20458643
-5.95797899,4.70650998,0.05262909,0.04523974,0.67977324,0.00000000,0.12799534,2.64213762,0.92723321,0.19021699
-5.95197599,4.37663580,0.05011200,0.04304649,0.65100384,0.00000000,0.11916395,2.45547368,0.86491389,0.17606563
-5.94597299,4.05193351,0.04744005,0.04073225,0.62004455,0.00000000,0.11054211,2.27201568,0.80328408,0.16230042
-5.93996998,3.73597417,0.04465248,0.03833210,0.58743452,0.00000000,0.10223787,2.09377258,0.74303250,0.14907653
-5.93396698,3.43205305,0.04178906,0.03588176,0.55374988,0.00000000,0.09435283,1.92259486,0.68480274,0.13653559
-5.92796398,3.14317726,0.03888935,0.03341683,0.51959301,0.00000000,0.08698190,1.76016871,0.62919017,0.12480575
-5.92196098,2.87206284,0.03599190,0.03097219,0.48558215,0.00000000,0.08021338,1.60801550,0.57674026,0.11400201
-5.91595798,2.62113985,0.03313360,0.02858141,0.45234161,0.00000000,0.07412909,1.46749577,0.52794827,0.10422702
-5.90995498,2.39256356,0.03034912,0.02627628,0.42049309,0.00000000,0.06880465,1.33981658,0.48325992,0.09557209
-5.90395198,2.18823006,0.02767041,0.02408643,0.39064809,0.00000000,0.06430980,1.22604117,0.44307276,0.08811825
-5.89794897,2.00979432,0.02512640,0.02203903,0.36340171,0.00000000,0.06070860,1.12709993,0.40773802,0.08193745
-5.89194597,1.85868886,0.02274278,0.02015857,0.33932783,0.00000000,0.05805956,1.04380145,0.37756265,0.07709353
-5.88594297,1.73614149,0.02054193,0.01846682,0.31897542,0.00000000,0.05641570,0.97684280,0.35281119,0.07364311
-5.87993997,1.64319036,0.01854296,0.01698271,0.30286597,0.00000000,0.05582429,0.92681819,0.33370743,0.07163616
-5.87393697,1.58069542,0.01676187,0.01572244,0.29149165,0.00000000,0.05632646,0.89422522,0.32043548,0.07111629
-5.86793397,1.54934510,0.01521179,0.01469949,0.28531376,0.00000000,0.05795656,0.87946833,0.31314021,0.07212066
-5.86193097,1.54965784,0.01390328,0.01392480,0.28476137,0.00000000,0.06074136,0.88285903,0.31192705,0.07467960
-5.85592796,1.58197826,0.01284478,0.01340682,0.29022944,0.00000000,0.06469904,0.90461297,0.31686091,0.07881582
-5.84992496,1.64646826,0.01204294,0.01315166,0.30207636,0.00000000,0.06983806,0.94484399,0.32796456,0.08454338
-5.84392196,1.74309369,0.01150310,0.01316319,0.32062045,0.00000000,0.07615600,1.00355549,0.34521636,0.09186644
-5.83791896,1.87160770,0.01122969,0.01344311,0.34613534,0.00000000,0.08363842,1.08062984,0.36854769,0.10077780
-5.83191596,2.03153204,0.01122661,0.01399100,0.37884408,0.00000000,0.09225778,1.17581667,0.39784022,0.11125752
-5.82591296,2.22213804,0.01149759,0.01480433,0.41891217,0.00000000,0.10197266,1.28872088,0.43292331,0.12327147
-5.81990995,2.44242887,0.01204648,0.01587842,0.46643947,0.00000000,0.11272715,1.41879145,0.47357190,0.13677012
-5.81390695,2.69112499,0.01287743,0.01720641,0.52145156,0.00000000,0.12445067,1.56531219,0.51950516,0.15168767
-5.80790395,2.96665436,0.01399505,0.01877923,0.58389076,0.00000000,0.13705821,1.72739528,0.57038607,0.16794141
-5.80190095,3.26714886,0.01540443,0.02058544,0.65360744,0.00000000,0.15045097,1.90397847,0.62582233,0.18543164
-5.79589795,3.59044809,0.01711108,0.02261128,0.73035214,0.00000000,0.16451751,2.09382674,0.68536866,0.20404203
-5.78989495,3.93411108,0.01912078,0.02484053,0.81376908,0.00000000,0.17913534,2.29553862,0.74853048,0.22364051
-5.78389195,4.29543618,0.02143927,0.02725456,0.90339168,0.00000000,0.19417288,2.50755735,0.81476910,0.24408059
-5.77788894,4.67148872,0.02407193,0.02983234,0.99864052,0.00000000,0.20949177,2.72818675,0.88350822,0.26520317
-5.77188594,5.05913543,0.02702324,0.03255054,1.09882422,0.00000000,0.22494938,2.95561113,0.95414150,0.28683872
