energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.21384380,0.00082029,0.01615420,0.02575977,0.00098821,0.09875212,0.02878167,0.02613610
-5.99399700,0.25946434,0.00099300,0.01944719,0.03084996,0.00121433,0.12014131,0.03510154,0.03161522
-5.98799400,0.31309283,0.00119597,0.02328669,0.03675656,0.00148408,0.14534366,0.04256005,0.03803295
-5.98199100,0.37562992,0.00143249,0.02772375,0.04355336,0.00180312,0.17480964,0.05129988,0.04548774
-5.97598799,0.44799229,0.00170593,0.03280806,0.05131292,0.00217737,0.20900221,0.06146946,0.05407809
-5.96998499,0.53109218,0.00201961,0.03858628,0.06010475,0.00261289,0.24838759,0.07322072,0.06389998
-5.96398199,0.62581411,0.00237678,0.04510033,0.06999330,0.00311577,0.29342451,0.08670613,0.07504398
-5.95797899,0.73298908,0.00278047,0.05238555,0.08103601,0.00369193,0.34455211,0.10207545,0.08759216
-5.95197599,0.85336685,0.00323347,0.06046886,0.09328132,0.00434700,0.40217657,0.11947195,0.10161492
-5.94597299,0.98758698,0.00373816,0.06936702,0.10676684,0.00508614,0.46665697,0.13902830,0.11716769
-5.93996998,1.13614955,0.00429647,0.07908500,0.12151760,0.00591380,0.53829064,0.16086212,0.13428781
-5.93396698,1.29938666,0.00490980,0.08961458,0.13754467,0.00683358,0.61729839,0.18507146,0.15299159
-5.92796398,1.47743559,0.00557890,0.10093332,0.15484391,0.00784805,0.70381038,0.21173007,0.17327175
-5.92196098,1.67021507,0.00630384,0.11300382,0.17339512,0.00895856,0.79785286,0.24088286,0.19509535
-5.91595798,1.87740544,0.00708399,0.12577350,0.19316160,0.01016515,0.89933663,0.27254154,0.21840237
-5.90995498,2.09843418,0.00791794,0.13917487,0.21408993,0.01146642,1.00804761,0.30668072,0.24310500
-5.90395198,2.33246731,0.00880357,0.15312631,0.23611031,0.01285951,1.12364006,0.34323443,0.26908779
-5.89794897,2.57840782,0.00973801,0.16753337,0.25913707,0.01434009,1.24563301,0.38209353,0.29620863
-5.89194597,2.83490138,0.01071774,0.18229062,0.28306964,0.01590243,1.37341011,0.42310382,0.32430072
-5.88594297,3.10034965,0.01173863,0.19728390,0.30779370,0.01753948,1.50622334,0.46606525,0.35317527
-5.87993997,3.37293119,0.01279603,0.21239297,0.33318257,0.01924309,1.64320047,0.51073211,0.38262515
-5.87393697,3.65062949,0.01388491,0.22749444,0.35909882,0.02100422,1.78335644,0.55681450,0.41242913
-5.86793397,3.93126743,0.01499994,0.24246484,0.38539586,0.02281320,1.92560834,0.60398084,0.44235670
-5.86193097,4.21254723,0.01613560,0.25718372,0.41191968,0.02466000,2.06879372,0.65186177,0.47217325
-5.85592796,4.49209451,0.01728634,0.27153659,0.43851053,0.02653460,2.21169160,0.70005502,0.50164541
-5.84992496,4.76750508,0.01844666,0.28541763,0.46500460,0.02842725,2.35304579,0.74813146,0.53054626
-5.84392196,5.03639274,0.01961119,0.29873199,0.49123553,0.03032879,2.49158951,0.79564207,0.55866034
-5.83791896,5.29643655,0.02077479,0.31139754,0.51703600,0.03223087,2.62607072,0.84212573,0.58578807
-5.83191596,5.54542577,0.02193258,0.32334612,0.54223908,0.03412620,2.75527721,0.88711760,0.61174951
-5.82591296,5.78130100,0.02307993,0.33452398,0.56667965,0.03600861,2.87806063,0.93015790,0.63638719
-5.81990995,6.00219011,0.02421248,0.34489169,0.59019565,0.03787316,2.99335867,0.97080088,0.65956808
-5.81390695,6.20643798,0.02532606,0.35442332,0.61262947,0.03971604,3.10021473,1.00862374,0.68118442
-5.80790395,6.39262916,0.02641662,0.36310500,0.63382924,0.04153448,3.19779446,1.04323523,0.70115354
-5.80190095,6.55960320,0.02748013,0.37093297,0.65365030,0.04332652,3.28539873,1.07428383,0.71941677
-5.79589795,6.70646253,0.02851245,0.37791133,0.67195672,0.04509072,3.36247300,1.10146514,0.73593739
-5.78989495,6.83257355,0.02950923,0.38404940,0.68862307,0.04682582,3.42861275,1.12452846,0.75069797
-5.78389195,6.93756145,0.03046574,0.38935910,0.70353628,0.04853038,3.48356548,1.14328243,0.76369728
-5.77788894,7.02130020,0.03137680,0.39385243,0.71659778,0.05020242,3.52722942,1.15759953,0.77494689
-5.77188594,7.08389877,0.03223666,0.39753913,0.72772591,0.05183906,3.55964958,1.16741948,0.78446792
-5.76588294,7.12568543,0.03303900,0.40042483,0.73685844,0.05343623,3.58101177,1.17275153,0.79228812
-5.75987994,7.14719143,0.03377686,0.40250975,0.74395537,0.05498850,3.59163524,1.17367565,0.79843945
-5.75387694,7.14913563,0.03444273,0.40378796,0.74900181,0.05648898,3.59196478,1.17034257,0.80295656
-5.74787394,7.13241137,0.03502865,0.40424745,0.75201098,0.05792939,3.58256278,1.16297293,0.80587612
-5.74187094,7.09807645,0.03552636,0.40387087,0.75302707,0.05930021,3.56410192,1.15185538,0.80723723
-5.73586793,7.04734659,0.03592753,0.40263691,0.75212796,0.06059106,3.53735872,1.13734382,0.80708282
-5.72986493,6.98159261,0.03622403,0.40052241,0.74942757,0.06179113,3.50320824,1.11985374,0.80546206
-5.72386193,6.90234047,0.03640824,0.39750488,0.74507765,0.06288975,3.46261954,1.09985772,0.80243341
-5.71785893,6.81127331,0.03647340,0.39356534,0.73926877,0.06387708,3.41665184,1.07788001,0.79806834
-5.71185593,6.71023378,0.03641395,0.38869144,0.73223039,0.06474478,3.36645042,1.05449015,0.79245514
-5.70585293,6.60122485,0.03622590,0.38288041,0.72422975,0.06548669,3.31324171,1.03029558,0.78570258
-5.69984992,6.48640684,0.03590716,0.37614191,0.71556926,0.06609950,3.25832643,1.00593314,0.77794305
-5.69384692,6.36808855,0.03545780,0.36850034,0.70658255,0.06658328,3.20306979,0.98205932,0.76933468
-5.68784392,6.24871038,0.03488032,0.35999665,0.69762872,0.06694187,3.14888784,0.95933928,0.76006227
-5.68184092,6.13081780,0.03417980,0.35068943,0.68908509,0.06718305,3.09722919,0.93843460,0.75033654
-5.67583792,6.01702392,0.03336398,0.34065509,0.68133826,0.06731862,3.04955142,0.91998980,0.74039167
-5.66983492,5.90996091,0.03244326,0.32998730,0.67477379,0.06736407,3.00729219,0.90461771,0.73048097
-5.66383192,5.81222054,0.03143063,0.31879549,0.66976476,0.06733819,2.97183517,0.89288415,0.72087072
-5.65782891,5.72628532,0.03034145,0.30720263,0.66665949,0.06726234,2.94447157,0.88529193,0.71183246
-5.65182591,5.65445247,0.02919325,0.29534225,0.66576898,0.06715963,2.92635852,0.88226501,0.70363389
-5.64582291,5.59875389,0.02800538,0.28335499,0.66735453,0.06705388,2.91847597,0.88413308,0.69652892
-5.63981991,5.56087600,0.02679864,0.27138473,0.67161619,0.06696858,2.92158407,0.89111747,0.69074744
-5.63381691,5.54208385,0.02559490,0.25957468,0.67868270,0.06692572,2.93618361,0.90331889,0.68648519
