energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,3.53485496,0.02218938,0.00000000,0.00989847,0.27513668,0.04183453,2.01521560,0.78505018,0.73550384
-5.99399700,3.74557535,0.02352859,0.00000000,0.01051808,0.29145888,0.04425974,2.13596031,0.83748377,0.78988674
-5.98799400,3.95482848,0.02482469,0.00000000,0.01113731,0.30847103,0.04665054,2.25501121,0.89137789,0.84654226
-5.98199100,4.16025737,0.02606116,0.00000000,0.01175187,0.32586605,0.04898359,2.37121764,0.94621222,0.90492526
-5.97598799,4.35959862,0.02722209,0.00000000,0.01235748,0.34334650,0.05123720,2.48347525,1.00148039,0.96447531
-5.96998499,4.55071461,0.02829258,0.00000000,0.01294996,0.36062759,0.05339163,2.59074226,1.05669482,1.02462042
-5.96398199,4.73162392,0.02925913,0.00000000,0.01352522,0.37744023,0.05542936,2.69205442,1.11139142,1.08478173
-5.95797899,4.90052932,0.03010997,0.00000000,0.01407931,0.39353417,0.05733523,2.78653854,1.16513390,1.14437920
-5.95197599,5.05584274,0.03083535,0.00000000,0.01460839,0.40868097,0.05909657,2.87342435,1.21751763,1.20283825
-5.94597299,5.19620652,0.03142786,0.00000000,0.01510884,0.42267689,0.06070328,2.95205445,1.26817304,1.25959723
-5.93996998,5.32051030,0.03188258,0.00000000,0.01557721,0.43534529,0.06214776,3.02189222,1.31676816,1.31411545
-5.93396698,5.42790284,0.03219724,0.00000000,0.01601031,0.44653865,0.06342486,3.08252744,1.36301041,1.36588150
-5.92796398,5.51779840,0.03237224,0.00000000,0.01640520,0.45613996,0.06453167,3.13367947,1.40664726,1.41442146
-5.92196098,5.58987711,0.03241062,0.00000000,0.01675925,0.46406334,0.06546732,3.17519798,1.44746591,1.45930675
-5.91595798,5.64407933,0.03231795,0.00000000,0.01707015,0.47025386,0.06623272,3.20706098,1.48529175,1.50016105
-5.90995498,5.68059388,0.03210212,0.00000000,0.01733595,0.47468655,0.06683020,3.22937030,1.51998573,1.53666616
-5.90395198,5.69984055,0.03177306,0.00000000,0.01755509,0.47736458,0.06726320,3.24234462,1.55144070,1.56856636
-5.89794897,5.70244748,0.03134240,0.00000000,0.01772639,0.47831668,0.06753589,3.24631014,1.57957699,1.59567107
-5.89194597,5.68922423,0.03082311,0.00000000,0.01784906,0.47759392,0.06765282,3.24168922,1.60433728,1.61785579
-5.88594297,5.66113166,0.03022904,0.00000000,0.01792273,0.47526603,0.06761864,3.22898749,1.62568144,1.63506117
-5.87993997,5.61924998,0.02957456,0.00000000,0.01794743,0.47141741,0.06743777,3.20877976,1.64358132,1.64729034
-5.87393697,5.56474629,0.02887412,0.00000000,0.01792354,0.46614307,0.06711422,3.18169534,1.65801618,1.65460472
-5.86793397,5.49884315,0.02814187,0.00000000,0.01785183,0.45954467,0.06665142,3.14840335,1.66896902,1.65711847
-5.86193097,5.42278944,0.02739136,0.00000000,0.01773340,0.45172696,0.06605222,3.10959864,1.67642411,1.65499198
-5.85592796,5.33783488,0.02663525,0.00000000,0.01756966,0.44279457,0.06531886,3.06598869,1.68036609,1.64842466
-5.84992496,5.24520897,0.02588516,0.00000000,0.01736232,0.43284960,0.06445315,3.01828210,1.68078076,1.63764749
-5.84392196,5.14610516,0.02515151,0.00000000,0.01711337,0.42198981,0.06345666,2.96717891,1.67765745,1.62291556
