energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.80342153,0.02280257,0.01623434,1.13426104,0.85359357,0.04246777,1.84656917,0.72976577,0.20300733
-5.99399700,2.83086703,0.02363161,0.01693251,1.13904749,0.86960615,0.04285444,1.86243251,0.73212792,0.20435060
-5.98799400,2.85633293,0.02464492,0.01768289,1.14250942,0.88537147,0.04321036,1.87669873,0.73386880,0.20545153
-5.98199100,2.88019071,0.02585489,0.01848266,1.14483195,0.90092285,0.04354803,1.88963173,0.73519742,0.20633941
-5.97598799,2.90285506,0.02727181,0.01932852,1.14623463,0.91629525,0.04388003,1.90152862,0.73633592,0.20704939
-5.96998499,2.92474238,0.02890275,0.02021636,1.14695427,0.93151460,0.04421824,1.91269248,0.73750619,0.20761950
-5.96398199,2.94622831,0.03075049,0.02114097,1.14722686,0.94658714,0.04457300,1.92340445,0.73891600,0.20808749
-5.95797899,2.96760691,0.03281257,0.02209584,1.14726954,0.96148954,0.04495244,1.93389673,0.74074560,0.20848771
-5.95197599,2.98905361,0.03508051,0.02307292,1.14726360,0.97616026,0.04536176,1.94432782,0.74313534,0.20884818
-5.94597299,3.01059417,0.03753919,0.02406252,1.14733942,0.99049289,0.04580278,1.95476154,0.74617493,0.20918793
-5.93996998,3.03208146,0.04016656,0.02505326,1.14756409,1.00433178,0.04627350,1.96515114,0.74989505,0.20951493
-5.93396698,3.05318174,0.04293357,0.02603211,1.14793270,1.01747059,0.04676797,1.97532929,0.75426168,0.20982454
-5.92796398,3.07337133,0.04580442,0.02698458,1.14836342,1.02965376,0.04727631,1.98500494,0.75917354,0.21009877
-5.92196098,3.09194427,0.04873715,0.02789493,1.14869715,1.04058112,0.04778485,1.99376718,0.76446296,0.21030618
-5.91595798,3.10803101,0.05168448,0.02874654,1.14870154,1.04991562,0.04827662,2.00109628,0.76990011,0.21040271
-5.90995498,3.12062729,0.05459499,0.02952237,1.14807938,1.05729368,0.04873191,2.00638149,0.77520064,0.21033314
-5.90395198,3.12863218,0.05741457,0.03020542,1.14648106,1.06233803,0.04912904,2.00894471,0.78003623,0.21003329
-5.89794897,3.13089353,0.06008800,0.03077934,1.14352037,1.06467230,0.04944522,2.00806921,0.78404789,0.20943285
-5.89194597,3.12625850,0.06256075,0.03122894,1.13879303,1.06393664,0.04965752,2.00303171,0.78686119,0.20845857
-5.88594297,3.11362699,0.06478084,0.03154083,1.13189694,1.05980378,0.04974391,1.99313657,0.78810280,0.20703780
-5.87993997,3.09200501,0.06670067,0.03170390,1.12245313,1.05199459,0.04968426,1.97775004,0.78741763,0.20510207
-5.87393697,3.06055553,0.06827880,0.03170986,1.11012631,1.04029236,0.04946123,1.95633318,0.78448561,0.20259068
-5.86793397,3.01864415,0.06948158,0.03155357,1.09464412,1.02455519,0.04906122,1.92847148,0.77903745,0.19945387
-5.86193097,2.96587727,0.07028451,0.03123338,1.07581382,1.00472565,0.04847499,1.89389990,0.77086844,0.19565573
-5.85592796,2.90213082,0.07067334,0.03075128,1.05353581,0.98083743,0.04769828,1.85252194,0.75984979,0.19117635
-5.84992496,2.82756828,0.07064482,0.03011294,1.02781316,0.95301851,0.04673208,1.80442182,0.74593681,0.18601343
-5.84392196,2.74264687,0.07020704,0.02932761,0.99875669,0.92149070,0.04558279,1.74986927,0.72917364,0.18018304
-5.83791896,2.64811186,0.06937942,0.02840789,0.96658540,0.88656566,0.04426211,1.68931658,0.70969432,0.17371960
-5.83191596,2.54497938,0.06819222,0.02736938,0.93162220,0.84863755,0.04278674,1.62338829,0.68772005,0.16667510
-5.82591296,2.43450836,0.06668574,0.02623024,0.89428519,0.80817263,0.04117786,1.55286386,0.66355295,0.15911758
-5.81990995,2.31816343,0.06490914,0.02501061,0.85507492,0.76569653,0.03946044,1.47865452,0.63756658,0.15112897
-5.81390695,2.19757026,0.06291896,0.02373200,0.81455840,0.72177949,0.03766245,1.40177508,0.61019367,0.14280239
-5.80790395,2.07446563,0.06077737,0.02241669,0.77335036,0.67702056,0.03581386,1.32331238,0.58191170,0.13423914
-5.80190095,1.95064449,0.05855034,0.02108703,0.73209293,0.63203120,0.03394572,1.24439165,0.55322701,0.12554535
-5.79589795,1.82790624,0.05630562,0.01976479,0.69143449,0.58741913,0.03208913,1.16614233,0.52465809,0.11682871
-5.78989495,1.70800256,0.05411076,0.01847059,0.65200868,0.54377298,0.03027424,1.08966472,0.49671888,0.10819510
-5.78389195,1.59258871,0.05203119,0.01722334,0.61441437,0.50164826,0.02852934,1.01599896,0.46990272,0.09974562
-5.77788894,1.48318013,0.05012839,0.01603978,0.57919749,0.46155515,0.02688005,0.94609716,0.44466761,0.09157387
-5.77188594,1.38111566,0.04845829,0.01493408,0.54683529,0.42394836,0.02534863,0.88079995,0.42142322,0.08376363
-5.76588294,1.28752835,0.04706984,0.01391764,0.51772352,0.38921927,0.02395340,0.82081776,0.40052028,0.07638713
