energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.64927584,1.25864501,0.69625008,0.00418404,0.47773612,1.38486717,1.44518686,0.00348695,2.01193262
-5.99399700,4.72746795,1.27305673,0.70599426,0.00418136,0.49159558,1.40128915,1.47773951,0.00352613,2.03482068
-5.98799400,4.79183622,1.28302208,0.71405753,0.00416604,0.50419971,1.41275595,1.50633201,0.00357801,2.05121625
-5.98199100,4.84206975,1.28853870,0.72046559,0.00413811,0.51541079,1.41919076,1.53072911,0.00364284,2.06118038
-5.97598799,4.87811865,1.28970247,0.72528180,0.00409801,0.52510571,1.42063495,1.55075065,0.00372074,2.06491457
-5.96998499,4.90018494,1.28670095,0.72860333,0.00404652,0.53317907,1.41724723,1.56627367,0.00381161,2.06274933
-5.96398199,4.90870571,1.27980380,0.73055610,0.00398473,0.53954605,1.40929931,1.57723289,0.00391514,2.05512849
-5.95797899,4.90432936,1.26935078,0.73128857,0.00391398,0.54414480,1.39716863,1.58361981,0.00403077,2.04258992
-5.95197599,4.88788617,1.25573783,0.73096482,0.00383575,0.54693844,1.38132807,1.58548032,0.00415766,2.02574343
-5.94597299,4.86035475,1.23940185,0.72975711,0.00375162,0.54791645,1.36233336,1.58291130,0.00429468,2.00524711
-5.93996998,4.82282594,1.22080496,0.72783838,0.00366321,0.54709558,1.34080832,1.57605637,0.00444042,1.98178295
-5.93396698,4.77646579,1.20041871,0.72537499,0.00357209,0.54452006,1.31742854,1.56510101,0.00459320,1.95603294
-5.92796398,4.72247916,1.17870911,0.72252008,0.00347972,0.54026137,1.29290400,1.55026741,0.00475105,1.92865660
-5.92196098,4.66207552,1.15612273,0.71940779,0.00338742,0.53441722,1.26796096,1.53180920,0.00491180,1.90027069
-5.91595798,4.59643794,1.13307460,0.71614870,0.00329633,0.52711007,1.24332377,1.51000636,0.00507308,1.87143207
-5.90995498,4.52669641,1.10993809,0.71282664,0.00320736,0.51848506,1.21969696,1.48516035,0.00523236,1.84262404
-5.90395198,4.45390608,1.08703708,0.70949693,0.00312117,0.50870731,1.19774803,1.45758960,0.00538703,1.81424668
-5.89794897,4.37903073,1.06464054,0.70618623,0.00303819,0.49795887,1.17809137,1.42762533,0.00553449,1.78661112
-5.89194597,4.30293163,1.04295954,0.70289388,0.00295861,0.48643505,1.16127371,1.39560787,0.00567216,1.75993806
-5.88594297,4.22636154,1.02214661,0.69959456,0.00288239,0.47434054,1.14776137,1.36188311,0.00579760,1.73435995
-5.87993997,4.14996346,1.00229726,0.69624230,0.00280928,0.46188512,1.13792958,1.32679935,0.00590859,1.70992671
-5.87393697,4.07427367,0.98345354,0.69277539,0.00273886,0.44927929,1.13205425,1.29070420,0.00600318,1.68661444
-5.86793397,3.99972818,0.96560915,0.68912205,0.00267058,0.43672969,1.13030622,1.25394164,0.00607978,1.66433657
-5.86193097,3.92667211,0.94871603,0.68520655,0.00260377,0.42443472,1.13274826,1.21684903,0.00613720,1.64295672
-5.85592796,3.85537100,0.93269185,0.68095540,0.00253774,0.41258023,1.13933493,1.17975419,0.00617474,1.62230273
-5.84992496,3.78602356,0.91742826,0.67630342,0.00247175,0.40133556,1.14991521,1.14297245,0.00619216,1.60218125
-5.84392196,3.71877496,0.90279940,0.67119934,0.00240512,0.39085009,1.16423801,1.10680367,0.00618978,1.58239199
-5.83791896,3.65373031,0.88867042,0.66561063,0.00233722,0.38125024,1.18196039,1.07152942,0.00616843,1.56274146
-5.83191596,3.59096748,0.87490574,0.65952749,0.00226753,0.37263730,1.20265823,1.03741029,0.00612943,1.54305535
-5.82591296,3.53054922,0.86137670,0.65296563,0.00219564,0.36508588,1.22583927,1.00468348,0.00607462,1.52318929
-5.81990995,3.47253387,0.84796839,0.64596798,0.00212132,0.35864333,1.25095801,0.97356071,0.00600623,1.50303767
-5.81390695,3.41698466,0.83458556,0.63860498,0.00204449,0.35332989,1.27743212,0.94422663,0.00592689,1.48254020
