energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.88737451,0.00022674,0.15215911,1.55877247,0.77093871,0.00862067,0.48672607,0.55522504,0.11156672
-5.99399700,1.88964981,0.00021276,0.15455267,1.55382688,0.77093607,0.00865542,0.48734261,0.55756119,0.11124908
-5.98799400,1.89218010,0.00020155,0.15787731,1.55264577,0.77096973,0.00866812,0.48715192,0.55854705,0.11091518
-5.98199100,1.89518711,0.00019330,0.16213687,1.55539061,0.77111549,0.00866086,0.48623070,0.55828230,0.11057854
-5.97598799,1.89894774,0.00018824,0.16731657,1.56218314,0.77147549,0.00863670,0.48468544,0.55690998,0.11025828
-5.96998499,1.90377711,0.00018663,0.17338163,1.57309093,0.77217189,0.00859958,0.48264790,0.55461164,0.10997806
-5.96398199,1.91000914,0.00018877,0.18027614,1.58811267,0.77333936,0.00855414,0.48026936,0.55160090,0.10976466
-5.95797899,1.91797575,0.00019502,0.18792263,1.60716401,0.77511711,0.00850549,0.47771411,0.54811601,0.10964645
-5.95197599,1.92798580,0.00020575,0.19622215,1.63006511,0.77764087,0.00845904,0.47515240,0.54441151,0.10965182
-5.94597299,1.94030546,0.00022139,0.20505511,1.65653091,0.78103534,0.00842024,0.47275327,0.54074962,0.10980748
-5.93996998,1.95514087,0.00024240,0.21428292,1.68616527,0.78540761,0.00839442,0.47067761,0.53739157,0.11013704
-5.93396698,1.97262463,0.00026929,0.22375043,1.71845969,0.79084206,0.00838652,0.46907184,0.53458946,0.11065959
-5.92796398,1.99280660,0.00030257,0.23328910,1.75279733,0.79739695,0.00840101,0.46806245,0.53257882,0.11138866
-5.92196098,2.01564996,0.00034278,0.24272103,1.78846258,0.80510300,0.00844167,0.46775175,0.53157226,0.11233141
-5.91595798,2.04103242,0.00039048,0.25186348,1.82465618,0.81396391,0.00851150,0.46821484,0.53175438,0.11348824
-5.90995498,2.06875265,0.00044624,0.26053399,1.86051556,0.82395873,0.00861271,0.46949810,0.53327793,0.11485268
-5.90395198,2.09854136,0.00051062,0.26855572,1.89513945,0.83504592,0.00874667,0.47161903,0.53626153,0.11641168
-5.89794897,2.13007618,0.00058417,0.27576283,1.92761600,0.84716860,0.00891393,0.47456739,0.54078858,0.11814624
-5.89194597,2.16299930,0.00066741,0.28200576,1.95705289,0.86026064,0.00911432,0.47830764,0.54690746,0.12003231
-5.88594297,2.19693676,0.00076087,0.28715606,1.98260812,0.87425296,0.00934705,0.48278227,0.55463278,0.12204189
