energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.96531022,0.02291074,0.03523765,0.02144447,0.31214908,1.52444905,1.14071404,0.05748212,1.31586794
-5.99399700,2.95244722,0.02457627,0.03532002,0.02065104,0.31243328,1.63071455,1.11571545,0.05484763,1.31351316
-5.98799400,2.95083936,0.02660481,0.03542748,0.01991956,0.31397626,1.74223151,1.09620355,0.05236662,1.31615676
-5.98199100,2.96043451,0.02902092,0.03556905,0.01926557,0.31671171,1.85807676,1.08205962,0.05006829,1.32381014
-5.97598799,2.98089524,0.03184536,0.03575237,0.01870311,0.32054394,1.97719770,1.07302904,0.04797722,1.33635301
-5.96998499,3.01161893,0.03509433,0.03598345,0.01824437,0.32535063,2.09842512,1.06873942,0.04611314,1.35354286
-5.96398199,3.05176791,0.03877872,0.03626640,0.01789946,0.33098669,2.22049235,1.06872317,0.04449093,1.37502895
-5.95797899,3.10030811,0.04290353,0.03660336,0.01767624,0.33728905,2.34206011,1.07244350,0.04312060,1.40037012
-5.95197599,3.15605496,0.04746745,0.03699444,0.01758020,0.34408203,2.46174601,1.07932287,0.04200741,1.42905608
-5.94597299,3.21772475,0.05246251,0.03743772,0.01761434,0.35118312,2.57815762,1.08877278,0.04115215,1.46053123
-5.93996998,3.28398972,0.05787410,0.03792945,0.01777921,0.35840898,2.68992774,1.10022396,0.04055131,1.49422051
-5.93396698,3.35353500,0.06368104,0.03846416,0.01807297,0.36558130,2.79575038,1.11315581,0.04019755,1.52955631
-5.92796398,3.42511565,0.06985602,0.03903502,0.01849155,0.37253248,2.89441628,1.12712423,0.04008002,1.56600555
-5.92196098,3.49761176,0.07636620,0.03963411,0.01902884,0.37911080,2.98484646,1.14178697,0.04018485,1.60309616
-5.91595798,3.57008000,0.08317399,0.04025286,0.01967696,0.38518503,3.06612265,1.15692560,0.04049565,1.64044203
-5.90995498,3.64179977,0.09023812,0.04088243,0.02042658,0.39064837,3.13751369,1.17246342,0.04099401,1.67776545
-5.90395198,3.71231256,0.09751472,0.04151418,0.02126725,0.39542156,3.19849692,1.18847882,0.04165999,1.71491646
-5.89794897,3.78145307,0.10495857,0.04214013,0.02218773,0.39945529,3.24877419,1.20521341,0.04247270,1.75188801
-5.89194597,3.84937084,0.11252434,0.04275335,0.02317636,0.40273166,3.28828184,1.22307476,0.04341067,1.78882657
-5.88594297,3.91654154,0.12016781,0.04334844,0.02422132,0.40526501,3.31719489,1.24263329,0.04445242,1.82603735
-5.87993997,3.98376699,0.12784703,0.04392188,0.02531094,0.40710181,3.33592499,1.26461339,0.04557673,1.86398373
-5.87393697,4.05216353,0.13552320,0.04447231,0.02643388,0.40831998,3.34511265,1.28987844,0.04676309,1.90328066
-5.86793397,4.12313839,0.14316149,0.04500083,0.02757925,0.40902740,3.34561378,1.31941021,0.04799193,1.94468156
-5.86193097,4.19835409,0.15073158,0.04551109,0.02873669,0.40935978,3.33848091,1.35428252,0.04924482,1.98905904
-5.85592796,4.27968107,0.15820783,0.04600937,0.02989637,0.40947792,3.32493943,1.39562969,0.05050467,2.03737929
-5.84992496,4.36913938,0.16556940,0.04650452,0.03104886,0.40956424,3.30635929,1.44461031,0.05175582,2.09067070
-5.84392196,4.46883016,0.17279987,0.04700774,0.03218503,0.40981877,3.28422244,1.50236687,0.05298406,2.14998722
-5.83791896,4.58085841,0.17988687,0.04753230,0.03329587,0.41045440,3.26008662,1.56998222,0.05417666,2.21636726
-5.83191596,4.70724879,0.18682131,0.04809306,0.03437228,0.41169152,3.23554596,1.64843380,0.05532232,2.29078925
-5.82591296,4.84985652,0.19359667,0.04870599,0.03540490,0.41375205,3.21218899,1.73854690,0.05641112,2.37412497
-5.81990995,5.01027601,0.20020805,0.04938740,0.03638394,0.41685276,3.19155490,1.84094825,0.05743445,2.46709231
-5.81390695,5.18975011,0.20665127,0.05015328,0.03729904,0.42119826,3.17508887,1.95602160,0.05838493,2.57020902
