energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
3.38269135,0.22964243,-0.18810898,0.05525136,-0.02836389,0.00052989,-0.07733915,0.04122415,-0.00494737,0.04032444,-0.01730712,0.00706100,-0.00000002,0.00000920,-0.05766541,0.01680145,-0.00000014,0.01521592,-0.04088300
3.38869435,0.23682393,-0.17981966,0.05752881,-0.02695897,0.00055477,-0.07371499,0.04235503,-0.00469443,0.04143724,-0.01676326,0.00763713,-0.00000001,0.00001305,-0.05491686,0.01728014,-0.00000009,0.01595773,-0.03924998
3.39469735,0.24270272,-0.17105815,0.05960577,-0.02551013,0.00057840,-0.06993449,0.04322334,-0.00443542,0.04229055,-0.01613771,0.00824670,-0.00000001,0.00001838,-0.05205972,0.01765440,-0.00000006,0.01666898,-0.03748480
3.40070035,0.24720980,-0.16189848,0.06147247,-0.02402715,0.00060074,-0.06602628,0.04381699,-0.00417185,0.04287026,-0.01543911,0.00889225,-0.00000001,0.00002570,-0.04911501,0.01791889,-0.00000004,0.01734901,-0.03560500
3.40670335,0.25030859,-0.15242350,0.06312508,-0.02252076,0.00062184,-0.06202203,0.04413102,-0.00390546,0.04316839,-0.01467749,0.00957627,-0.00000000,0.00003568,-0.04610586,0.01807088,-0.00000003,0.01799868,-0.03363046
3.41270635,0.25199630,-0.14272293,0.06456571,-0.02100238,0.00064176,-0.05795575,0.04416817,-0.00363808,0.04318341,-0.01386399,0.01030094,-0.00000000,0.00004918,-0.04305706,0.01811047,-0.00000002,0.01862029,-0.03158293
3.41870935,0.25230413,-0.13289101,0.06580201,-0.01948393,0.00066066,-0.05386304,0.04393926,-0.00337165,0.04292040,-0.01301049,0.01106795,-0.00000000,0.00006729,-0.03999448,0.01804057,-0.00000001,0.01921746,-0.02948535
3.42471236,0.25129627,-0.12302404,0.06684656,-0.01797751,0.00067871,-0.04978009,0.04346339,-0.00310815,0.04239091,-0.01212926,0.01187823,-0.00000000,0.00009142,-0.03694441,0.01786699,-0.00000001,0.01979496,-0.02736130
3.43071536,0.24906773,-0.11321775,0.06771602,-0.01649507,0.00069616,-0.04574284,0.04276795,-0.00284953,0.04161271,-0.01123260,0.01273173,-0.00000000,0.00012332,-0.03393289,0.01759828,-0.00000001,0.02035850,-0.02523426
3.43671836,0.24574122,-0.10356474,0.06843014,-0.01504814,0.00071325,-0.04178593,0.04188845,-0.00259768,0.04060923,-0.01033248,0.01362715,-0.00000000,0.00016514,-0.03098503,0.01724563,-0.00000002,0.02091448,-0.02312702
3.44272136,0.24146327,-0.09415205,0.06901059,-0.01364747,0.00073030,-0.03794185,0.04086828,-0.00235436,0.03940895,-0.00944025,0.01456179,-0.00000001,0.00021956,-0.02812435,0.01682256,-0.00000003,0.02146974,-0.02106107
3.44872436,0.23639969,-0.08505905,0.06947986,-0.01230282,0.00074760,-0.03424012,0.03975826,-0.00212119,0.03804456,-0.00856635,0.01553137,-0.00000001,0.00028982,-0.02537217,0.01634474,-0.00000004,0.02203133,-0.01905606
3.45472736,0.23073084,-0.07635565,0.06986012,-0.01102268,0.00076549,-0.03070660,0.03861620,-0.00189954,0.03655210,-0.00772012,0.01652997,-0.00000002,0.00037981,-0.02274718,0.01582962,-0.00000006,0.02260634,-0.01712942
3.46073037,0.22464678,-0.06810094,0.07017226,-0.00981414,0.00078431,-0.02736302,0.03750632,-0.00169058,0.03497006,-0.00690958,0.01755000,-0.00000002,0.00049417,-0.02026502,0.01529616,-0.00000009,0.02320175,-0.01529597
3.46673337,0.21834264,-0.06034232,0.07043506,-0.00868276,0.00080440,-0.02422659,0.03649875,-0.00149521,0.03333844,-0.00614138,0.01858236,-0.00000003,0.00063835,-0.01793802,0.01476446,-0.00000014,0.02382438,-0.01356775
3.47273637,0.21201443,-0.05311509,0.07066465,-0.00763247,0.00082613,-0.02130986,0.03566892,-0.00131408,0.03169786,-0.00542072,0.01961653,-0.00000005,0.00081867,-0.01577514,0.01425552,-0.00000021,0.02448088,-0.01195392
3.47873937,0.20585532,-0.04644247,0.07087424,-0.00666567,0.00084986,-0.01862074,0.03509693,-0.00114759,0.03008877,-0.00475137,0.02064090,-0.00000008,0.00104240,-0.01378191,0.01379088,-0.00000032,0.02517786,-0.01046075
3.48474237,0.20005274,-0.04033611,0.07107412,-0.00578319,0.00087598,-0.01616263,0.03486696,-0.00099587,0.02855070,-0.00413570,0.02164316,-0.00000012,0.00131774,-0.01196062,0.01339244,-0.00000047,0.02592205,-0.00909172
3.49074537,0.19478610,-0.03479685,0.07127195,-0.00498449,0.00090489,-0.01393480,0.03506656,-0.00085886,0.02712169,-0.00357483,0.02261069,-0.00000017,0.00165386,-0.01031047,0.01308214,-0.00000070,0.02672050,-0.00784775
3.49674837,0.19022518,-0.02981589,0.07147339,-0.00426773,0.00093702,-0.01193273,0.03578585,-0.00073628,0.02583772,-0.00306870,0.02353106,-0.00000025,0.00206082,-0.00882796,0.01288180,-0.00000102,0.02758090,-0.00672744
3.50275138,0.18652924,-0.02537610,0.07168283,-0.00363003,0.00097286,-0.01014867,0.03711662,-0.00062772,0.02473237,-0.00261629,0.02439259,-0.00000036,0.00254949,-0.00750720,0.01281291,-0.00000148,0.02851180,-0.00572735
3.50875438,0.18384643,-0.02145351,0.07190437,-0.00306760,0.00101289,-0.00857219,0.03915116,-0.00053267,0.02383643,-0.00221573,0.02518488,-0.00000052,0.00313140,-0.00634034,0.01289637,-0.00000213,0.02952286,-0.00484240
3.51475738,0.18231359,-0.01801887,0.07214283,-0.00257600,0.00105768,-0.00719073,0.04198095,-0.00045053,0.02317775,-0.00186454,0.02589926,-0.00000074,0.00381856,-0.00531799,0.01315232,-0.00000305,0.03062506,-0.00406615
3.52076038,0.18205608,-0.01503917,0.07240480,-0.00215036,0.00110780,-0.00599020,0.04569495,-0.00038072,0.02278092,-0.00155977,0.02652934,-0.00000105,0.00462313,-0.00442965,0.01359983,-0.00000433,0.03183077,-0.00339123
3.52676338,0.18318749,-0.01247922,0.07269953,-0.00178555,0.00116386,-0.00495552,0.05037760,-0.00032273,0.02266716,-0.00129822,0.02707126,-0.00000149,0.00555709,-0.00366408,0.01425666,-0.00000611,0.03315367,-0.00280962
3.53276638,0.18580898,-0.01030301,0.07303974,-0.00147642,0.00122650,-0.00407112,0.05610655,-0.00027612,0.02285410,-0.00107656,0.02752405,-0.00000208,0.00663189,-0.00300973,0.01513883,-0.00000857,0.03460860,-0.00231300
3.53876938,0.19000819,-0.00847502,0.07344211,-0.00121795,0.00129631,-0.00332140,0.06294992,-0.00024067,0.02335550,-0.00089155,0.02788971,-0.00000290,0.00785788,-0.00245501,0.01626025,-0.00001193,0.03621112,-0.00189301
3.54477239,0.19585760,-0.00696141,0.07392755,-0.00100546,0.00137390,-0.00269110,0.07096341,-0.00021640,0.02418103,-0.00074012,0.02817321,-0.00000401,0.00924390,-0.00198858,0.01763224,-0.00001649,0.03797704,-0.00154150
3.55077539,0.20341223,-0.00573102,0.07452111,-0.00083473,0.00145977,-0.00216558,0.08018715,-0.00020366,0.02533593,-0.00061956,0.02838233,-0.00000551,0.01079663,-0.00159959,0.01926299,-0.00002264,0.03992161,-0.00125072
3.55677839,0.21270685,-0.00475623,0.07525155,-0.00070213,0.00155434,-0.00173113,0.09064241,-0.00020323,0.02682061,-0.00052760,0.02852738,-0.00000751,0.01252009,-0.00127787,0.02115704,-0.00003088,0.04205873,-0.00101354
3.56278139,0.22375273,-0.00401375,0.07615062,-0.00060477,0.00165786,-0.00137506,0.10232841,-0.00021640,0.02863033,-0.00046254,0.02862073,-0.00001017,0.01441505,-0.00101401,0.02331469,-0.00004183,0.04439991,-0.00082351
3.56878439,0.23653416,-0.00348519,0.07725204,-0.00054059,0.00177043,-0.00108586,0.11521937,-0.00024510,0.03075475,-0.00042332,0.02867633,-0.00001368,0.01647856,-0.00079948,0.02573150,-0.00005628,0.04695327,-0.00067502
3.57478739,0.25100502,-0.00315770,0.07859024,-0.00050842,0.00189190,-0.00085325,0.12926192,-0.00029202,0.03317764,-0.00040966,0.02870903,-0.00001827,0.01870343,-0.00062666,0.02839779,-0.00007521,0.04972250,-0.00056334
3.58079040,0.26708570,-0.00302434,0.08019896,-0.00050811,0.00202187,-0.00066818,0.14437322,-0.00036074,0.03587658,-0.00042208,0.02873395,-0.00002425,0.02107797,-0.00048884,0.03129831,-0.00009983,0.05270585,-0.00048471
3.58679340,0.28466060,-0.00308455,0.08210977,-0.00054059,0.00215963,-0.00052281,0.16043980,-0.00045592,0.03882286,-0.00046204,0.02876577,-0.00003197,0.02358572,-0.00038024,0.03441201,-0.00013165,0.05589530,-0.00043631
3.59279640,0.30357675,-0.00334449,0.08435058,-0.00060795,0.00230419,-0.00041044,0.17731759,-0.00058350,0.04198146,-0.00053197,0.02881807,-0.00004186,0.02620545,-0.00029595,0.03771202,-0.00017245,0.05927592,-0.00041639
3.59879940,0.32364362,-0.00381736,0.08694432,-0.00071348,0.00245424,-0.00032550,0.19483302,-0.00075084,0.04531139,-0.00063538,0.02890272,-0.00005445,0.02891128,-0.00023189,0.04116583,-0.00022442,0.06282545,-0.00042420
3.60480240,0.34463453,-0.00452373,0.08990770,-0.00086173,0.00260815,-0.00026339,0.21278545,-0.00096705,0.04876610,-0.00077688,0.02902933,-0.00007037,0.03167303,-0.00018480,0.04473577,-0.00029015,0.06651423,-0.00046006
