energy_ev,total_up,Bi_p_up,Bi_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,4.52809860,0.79120333,0.01081229,1.91117894,1.44283294,0.05317667,2.60366216
-5.99399700,4.34700769,0.75977186,0.01038587,1.82414641,1.39350887,0.05005691,2.50530074
-5.98799400,4.17354769,0.72993409,0.00997326,1.74151689,1.34751228,0.04704975,2.41103924
-5.98199100,4.00898909,0.70190352,0.00957832,1.66380685,1.30515820,0.04417029,2.32159336
-5.97598799,3.85433312,0.67584044,0.00920438,1.59139353,1.26667012,0.04143060,2.23752588
-5.96998499,3.71030630,0.65185362,0.00885422,1.52451804,1.23217918,0.03883989,2.15924051
-5.96398199,3.57736428,0.63000394,0.00853004,1.46329267,1.20172623,0.03640460,2.08698121
-5.95797899,3.45570467,0.61030947,0.00823346,1.40771202,1.17526666,0.03412870,2.02083683
-5.95197599,3.34528779,0.59275191,0.00796558,1.35766721,1.15267780,0.03201390,1.96075097
-5.94597299,3.24586433,0.57728363,0.00772694,1.31296242,1.13376856,0.03006001,1.90653639
-5.93996998,3.15700823,0.56383514,0.00751764,1.27333308,1.11829098,0.02826522,1.85789332
-5.93396698,3.07815311,0.55232246,0.00733736,1.23846473,1.10595293,0.02662645,1.81443082
-5.92796398,3.00863050,0.54265388,0.00718545,1.20801171,1.09643166,0.02513968,1.77569005
-5.92196098,2.94770787,0.53473592,0.00706096,1.18161498,1.08938749,0.02380020,1.74116849
-5.91595798,2.89462472,0.52847800,0.00696274,1.15891814,1.08447699,0.02260291,1.71034393
-5.90995498,2.84862533,0.52379578,0.00688948,1.13958126,1.08136520,0.02154252,1.68269722
-5.90395198,2.80898656,0.52061299,0.00683975,1.12329192,1.07973643,0.02061373,1.65773280
-5.89794897,2.77504008,0.51886173,0.00681209,1.10977312,1.07930316,0.01981133,1.63499628
-5.89194597,2.74618825,0.51848142,0.00680496,1.09878816,1.07981288,0.01913030,1.61408850
-5.88594297,2.72191361,0.51941650,0.00681685,1.09014227,1.08105274,0.01856584,1.59467564
-5.87993997,2.70178228,0.52161330,0.00684622,1.08368157,1.08285196,0.01811333,1.57649533
-5.87393697,2.68544178,0.52501628,0.00689152,1.07928940,1.08508222,0.01776834,1.55935896
-5.86793397,2.67261431,0.52956411,0.00695121,1.07688086,1.08765613,0.01752653,1.54315024
-5.86193097,2.66308661,0.53518591,0.00702373,1.07639594,1.09052432,0.01738359,1.52782084
-5.85592796,2.65669754,0.54179805,0.00710748,1.07779198,1.09367131,0.01733522,1.51338345
-5.84992496,2.65332491,0.54930175,0.00720086,1.08103602,1.09711066,0.01737699,1.49990314
-5.84392196,2.65287246,0.55758184,0.00730222,1.08609772,1.10087981,0.01750438,1.48748759
-5.83791896,2.65525822,0.56650659,0.00740989,1.09294312,1.10503497,0.01771272,1.47627706
-5.83191596,2.66040507,0.57592894,0.00752220,1.10152986,1.10964628,0.01799719,1.46643448
-5.82591296,2.66823386,0.58568886,0.00763747,1.11180397,1.11479355,0.01835290,1.45813645
-5.81990995,2.67865956,0.59561682,0.00775407,1.12369821,1.12056272,0.01877490,1.45156532
-5.81390695,2.69159025,0.60553805,0.00787044,1.13713216,1.12704304,0.01925828,1.44690270
-5.80790395,2.70692877,0.61527752,0.00798508,1.15201371,1.13432501,0.01979826,1.44432457
-5.80190095,2.72457652,0.62466501,0.00809666,1.16824173,1.14249899,0.02039030,1.44399782
-5.79589795,2.74443881,0.63354028,0.00820398,1.18570970,1.15165432,0.02103015,1.44607831
-5.78989495,2.76643116,0.64175788,0.00830605,1.20430977,1.16187890,0.02171400,1.45071016
-5.78389195,2.79048582,0.64919131,0.00840204,1.22393708,1.17325898,0.02243850,1.45802601
-5.77788894,2.81655799,0.65573645,0.00849137,1.24449392,1.18587912,0.02320086,1.46814813
-5.77188594,2.84463125,0.66131405,0.00857365,1.26589347,1.19982209,0.02399885,1.48118996
-5.76588294,2.87472190,0.66587127,0.00864873,1.28806301,1.21516891,0.02483082,1.49725811
-5.75987994,2.90688206,0.66938221,0.00871663,1.31094635,1.23199866,0.02569569,1.51645434
-5.75387694,2.94120148,0.67184764,0.00877757,1.33450558,1.25038837,0.02659293,1.53887761
-5.74787394,2.97780820,0.67329398,0.00883193,1.35872211,1.27041295,0.02752252,1.56462603
-5.74187094,3.01686825,0.67377173,0.00888025,1.38359706,1.29214507,0.02848489,1.59379855
