energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.30740330,0.00768611,0.00000000,0.00653654,0.22617656,0.02074293,0.61028486,0.32840229,0.29158342
-5.99399700,1.33447427,0.00828286,0.00000000,0.00707386,0.21225304,0.02177052,0.64566915,0.33542004,0.28620141
-5.98799400,1.36458133,0.00889834,0.00000000,0.00761056,0.19985084,0.02271898,0.68130675,0.34432459,0.28208836
-5.98199100,1.39735744,0.00952878,0.00000000,0.00814075,0.18900253,0.02357379,0.71690493,0.35496182,0.27926146
-5.97598799,1.43238110,0.01017021,0.00000000,0.00865844,0.17970572,0.02432217,0.75217543,0.36715107,0.27770959
-5.96998499,1.46918644,0.01081849,0.00000000,0.00915770,0.17192663,0.02495333,0.78683714,0.38068776,0.27739551
-5.96398199,1.50727243,0.01146925,0.00000000,0.00963273,0.16560381,0.02545879,0.82061795,0.39534634,0.27825793
-5.95797899,1.54611086,0.01211788,0.00000000,0.01007808,0.16065207,0.02583251,0.85325571,0.41088325,0.28021354
-5.95197599,1.58515309,0.01275956,0.00000000,0.01048874,0.15696630,0.02607102,0.88449836,0.42704015,0.28315899
-5.94597299,1.62383572,0.01338920,0.00000000,0.01086030,0.15442520,0.02617342,0.91410360,0.44354720,0.28697265
-5.93996998,1.66158554,0.01400146,0.00000000,0.01118902,0.15289471,0.02614129,0.94183828,0.46012660,0.29151642
-5.93396698,1.69782423,0.01459074,0.00000000,0.01147197,0.15223131,0.02597855,0.96747794,0.47649629,0.29663761
-5.92796398,1.73197344,0.01515126,0.00000000,0.01170708,0.15228506,0.02569122,0.99080682,0.49237411,0.30217105
-5.92196098,1.76346088,0.01567708,0.00000000,0.01189317,0.15290246,0.02528717,1.01161876,0.50748222,0.30794149
-5.91595798,1.79172795,0.01616220,0.00000000,0.01203003,0.15392917,0.02477576,1.02971918,0.52155202,0.31376660
-5.90995498,1.81623926,0.01660070,0.00000000,0.01211836,0.15521276,0.02416752,1.04492852,0.53432959,0.31946041
-5.90395198,1.83649446,0.01698685,0.00000000,0.01215981,0.15660528,0.02347382,1.05708710,0.54558142,0.32483739
-5.89794897,1.85204205,0.01731535,0.00000000,0.01215687,0.15796596,0.02270649,1.06606139,0.55510057,0.32971711
