energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,5.24728255,0.01104499,1.04044708,1.05348577,0.40904570,0.07452826,2.15358270,1.20305602,1.32118979
-5.99399700,5.33037171,0.01146730,1.04568082,1.08642269,0.41471699,0.07478012,2.20238717,1.22343102,1.33016181
-5.98799400,5.40118859,0.01191024,1.04748783,1.11816336,0.41997098,0.07478911,2.24762242,1.24228701,1.33525650
-5.98199100,5.46039301,0.01237787,1.04602608,1.14879853,0.42489899,0.07457206,2.28954656,1.25996945,1.33671454
-5.97598799,5.50892889,0.01287429,1.04152171,1.17845854,0.42959737,0.07415049,2.32851431,1.27686802,1.33486069
-5.96998499,5.54798903,0.01340357,1.03426183,1.20730336,0.43416344,0.07354993,2.36496303,1.29340161,1.33009375
-5.96398199,5.57897351,0.01396963,1.02458612,1.23551145,0.43869163,0.07279912,2.39939638,1.31000247,1.32287499
-5.95797899,5.60344327,0.01457608,1.01287761,1.26326770,0.44326978,0.07192911,2.43236612,1.32709974,1.31371560
-5.95197599,5.62307056,0.01522614,0.99955291,1.29075123,0.44797594,0.07097234,2.46445265,1.34510336,1.30316346
-5.94597299,5.63958795,0.01592252,0.98505224,1.31812355,0.45287560,0.06996172,2.49624517,1.36438865,1.29178978
-5.93996998,5.65473766,0.01666729,0.96982950,1.34551778,0.45801952,0.06892966,2.52832188,1.38528242,1.28017608
-5.93396698,5.67022298,0.01746179,0.95434285,1.37302944,0.46344220,0.06790722,2.56123108,1.40805103,1.26890164
-5.92796398,5.68766321,0.01830653,0.93904576,1.40070925,0.46916102,0.06692331,2.59547379,1.43289085,1.25853206
-5.92196098,5.70855358,0.01920112,0.92437900,1.42855835,0.47517605,0.06600397,2.63148839,1.45992150,1.24960901
-5.91595798,5.73423134,0.02014422,0.91076361,1.45652613,0.48147051,0.06517183,2.66963782,1.48918212,1.24264135
-5.90995498,5.76584874,0.02113345,0.89859487,1.48451083,0.48801192,0.06444558,2.71019978,1.52063080,1.23809785
-5.90395198,5.80435344,0.02216543,0.88823752,1.51236265,0.49475366,0.06383980,2.75335992,1.55414699,1.23640149
-5.89794897,5.85047655,0.02323572,0.88002204,1.53988935,0.50163719,0.06336468,2.79920845,1.58953699,1.23792523
-5.89194597,5.90472807,0.02433883,0.87424197,1.56686374,0.50859446,0.06302613,2.84773977,1.62654194,1.24298933
-5.88594297,5.96739915,0.02546833,0.87115228,1.59303283,0.51555070,0.06282586,2.89885516,1.66484806,1.25185980
-5.87993997,6.03857033,0.02661680,0.87096845,1.61812774,0.52242727,0.06276169,2.95236811,1.70409862,1.26474800
-5.87393697,6.11812479,0.02777601,0.87386631,1.64187412,0.52914452,0.06282787,3.00801170,1.74390697,1.28181094
-5.86793397,6.20576515,0.02893695,0.87998216,1.66400216,0.53562453,0.06301563,3.06544781,1.78387002,1.30315221
-5.86193097,6.30103262,0.03008996,0.88941335,1.68425576,0.54179356,0.06331363,3.12427725,1.82358151,1.32882301
-5.85592796,6.40332711,0.03122485,0.90221874,1.70240044,0.54758418,0.06370858,3.18405049,1.86264458,1.35882326
-5.84992496,6.51192706,0.03233106,0.91841917,1.71822941,0.55293692,0.06418581,3.24427834,1.90068278,1.39310249
-5.84392196,6.62600781,0.03339779,0.93799763,1.73156781,0.55780139,0.06472984,3.30444213,1.93734938,1.43156028
