energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.07563605,0.34187427,0.00509255,0.23948096,1.76345517,0.39278780,0.01972826,0.94186069
-5.99399700,2.03532342,0.34117600,0.00524127,0.23035246,1.69707471,0.38683916,0.02050417,0.92767610
-5.98799400,1.99427988,0.34058324,0.00540419,0.22078137,1.62702980,0.38131394,0.02130515,0.91323395
-5.98199100,1.95336773,0.34016351,0.00558156,0.21090358,1.55440534,0.37636726,0.02212583,0.89889015
-5.97598799,1.91337866,0.33996867,0.00577299,0.20085600,1.48029166,0.37212761,0.02295970,0.88496636
-5.96998499,1.87500605,0.34003159,0.00597747,0.19077217,1.40575185,0.36869228,0.02379911,0.87173832
-5.96398199,1.83882293,0.34036362,0.00619331,0.18077837,1.33179196,0.36612440,0.02463538,0.85942685
-5.95797899,1.80526636,0.34095329,0.00641818,0.17099020,1.25933528,0.36445158,0.02545890,0.84819150
-5.95197599,1.77462889,0.34176611,0.00664912,0.16150992,1.18920180,0.36366635,0.02625930,0.83812746
-5.94597299,1.74705718,0.34274562,0.00688260,0.15242455,1.12209328,0.36372822,0.02702573,0.82926538
-5.93996998,1.72255754,0.34381554,0.00711461,0.14380484,1.05858446,0.36456718,0.02774705,0.82157423
-5.93396698,1.70100789,0.34488299,0.00734079,0.13570511,0.99912016,0.36608859,0.02841218,0.81496678
-5.92796398,1.68217510,0.34584250,0.00755652,0.12816385,0.94401825,0.36817896,0.02901038,0.80930735
-5.92196098,1.66573680,0.34658071,0.00775710,0.12120509,0.89347754,0.37071251,0.02953154,0.80442133
-5.91595798,1.65130614,0.34698149,0.00793784,0.11484040,0.84759023,0.37355797,0.02996651,0.80010594
-5.90995498,1.63845838,0.34693115,0.00809429,0.10907130,0.80635752,0.37658550,0.03030738,0.79614168
-5.90395198,1.62675780,0.34632362,0.00822229,0.10389203,0.76970776,0.37967316,0.03054766,0.79230387
-5.89794897,1.61578367,0.34506523,0.00831820,0.09929243,0.73751576,0.38271289,0.03068256,0.78837383
-5.89194597,1.60515417,0.34307895,0.00837896,0.09526085,0.70962239,0.38561547,0.03070904,0.78414915
-5.88594297,1.59454724,0.34030793,0.00840221,0.09178688,0.68585344,0.38831455,0.03062598,0.77945276
-5.87993997,1.58371750,0.33671805,0.00838641,0.08886369,0.66603691,0.39076936,0.03043412,0.77414040
-5.87393697,1.57250885,0.33229966,0.00833082,0.08649014,0.65001795,0.39296626,0.03013609,0.76810633
-5.86793397,1.56086221,0.32706811,0.00823561,0.08467217,0.63767103,0.39491889,0.02973626,0.76128718
-5.86193097,1.54881854,0.32106342,0.00810183,0.08342380,0.62890875,0.39666718,0.02924060,0.75366381
-5.85592796,1.53651709,0.31434889,0.00793136,0.08276745,0.62368739,0.39827520,0.02865653,0.74526136
