energy_ev,total_up,Ge_p_up,Ge_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,3.24412779,0.61184082,0.00000000,1.33946894,1.15597858,0.04822935,1.45953641
-5.99399700,3.30025295,0.62317485,0.00000000,1.36495857,1.17709287,0.04939013,1.48290256
-5.98799400,3.35809472,0.63404656,0.00000000,1.39123731,1.19975522,0.05058824,1.50813262
-5.98199100,3.41769913,0.64446515,0.00000000,1.41831451,1.22396899,0.05181575,1.53525053
-5.97598799,3.47903109,0.65442932,0.00000000,1.44615250,1.24970454,0.05306304,1.56423887
-5.96998499,3.54195940,0.66392446,0.00000000,1.47466102,1.27689503,0.05431885,1.59503265
-5.96398199,3.60624433,0.67292049,0.00000000,1.50369342,1.30543294,0.05557026,1.62751406
-5.95797899,3.67152884,0.68137030,0.00000000,1.53304503,1.33516761,0.05680281,1.66150885
-5.95197599,3.73733416,0.68920906,0.00000000,1.56245396,1.36590410,0.05800063,1.69678452
-5.94597299,3.80306068,0.69635428,0.00000000,1.59160455,1.39740381,0.05914663,1.73305091
-5.93996998,3.86799467,0.70270701,0.00000000,1.62013350,1.42938691,0.06022282,1.76996332
-5.93396698,3.93132116,0.70815385,0.00000000,1.64763868,1.46153686,0.06121062,1.80712855
-5.92796398,3.99214292,0.71257008,0.00000000,1.67369055,1.49350710,0.06209125,1.84411363
-5.92196098,4.04950535,0.71582355,0.00000000,1.69784569,1.52492968,0.06284623,1.88045738
-5.91595798,4.10242639,0.71777940,0.00000000,1.71966215,1.55542574,0.06345785,1.91568430
-5.90995498,4.14993042,0.71830537,0.00000000,1.73871598,1.58461737,0.06390968,1.94932024
-5.90395198,4.19108477,0.71727746,0.00000000,1.75461824,1.61214040,0.06418714,1.98090942
-5.89794897,4.22503718,0.71458575,0.00000000,1.76703182,1.63765750,0.06427803,2.01003172
-5.89194597,4.25105231,0.71014005,0.00000000,1.77568718,1.66087097,0.06417299,2.03631954
-5.88594297,4.26854550,0.70387525,0.00000000,1.78039625,1.68153447,0.06386596,2.05947328
-5.87993997,4.27711201,0.69575586,0.00000000,1.78106387,1.69946297,0.06335452,2.07927448
-5.87393697,4.27654987,0.68577985,0.00000000,1.77769595,1.71454046,0.06264018,2.09559589
-5.86793397,4.26687528,0.67398125,0.00000000,1.77040409,1.72672474,0.06172850,2.10840782
-5.86193097,4.24832934,0.66043160,0.00000000,1.75940611,1.73604905,0.06062914,2.11778021
-5.85592796,4.22137562,0.64524007,0.00000000,1.74502253,1.74262023,0.05935572,2.12388027
-5.84992496,4.18668859,0.62855219,0.00000000,1.72766906,1.74661356,0.05792559,2.12696569
-5.84392196,4.14513328,0.61054734,0.00000000,1.70784527,1.74826432,0.05635949,2.12737362
-5.83791896,4.09773715,0.59143498,0.00000000,1.68612014,1.74785659,0.05468101,2.12550611
-5.83191596,4.04565549,0.57144981,0.00000000,1.66311492,1.74570978,0.05291603,2.12181254
-5.82591296,3.99013218,0.55084611,0.00000000,1.63948429,1.74216360,0.05109207,2.11677012
-5.81990995,3.93245765,0.52989148,0.00000000,1.61589657,1.73756244,0.04923757,2.11086361
-5.81390695,3.87392632,0.50886024,0.00000000,1.59301408,1.73223971,0.04738113,2.10456507
-5.80790395,3.81579565,0.48802671,0.00000000,1.57147433,1.72650340,0.04555081,2.09831520
-5.80190095,3.75924872,0.46765879,0.00000000,1.55187325,1.72062345,0.04377341,2.09250695
-5.79589795,3.70536238,0.44801196,0.00000000,1.53475088,1.71482171,0.04207385,2.08747258
-5.78989495,3.65508230,0.42932397,0.00000000,1.52058036,1.70926513,0.04047461,2.08347479
-5.78389195,3.60920601,0.41181037,0.00000000,1.50976055,1.70406264,0.03899531,2.08070243
-5.77788894,3.56837467,0.39566117,0.00000000,1.50261251,1.69926574,0.03765240,2.07927102
