energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.00237189,0.99324465,0.51427329,0.02150292,0.27578015,0.03995009,0.73434599,0.07088701,0.27555915
-5.99399700,1.88225925,0.95092667,0.47496507,0.02049729,0.25888369,0.03761157,0.68895806,0.06711679,0.25957930
-5.98799400,1.77080093,0.91712298,0.43829531,0.01942584,0.24444398,0.03538504,0.64620752,0.06386601,0.24404461
-5.98199100,1.66893329,0.89222686,0.40438531,0.01830521,0.23250610,0.03329549,0.60644362,0.06115485,0.22915303
-5.97598799,1.57752880,0.87658327,0.37334196,0.01715258,0.22310532,0.03136675,0.56999523,0.05900052,0.21509244
-5.96998499,1.49736109,0.87046866,0.34525276,0.01598515,0.21626358,0.02962075,0.53715823,0.05741617,0.20203479
-5.96398199,1.42907196,0.87407037,0.32018112,0.01481968,0.21198576,0.02807674,0.50818369,0.05640973,0.19013083
-5.95797899,1.37314162,0.88746650,0.29816226,0.01367201,0.21025605,0.02675067,0.48326715,0.05598283,0.17950571
-5.95197599,1.32986345,0.91060724,0.27919985,0.01255668,0.21103465,0.02565471,0.46253977,0.05612967,0.17025542
-5.94597299,1.29932445,0.94329867,0.26326366,0.01148659,0.21425492,0.02479683,0.44606147,0.05683620,0.16244435
-5.93996998,1.28139206,0.98518989,0.25028830,0.01047281,0.21982116,0.02418061,0.43381632,0.05807932,0.15610385
-5.93396698,1.27570808,1.03576443,0.24017310,0.00952437,0.22760736,0.02380512,0.42571058,0.05982651,0.15123197
-5.92796398,1.28168984,1.09433660,0.23278323,0.00864823,0.23745682,0.02366505,0.42157323,0.06203559,0.14779417
-5.92196098,1.29853874,1.16005324,0.22795198,0.00784925,0.24918287,0.02375089,0.42115902,0.06465493,0.14572508
-5.91595798,1.32525590,1.23190142,0.22548407,0.00713033,0.26257077,0.02404929,0.42415396,0.06762391,0.14493111
