energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.29613765,0.03204140,0.03947435,0.08263822,2.07888686,0.48210414,0.15788902,0.99105068,0.16888074
-5.99399700,3.09402589,0.03117588,0.03727466,0.07754087,1.95162840,0.45370375,0.14600309,0.94870982,0.16283512
-5.98799400,2.90047376,0.03030762,0.03506643,0.07257659,1.82993363,0.42748987,0.13444515,0.90771166,0.15705643
-5.98199100,2.71784229,0.02945731,0.03288169,0.06781039,1.71529136,0.40379998,0.12332610,0.86881777,0.15168057
-5.97598799,2.54820938,0.02864538,0.03075082,0.06329994,1.60900840,0.38291522,0.11274144,0.83273913,0.14683924
-5.96998499,2.39333220,0.02789120,0.02870194,0.05909468,1.51218595,0.36505537,0.10277029,0.80011297,0.14265621
-5.96398199,2.25461897,0.02721237,0.02676036,0.05523507,1.42570192,0.35037531,0.09347494,0.77148247,0.13924377
-5.95797899,2.13310997,0.02662412,0.02494814,0.05175223,1.35019915,0.33896291,0.08490085,0.74727996,0.13669956
-5.95197599,2.02946786,0.02613880,0.02328376,0.04866768,1.28607947,0.33083833,0.07707723,0.72781408,0.13510362
-5.94597299,1.94397713,0.02576546,0.02178190,0.04599345,1.23350366,0.32595472,0.07001792,0.71326121,0.13451616
-5.93996998,1.87655241,0.02550967,0.02045325,0.04373229,1.19239692,0.32420033,0.06372258,0.70366137,0.13497570
-5.93396698,1.82675543,0.02537342,0.01930454,0.04187819,1.16245996,0.32540211,0.05817824,0.69891875,0.13649809
-5.92796398,1.79382028,0.02535525,0.01833863,0.04041700,1.14318526,0.32933054,0.05336091,0.69880679,0.13907617
-5.92196098,1.77668624,0.02545046,0.01755464,0.03932734,1.13387828,0.33570599,0.04923745,0.70297767,0.14268025
-5.91595798,1.77403784,0.02565157,0.01694829,0.03858153,1.13368311,0.34420624,0.04576741,0.71097589,0.14725944
-5.90995498,1.78435084,0.02594885,0.01651224,0.03814672,1.14161207,0.35447523,0.04290493,0.72225546,0.15274374
-5.90395198,1.80594342,0.02633097,0.01623655,0.03798609,1.15657848,0.36613279,0.04060066,0.73620010,0.15904687
-5.89794897,1.83703100,0.02678576,0.01610916,0.03806014,1.17743178,0.37878517,0.03880353,0.75214574,0.16606979
-5.89194597,1.87578307,0.02730091,0.01611645,0.03832795,1.20299402,0.39203602,0.03746249,0.76940452,0.17370464
-5.88594297,1.92038049,0.02786483,0.01624384,0.03874845,1.23209640,0.40549758,0.03652799,0.78728921,0.18183913
-5.87993997,1.96907108,0.02846730,0.01647636,0.03928168,1.26361494,0.41880161,0.03595341,0.80513731,0.19036098
