energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.59667614,0.00539968,0.11054937,0.44797127,0.59075511,0.00566167,0.89641722,0.23067546,0.18282900
-5.99399700,1.65582216,0.00546525,0.11753088,0.46285170,0.60693904,0.00564082,0.92852939,0.23553802,0.19356327
-5.98799400,1.71993469,0.00552805,0.12513496,0.47962590,0.62336544,0.00559884,0.96349642,0.24127282,0.20509229
-5.98199100,1.78945965,0.00558939,0.13337225,0.49847269,0.64016729,0.00553704,1.00161965,0.24798002,0.21745497
-5.97598799,1.86490002,0.00565106,0.14225859,0.51958012,0.65751539,0.00545758,1.04322587,0.25576582,0.23069468
-5.96998499,1.94678084,0.00571518,0.15181404,0.54313297,0.67560723,0.00536336,1.08864494,0.26473567,0.24485598
-5.96398199,2.03560808,0.00578405,0.16206130,0.56929876,0.69465361,0.00525789,1.13818418,0.27498660,0.25998074
-5.95797899,2.13182352,0.00585999,0.17302362,0.59821302,0.71486339,0.00514512,1.19210101,0.28659911,0.27610367
-5.95197599,2.23575807,0.00594515,0.18472230,0.62996444,0.73642739,0.00502932,1.25057521,0.29962911,0.29324761
-5.94597299,2.34758609,0.00604135,0.19717384,0.66458095,0.75950220,0.00491485,1.31368235,0.31410021,0.31141880
-5.93996998,2.46728346,0.00614992,0.21038700,0.70201732,0.78419495,0.00480605,1.38137010,0.32999704,0.33060236
-5.93396698,2.59459211,0.00627153,0.22435987,0.74214527,0.81054980,0.00470701,1.45343880,0.34725979,0.35075841
-5.92796398,2.72899333,0.00640611,0.23907715,0.78474661,0.83853725,0.00462148,1.52952775,0.36578046,0.37181894
-5.92196098,2.86969187,0.00655275,0.25450779,0.82951000,0.86804676,0.00455270,1.60910825,0.38540116,0.39368580
-5.91595798,3.01561244,0.00670968,0.27060321,0.87603173,0.89888334,0.00450328,1.69148422,0.40591445,0.41622991
-5.90995498,3.16540929,0.00687428,0.28729614,0.92382058,0.93076856,0.00447520,1.77580066,0.42706610,0.43929188
-5.90395198,3.31748921,0.00704310,0.30450027,0.97230682,0.96334583,0.00446967,1.86106014,0.44855997,0.46268402
-5.89794897,3.47004719,0.00721201,0.32211064,1.02085504,0.99619009,0.00448718,1.94614661,0.47006505,0.48619384
-5.89194597,3.62111362,0.00737632,0.34000489,1.06878035,1.02882133,0.00452751,2.02985584,0.49122432,0.50958868
-5.88594297,3.76861100,0.00753093,0.35804525,1.11536730,1.06072143,0.00458977,2.11093113,0.51166512,0.53262163
-5.87993997,3.91041761,0.00767056,0.37608122,1.15989072,1.09135351,0.00467250,2.18810289,0.53101059,0.55503806
-5.87393697,4.04443540,0.00778994,0.39395272,1.20163773,1.12018275,0.00477374,2.26013011,0.54889166,0.57658287
-5.86793397,4.16865878,0.00788405,0.41149374,1.23992969,1.14669777,0.00489117,2.32584204,0.56495911,0.59700776
-5.86193097,4.28124116,0.00794831,0.42853606,1.27414345,1.17043134,0.00502227,2.38417803,0.57889512,0.61607843
-5.85592796,4.38055611,0.00797879,0.44491311,1.30373083,1.19097952,0.00516441,2.43422373,0.59042385,0.63358118
-5.84992496,4.46525030,0.00797240,0.46046356,1.32823549,1.20801807,0.00531502,2.47524202,0.59932058,0.64932865
