energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.05047360,0.26947024,1.95876417,0.00793627,0.29615535,0.07394072,0.49601723
-5.99399700,3.06512897,0.25989600,1.98286056,0.00817829,0.29903719,0.07344031,0.49068089
-5.98799400,3.08611024,0.25123721,2.01126473,0.00840084,0.30233411,0.07293571,0.48697257
-5.98199100,3.11386235,0.24361031,2.04423182,0.00860062,0.30607025,0.07243554,0.48499808
-5.97598799,3.14858505,0.23711457,2.08185023,0.00877460,0.31024929,0.07194428,0.48481034
-5.96998499,3.19023193,0.23183336,2.12403936,0.00892012,0.31485433,0.07146229,0.48640990
-5.96398199,3.23851890,0.22783570,2.17055416,0.00903494,0.31984856,0.07098601,0.48974714
-5.95797899,3.29294158,0.22517814,2.22099616,0.00911729,0.32517664,0.07050831,0.49472626
-5.95197599,3.35280102,0.22390663,2.27483069,0.00916589,0.33076694,0.07001899,0.50121063
-5.94597299,3.41723630,0.22405822,2.33140926,0.00918002,0.33653438,0.06950547,0.50902940
-5.93996998,3.48526267,0.22566257,2.38999629,0.00915947,0.34238380,0.06895343,0.51798503
-5.93396698,3.55581327,0.22874287,2.44979877,0.00910458,0.34821388,0.06834769,0.52786131
-5.92796398,3.62778255,0.23331624,2.50999754,0.00901623,0.35392115,0.06767298,0.53843162
-5.92196098,3.70006939,0.23939338,2.56977875,0.00889578,0.35940422,0.06691478,0.54946689
-5.91595798,3.77161785,0.24697755,2.62836410,0.00874507,0.36456789,0.06606011,0.56074311
-5.90995498,3.84145391,0.25606285,2.68503839,0.00856636,0.36932693,0.06509824,0.57204790
-5.90395198,3.90871643,0.26663178,2.73917344,0.00836231,0.37360950,0.06402125,0.58318592
-5.89794897,3.97268145,0.27865243,2.79024726,0.00813589,0.37735996,0.06282457,0.59398311
-5.89194597,4.03277873,0.29207531,2.83785790,0.00789034,0.38054097,0.06150725,0.60428929
-5.88594297,4.08860055,0.30683014,2.88173165,0.00762913,0.38313484,0.06007213,0.61397958
-5.87993997,4.13990266,0.32282285,2.92172554,0.00735587,0.38514408,0.05852583,0.62295427
-5.87393697,4.18659810,0.33993317,2.95782446,0.00707424,0.38659106,0.05687860,0.63113760
-5.86793397,4.22874482,0.35801296,2.99013333,0.00678796,0.38751705,0.05514396,0.63847558
-5.86193097,4.26652839,0.37688568,3.01886529,0.00650068,0.38798036,0.05333826,0.64493304
-5.85592796,4.30024122,0.39634715,3.04432666,0.00621597,0.38805413,0.05148011,0.65049037
-5.84992496,4.33025982,0.41616781,3.06689977,0.00593724,0.38782346,0.04958975,0.65514012
-5.84392196,4.35702179,0.43609652,3.08702463,0.00566766,0.38738237,0.04768835,0.65888390
-5.83791896,4.38100362,0.45586596,3.10518051,0.00541019,0.38683052,0.04579732,0.66172966
-5.83191596,4.40270075,0.47519942,3.12186814,0.00516747,0.38627001,0.04393764,0.66368967
-5.82591296,4.42261065,0.49381892,3.13759330,0.00494184,0.38580218,0.04212920,0.66477934
-5.81990995,4.44121932,0.51145418,3.15285233,0.00473532,0.38552474,0.04039030,0.66501688
-5.81390695,4.45899169,0.52785231,3.16811974,0.00454956,0.38552921,0.03873715,0.66442370
-5.80790395,4.47636544,0.54278748,3.18383813,0.00438589,0.38589872,0.03718357,0.66302564
-5.80190095,4.49374818,0.55607045,3.20041034,0.00424529,0.38670630,0.03574072,0.66085475
-5.79589795,4.51151700,0.56755720,3.21819355,0.00412841,0.38801358,0.03441703,0.65795132
-5.78989495,4.53001996,0.57715637,3.23749518,0.00403560,0.38986997,0.03321819,0.65436613
-5.78389195,4.54957848,0.58483505,3.25857014,0.00396689,0.39231223,0.03214726,0.65016256
-5.77788894,4.57048990,0.59062266,3.28161915,0.00392207,0.39536442,0.03120488,0.64541826
-5.77188594,4.59302959,0.59461255,3.30678785,0.00390065,0.39903822,0.03038956,0.64022636
-5.76588294,4.61745192,0.59696131,3.33416641,0.00390190,0.40333347,0.02969795,0.63469589
-5.75987994,4.64398986,0.59788570,3.36378951,0.00392490,0.40823897,0.02912529,0.62895136
-5.75387694,4.67285289,0.59765729,3.39563664,0.00396850,0.41373334,0.02866573,0.62313156
-5.74787394,4.70422333,0.59659503,3.42963258,0.00403140,0.41978608,0.02831275,0.61738736
-5.74187094,4.73825113,0.59505591,3.46564816,0.00411211,0.42635854,0.02805948,0.61187880
-5.73586793,4.77504747,0.59342427,3.50350143,0.00420898,0.43340498,0.02789908,0.60677148
-5.72986493,4.81467736,0.59209983,3.54295911,0.00432024,0.44087343,0.02782496,0.60223228
-5.72386193,4.85715184,0.59148522,3.58373853,0.00444399,0.44870655,0.02783105,0.59842483
-5.71785893,4.90241993,0.59197317,3.62551001,0.00457822,0.45684229,0.02791196,0.59550460
-5.71185593,4.95036078,0.59393385,3.66789965,0.00472084,0.46521436,0.02806303,0.59361407
-5.70585293,5.00077639,0.59770290,3.71049257,0.00486967,0.47375259,0.02828038,0.59287784
-5.69984992,5.05338510,0.60357030,3.75283641,0.00502252,0.48238311,0.02856088,0.59339815
-5.69384692,5.10781615,0.61177050,3.79444519,0.00517714,0.49102829,0.02890198,0.59525066
-5.68784392,5.16360565,0.62247417,3.83480328,0.00533132,0.49960674,0.02930156,0.59848084
-5.68184092,5.22019410,0.63578157,3.87336978,0.00548285,0.50803307,0.02975775,0.60310087
-5.67583792,5.27692594,0.65171798,3.90958294,0.00562959,0.51621776,0.03026858,0.60908741
-5.66983492,5.33305129,0.67023106,3.94286522,0.00576947,0.52406706,0.03083178,0.61638002
-5.66383192,5.38773047,0.69119041,3.97262870,0.00590055,0.53148306,0.03144444,0.62488059
-5.65782891,5.44004151,0.71438928,3.99828140,0.00602097,0.53836398,0.03210272,0.63445369
-5.65182591,5.48899115,0.73954845,4.01923460,0.00612907,0.54460474,0.03280165,0.64492802
-5.64582291,5.53352957,0.76632213,4.03491138,0.00622330,0.55009791,0.03353486,0.65609888
-5.63981991,5.57256915,0.79430595,4.04475671,0.00630235,0.55473510,0.03429447,0.66773182
-5.63381691,5.60500718,0.82304672,4.04824907,0.00636506,0.55840868,0.03507100,0.67956738
-5.62781391,5.62975240,0.85205375,4.04491359,0.00641050,0.56101401,0.03585341,0.69132696
-5.62181091,5.64575500,0.88081162,4.03433667,0.00643799,0.56245195,0.03662915,0.70271960
-5.61580790,5.65203920,0.90879386,4.01618159,0.00644705,0.56263173,0.03738443,0.71344972
-5.60980490,5.64773756,0.93547731,3.99020465,0.00643749,0.56147397,0.03810445,0.72322538
-5.60380190,5.63212561,0.96035665,3.95627122,0.00640934,0.55891380,0.03877380,0.73176705
-5.59779890,5.60465544,0.98295874,3.91437065,0.00636295,0.55490386,0.03937689,0.73881643
-5.59179590,5.56498650,1.00285618,3.86462943,0.00629890,0.54941709,0.03989847,0.74414501
-5.58579290,5.51301206,1.01967978,3.80732131,0.00621807,0.54244914,0.04032411,0.74756204
-5.57978989,5.44887949,1.03312930,3.74287376,0.00612162,0.53402022,0.04064076,0.74892154
-5.57378689,5.37300313,1.04298225,3.67186966,0.00601095,0.52417630,0.04083727,0.74812799
-5.56778389,5.28606831,1.04910031,3.59504380,0.00588772,0.51298956,0.04090483,0.74514039
-5.56178089,5.18902590,1.05143310,3.51327362,0.00575380,0.50055796,0.04083743,0.73997442
