energy_ev,total_up,As_p_up,As_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.42487147,0.48554689,0.00000000,0.49361389,0.00000000,0.47154762,0.31337286
-5.99399700,1.34932042,0.46557414,0.00000000,0.46080517,0.00000000,0.45145538,0.30349087
-5.98799400,1.27644386,0.44632682,0.00000000,0.42911080,0.00000000,0.43182094,0.29397316
-5.98199100,1.20647864,0.42779318,0.00000000,0.39872517,0.00000000,0.41272735,0.28477850
-5.97598799,1.13958581,0.40994498,0.00000000,0.36980527,0.00000000,0.39423437,0.27585529
-5.96998499,1.07585063,0.39273863,0.00000000,0.34246928,0.00000000,0.37637872,0.26714344
-5.96398199,1.01528689,0.37611763,0.00000000,0.31679694,0.00000000,0.35917590,0.25857710
-5.95797899,0.95784501,0.36001583,0.00000000,0.29283166,0.00000000,0.34262312,0.25008782
-5.95197599,0.90342307,0.34436162,0.00000000,0.27058398,0.00000000,0.32670335,0.24160808
-5.94597299,0.85187998,0.32908238,0.00000000,0.25003601,0.00000000,0.31138976,0.23307488
-5.93996998,0.80304959,0.31410912,0.00000000,0.23114662,0.00000000,0.29665056,0.22443323
-5.93396698,0.75675476,0.29938084,0.00000000,0.21385682,0.00000000,0.28245358,0.21563923
-5.92796398,0.71282044,0.28484832,0.00000000,0.19809510,0.00000000,0.26877040,0.20666255
-5.92196098,0.67108498,0.27047712,0.00000000,0.18378232,0.00000000,0.25557969,0.19748820
-5.91595798,0.63140887,0.25624958,0.00000000,0.17083603,0.00000000,0.24286957,0.18811751
-5.90995498,0.59368073,0.24216567,0.00000000,0.15917385,0.00000000,0.23063891,0.17856812
-5.90395198,0.55782024,0.22824278,0.00000000,0.14871598,0.00000000,0.21889741,0.16887319
-5.89794897,0.52377801,0.21451433,0.00000000,0.13938678,0.00000000,0.20766465,0.15907981
-5.89194597,0.49153283,0.20102755,0.00000000,0.13111535,0.00000000,0.19696817,0.14924670
-5.88594297,0.46108662,0.18784041,0.00000000,0.12383533,0.00000000,0.18684077,0.13944137
-5.87993997,0.43245756,0.17501801,0.00000000,0.11748414,0.00000000,0.17731728,0.12973704
-5.87393697,0.40567230,0.16262872,0.00000000,0.11200160,0.00000000,0.16843104,0.12020927
-5.86793397,0.38075757,0.15074025,0.00000000,0.10732838,0.00000000,0.16021039,0.11093274
