energy_ev,total_up,In_p_up,In_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.08588344,0.49104039,0.01331787,1.25833746,4.30844424,1.54626814,0.00000000
-5.99399700,5.95921841,0.47588991,0.01283335,1.21591232,4.23297331,1.52930517,0.00000000
-5.98799400,5.83380915,0.46026715,0.01240596,1.17395847,4.15789981,1.51135584,0.00000000
-5.98199100,5.71019677,0.44421041,0.01203756,1.13264377,4.08361917,1.49252923,0.00000000
-5.97598799,5.58905494,0.42777939,0.01172923,1.09216533,4.01062559,1.47298192,0.00000000
-5.96998499,5.47117450,0.41105419,0.01148128,1.05274739,3.93950086,1.45290997,0.00000000
-5.96398199,5.35744176,0.39413367,0.01129328,1.01463774,3.87089855,1.43253907,0.00000000
-5.95797899,5.24881159,0.37713354,0.01116408,0.97810272,3.80552444,1.41211352,0.00000000
-5.95197599,5.14627681,0.36018397,0.01109186,0.94342126,3.74411415,1.39188465,0.00000000
-5.94597299,5.05083577,0.34342697,0.01107417,0.91087812,3.68740940,1.37209925,0.00000000
-5.93996998,4.96345989,0.32701350,0.01110797,0.88075677,3.63613416,1.35298882,0.00000000
-5.93396698,4.88506310,0.31110057,0.01118973,0.85333231,3.59097220,1.33476017,0.00000000
-5.92796398,4.81647500,0.29584820,0.01131546,0.82886475,3.55254716,1.31758797,0.00000000
-5.92196098,4.75841900,0.28141649,0.01148085,0.80759301,3.52140636,1.30160962,0.00000000
-5.91595798,4.71149682,0.26796278,0.01168133,0.78972980,3.49800916,1.28692271,0.00000000
-5.90995498,4.67617985,0.25563903,0.01191223,0.77545780,3.48272023,1.27358520,0.00000000
-5.90395198,4.65280755,0.24458928,0.01216885,0.76492705,3.47580821,1.26161820,0.00000000
-5.89794897,4.64159280,0.23494755,0.01244665,0.75825371,3.47744922,1.25101110,0.00000000
-5.89194597,4.64263331,0.22683580,0.01274132,0.75552014,3.48773504,1.24172862,0.00000000
-5.88594297,4.65592809,0.22036231,0.01304895,0.75677615,3.50668498,1.23371934,0.00000000
-5.87993997,4.68139762,0.21562019,0.01336612,0.76204125,3.53426056,1.22692496,0.00000000
-5.87393697,4.71890612,0.21268618,0.01369002,0.77130780,3.57038192,1.22128980,0.00000000
-5.86793397,4.76828439,0.21161975,0.01401853,0.78454450,3.61494460,1.21676977,0.00000000
-5.86193097,4.82935149,0.21246227,0.01435025,0.80170028,3.66783579,1.21334023,0.00000000
-5.85592796,4.90193387,0.21523650,0.01468457,0.82270804,3.72894879,1.21100238,0.00000000
-5.84992496,4.98588075,0.21994622,0.01502164,0.84748807,3.79819482,1.20978746,0.00000000
-5.84392196,5.08107463,0.22657607,0.01536237,0.87595089,3.87551150,1.20975891,0.00000000
-5.83791896,5.18743642,0.23509160,0.01570833,0.90799929,3.96086740,1.21101196,0.00000000
-5.83191596,5.30492482,0.24543953,0.01606174,0.94352939,4.05426257,1.21367103,0.00000000
-5.82591296,5.43352997,0.25754825,0.01642526,0.98243072,4.15572480,1.21788479,0.00000000
-5.81990995,5.57326165,0.27132854,0.01680194,1.02458513,4.26530198,1.22381946,0.00000000
-5.81390695,5.72413278,0.28667465,0.01719503,1.06986476,4.38305088,1.23165048,0.00000000
