energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.57410383,0.01559524,0.00000000,0.01743183,0.15664385,1.06841602,0.51612498,0.01759747,0.74830081
-5.99399700,1.51964400,0.01502205,0.00000000,0.01702135,0.15154663,1.03404985,0.49638441,0.01704977,0.72368513
-5.98799400,1.45967509,0.01438608,0.00000000,0.01658687,0.14578973,0.99449851,0.47550117,0.01641662,0.69604739
-5.98199100,1.39519198,0.01369644,0.00000000,0.01614271,0.13946213,0.95053407,0.45376183,0.01570719,0.66589201
-5.97598799,1.32732100,0.01296328,0.00000000,0.01570488,0.13266611,0.90300475,0.43150323,0.01493225,0.63378216
-5.96998499,1.25728632,0.01219750,0.00000000,0.01529058,0.12551383,0.85280902,0.40910393,0.01410379,0.60032215
-5.96398199,1.18637455,0.01141041,0.00000000,0.01491768,0.11812364,0.80086919,0.38697474,0.01323460,0.56613886
-5.95797899,1.11589863,0.01061340,0.00000000,0.01460411,0.11061636,0.74810555,0.36554883,0.01233788,0.53186332
-5.95197599,1.04716268,0.00981757,0.00000000,0.01436728,0.10311157,0.69541189,0.34527173,0.01142682,0.49811281
-5.94597299,0.98142884,0.00903350,0.00000000,0.01422345,0.09572425,0.64363342,0.32659157,0.01051424,0.46547424
-5.93996998,0.91988731,0.00827094,0.00000000,0.01418714,0.08856159,0.59354752,0.30994980,0.00961224,0.43448942
-5.93396698,0.86363019,0.00753862,0.00000000,0.01427060,0.08172039,0.54584801,0.29577275,0.00873191,0.40564240
-5.92796398,0.81362991,0.00684404,0.00000000,0.01448330,0.07528485,0.50113308,0.28446398,0.00788314,0.37934939
-5.92196098,0.77072228,0.00619343,0.00000000,0.01483151,0.06932501,0.45989706,0.27639757,0.00707440,0.35595136
-5.91595798,0.73559450,0.00559161,0.00000000,0.01531800,0.06389568,0.42252596,0.27191228,0.00631268,0.33570922
-5.90995498,0.70877771,0.00504207,0.00000000,0.01594178,0.05903593,0.38929645,0.27130658,0.00560346,0.31880180
-5.90395198,0.69064395,0.00454692,0.00000000,0.01669808,0.05476918,0.36037819,0.27483426,0.00495072,0.30532627
-5.89794897,0.68140695,0.00410704,0.00000000,0.01757832,0.05110367,0.33583874,0.28270067,0.00435705,0.29530079
-5.89194597,0.68112620,0.00372218,0.00000000,0.01857032,0.04803344,0.31565089,0.29505929,0.00382372,0.28866922
-5.88594297,0.68971388,0.00339109,0.00000000,0.01965861,0.04553954,0.29970173,0.31200855,0.00335088,0.28530758
-5.87993997,0.70694384,0.00311168,0.00000000,0.02082484,0.04359166,0.28780296,0.33358890,0.00293772,0.28503178
-5.87393697,0.73246228,0.00288122,0.00000000,0.02204839,0.04214981,0.27970209,0.35977991,0.00258266,0.28760649
-5.86793397,0.76579957,0.00269649,0.00000000,0.02330698,0.04116623,0.27509397,0.39049760,0.00228352,0.29275465
-5.86193097,0.80638289,0.00255397,0.00000000,0.02457749,0.04058731,0.27363236,0.42559203,0.00203774,0.30016748
-5.85592796,0.85354923,0.00244999,0.00000000,0.02583673,0.04035547,0.27494126,0.46484526,0.00184252,0.30951451
-5.84992496,0.90655876,0.00238092,0.00000000,0.02706231,0.04041111,0.27862566,0.50797000,0.00169500,0.32045354
-5.84392196,0.96460811,0.00234324,0.00000000,0.02823349,0.04069429,0.28428164,0.55460904,0.00159235,0.33264013
-5.83791896,1.02684382,0.00233370,0.00000000,0.02933196,0.04114639,0.29150567,0.60433593,0.00153191,0.34573647
-5.83191596,1.09237555,0.00234940,0.00000000,0.03034258,0.04171156,0.29990292,0.65665702,0.00151125,0.35941949
-5.82591296,1.16028932,0.00238783,0.00000000,0.03125400,0.04233798,0.30909467,0.71101512,0.00152818,0.37338783
-5.81990995,1.22966054,0.00244695,0.00000000,0.03205911,0.04297891,0.31872477,0.76679509,0.00158083,0.38736784
-5.81390695,1.29956699,0.00252516,0.00000000,0.03275532,0.04359350,0.32846504,0.82333140,0.00166760,0.40111819
-5.80790395,1.36910154,0.00262132,0.00000000,0.03334467,0.04414746,0.33801978,0.87991765,0.00178714,0.41443325
-5.80190095,1.43738469,0.00273471,0.00000000,0.03383371,0.04461341,0.34712925,0.93581814,0.00193835,0.42714511
-5.79589795,1.50357672,0.00286496,0.00000000,0.03423318,0.04497108,0.35557233,0.99028117,0.00212025,0.43912425
