energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,3.19940156,0.00820084,0.28250782,0.98957513,0.87341390,0.79536692,0.72045807,0.01107555,1.32927463
-5.99399700,3.31527234,0.00853774,0.30135058,1.01967320,0.91335699,0.82108307,0.74433077,0.01184398,1.36839962
-5.98799400,3.43200469,0.00887856,0.32108377,1.04982119,0.95390627,0.84670697,0.76813404,0.01264820,1.40696189
-5.98199100,3.54868002,0.00921710,0.34156516,1.07979732,0.99475125,0.87209557,0.79159980,0.01347845,1.44467197
-5.97598799,3.66429624,0.00954701,0.36262449,1.10935051,1.03555011,0.89708739,0.81445285,0.01432365,1.48122617
-5.96998499,3.77776824,0.00986184,0.38406427,1.13819890,1.07593086,0.92149905,0.83641425,0.01517161,1.51630447
-5.96398199,3.88793180,0.01015518,0.40566153,1.16602972,1.11549367,0.94512278,0.85720494,0.01600931,1.54956957
-5.95797899,3.99355204,0.01042084,0.42717058,1.19250091,1.15381443,0.96772525,0.87654961,0.01682317,1.58066755
-5.95197599,4.09333686,0.01065294,0.44832667,1.21724464,1.19044984,0.98904807,0.89418090,0.01759944,1.60923041
-5.94597299,4.18595610,0.01084611,0.46885064,1.23987289,1.22494405,1.00881013,0.90984394,0.01832457,1.63488089
-5.93996998,4.27006628,0.01099563,0.48845445,1.25998504,1.25683692,1.02671196,0.92330122,0.01898559,1.65723949
-5.93396698,4.34434090,0.01109757,0.50684753,1.27717728,1.28567390,1.04244212,0.93433781,0.01957053,1.67593381
-5.92796398,4.40750554,0.01114896,0.52374369,1.29105371,1.31101723,1.05568550,0.94276676,0.02006881,1.69060989
-5.92196098,4.45837685,0.01114786,0.53886852,1.30123858,1.33245826,1.06613323,0.94843464,0.02047159,1.70094522
-5.91595798,4.49590385,0.01109351,0.55196690,1.30738938,1.34963057,1.07349389,0.95122696,0.02077211,1.70666285
-5.90995498,4.51921005,0.01098632,0.56281050,1.30920991,1.36222319,1.07750550,0.95107334,0.02096593,1.70754590
-5.90395198,4.52763426,0.01082795,0.57120480,1.30646311,1.36999363,1.07794767,0.94795214,0.02105112,1.70345185
-5.89794897,4.52076811,0.01062128,0.57699558,1.29898258,1.37277987,1.07465345,0.94189429,0.02102837,1.69432559
-5.89194597,4.49848823,0.01037037,0.58007435,1.28668260,1.37051090,1.06752002,0.93298606,0.02090098,1.68021055
-5.88594297,4.46098097,0.01008037,0.58038269,1.26956572,1.36321502,1.05651784,0.92137055,0.02067481,1.66125716
-5.87993997,4.40875815,0.00975738,0.57791508,1.24772774,1.35102555,1.04169750,0.90724768,0.02035807,1.63772780
-5.87393697,4.34266211,0.00940837,0.57272023,1.22135956,1.33418322,1.02319400,0.89087243,0.01996106,1.60999790
-5.86793397,4.26385945,0.00904090,0.56490067,1.19074576,1.31303526,1.00122795,0.87255139,0.01949584,1.57855265
-5.86193097,4.17382273,0.00866304,0.55461065,1.15625987,1.28803060,0.97610362,0.85263743,0.01897579,1.54397937
-5.85592796,4.07430032,0.00828307,0.54205236,1.11835632,1.25971143,0.94820373,0.83152260,0.01841520,1.50695535
-5.84992496,3.96727511,0.00790933,0.52747053,1.07755950,1.22870117,0.91798111,0.80962947,0.01782872,1.46823167
-5.84392196,3.85491324,0.00754997,0.51114566,1.03445020,1.19568903,0.88594755,0.78740097,0.01723089,1.42861343
-5.83791896,3.73950457,0.00721274,0.49338605,0.98964992,1.16141181,0.85266012,0.76528919,0.01663565,1.38893701
-5.83191596,3.62339709,0.00690483,0.47451901,0.94380380,1.12663343,0.81870570,0.74374339,0.01605586,1.35004539
-5.82591296,3.50892769,0.00663266,0.45488146,0.89756277,1.09212295,0.78468408,0.72319768,0.01550291,1.31276235
-5.81990995,3.39835212,0.00640172,0.43481034,0.85156549,1.05863184,0.75119056,0.70405885,0.01498635,1.27786678
-5.81390695,3.29377670,0.00621648,0.41463322,0.80642111,1.02687146,0.71879853,0.68669474,0.01451364,1.24606796
-5.80790395,3.19709485,0.00608025,0.39465938,0.76269315,0.99749153,0.68804286,0.67142367,0.01408994,1.21798312
-5.80190095,3.10993063,0.00599509,0.37517174,0.72088538,0.97106047,0.65940474,0.65850534,0.01371807,1.19411801
-5.79589795,3.03359183,0.00596183,0.35641990,0.68142999,0.94804837,0.63329844,0.64813360,0.01339844,1.17485146
-5.78989495,2.96903438,0.00597999,0.33861455,0.64467862,0.92881330,0.61006057,0.64043130,0.01312923,1.16042450
-5.78389195,2.91683938,0.00604784,0.32192339,0.61089633,0.91359143,0.58994218,0.63544757,0.01290649,1.15093450
