energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.49997456,-2.49997481,0.00826808,-0.00826808,0.41087057,-0.41087061,0.96313628,-0.96313634,0.42823636,-0.42823642,1.12001373,-1.12001383,0.00000000,-0.00000000
-5.99399700,2.67352846,-2.67352873,0.00922016,-0.00922016,0.43711730,-0.43711735,1.01132539,-1.01132545,0.46362393,-0.46362399,1.19819595,-1.19819606,0.00000000,-0.00000000
-5.98799400,2.85750834,-2.85750861,0.01030716,-0.01030716,0.46456893,-0.46456898,1.06047779,-1.06047786,0.50153216,-0.50153223,1.28133594,-1.28133605,0.00000000,-0.00000000
-5.98199100,3.05100821,-3.05100851,0.01151780,-0.01151780,0.49313724,-0.49313729,1.11038986,-1.11038993,0.54180715,-0.54180722,1.36895680,-1.36895691,0.00000000,-0.00000000
-5.97598799,3.25309883,-3.25309914,0.01283933,-0.01283933,0.52274575,-0.52274580,1.16092221,-1.16092227,0.58427252,-0.58427259,1.46055771,-1.46055783,0.00000000,-0.00000000
-5.96998499,3.46279119,-3.46279150,0.01425726,-0.01425726,0.55332557,-0.55332562,1.21198835,-1.21198842,0.62872336,-0.62872344,1.55559479,-1.55559491,0.00000000,-0.00000000
-5.96398199,3.67900328,-3.67900360,0.01575524,-0.01575524,0.58481120,-0.58481126,1.26354182,-1.26354189,0.67492128,-0.67492136,1.65346374,-1.65346386,0.00000000,-0.00000000
-5.95797899,3.90053266,-3.90053299,0.01731501,-0.01731501,0.61713673,-0.61713679,1.31556243,-1.31556250,0.72259112,-0.72259121,1.75348562,-1.75348575,0.00000000,-0.00000000
-5.95197599,4.12603722,-4.12603755,0.01891648,-0.01891648,0.65023246,-0.65023253,1.36804254,-1.36804261,0.77141969,-0.77141977,1.85489713,-1.85489725,0.00000000,-0.00000000
-5.94597299,4.35402605,-4.35402639,0.02053791,-0.02053791,0.68402243,-0.68402249,1.42097413,-1.42097420,0.82105679,-0.82105688,1.95684625,-1.95684638,0.00000000,-0.00000000
-5.93996998,4.58286192,-4.58286226,0.02215624,-0.02215625,0.71842278,-0.71842284,1.47433741,-1.47433748,0.87111876,-0.87111885,2.05839433,-2.05839446,0.00000000,-0.00000000
-5.93396698,4.81077579,-4.81077613,0.02374753,-0.02374753,0.75334119,-0.75334126,1.52809144,-1.52809152,0.92119429,-0.92119438,2.15852470,-2.15852482,0.00000000,-0.00000000
-5.92796398,5.03589327,-5.03589360,0.02528741,-0.02528742,0.78867720,-0.78867727,1.58216734,-1.58216741,0.97085261,-0.97085270,2.25615816,-2.25615828,0.00000000,-0.00000000
-5.92196098,5.25627193,-5.25627226,0.02675177,-0.02675177,0.82432337,-0.82432343,1.63646402,-1.63646410,1.01965352,-1.01965361,2.35017470,-2.35017482,0.00000000,-0.00000000
-5.91595798,5.46994753,-5.46994785,0.02811729,-0.02811729,0.86016703,-0.86016710,1.69084669,-1.69084677,1.06715876,-1.06715884,2.43944065,-2.43944076,0.00000000,-0.00000000
-5.90995498,5.67498654,-5.67498685,0.02936216,-0.02936217,0.89609238,-0.89609245,1.74514766,-1.74514773,1.11294421,-1.11294429,2.52284000,-2.52284010,0.00000000,-0.00000000
-5.90395198,5.86954184,-5.86954213,0.03046672,-0.03046672,0.93198249,-0.93198256,1.79916906,-1.79916914,1.15661216,-1.15661223,2.59930822,-2.59930831,0.00000000,-0.00000000
-5.89794897,6.05190791,-6.05190819,0.03141398,-0.03141398,0.96772099,-0.96772105,1.85268707,-1.85268714,1.19780283,-1.19780290,2.66786687,-2.66786696,0.00000000,-0.00000000
-5.89194597,6.22057209,-6.22057235,0.03219021,-0.03219021,1.00319308,-1.00319314,1.90545663,-1.90545671,1.23620461,-1.23620468,2.72765685,-2.72765692,0.00000000,-0.00000000
-5.88594297,6.37425841,-6.37425865,0.03278529,-0.03278529,1.03828563,-1.03828570,1.95721644,-1.95721652,1.27156224,-1.27156230,2.77796843,-2.77796849,0.00000000,-0.00000000
-5.87993997,6.51196105,-6.51196127,0.03319305,-0.03319305,1.07288622,-1.07288629,2.00769321,-2.00769329,1.30368244,-1.30368250,2.81826627,-2.81826632,0.00000000,-0.00000000
-5.87393697,6.63296531,-6.63296550,0.03341137,-0.03341137,1.10688111,-1.10688117,2.05660500,-2.05660507,1.33243683,-1.33243688,2.84820788,-2.84820791,0.00000000,-0.00000000
-5.86793397,6.73685470,-6.73685487,0.03344223,-0.03344223,1.14015222,-1.14015228,2.10366314,-2.10366321,1.35776173,-1.35776178,2.86765436,-2.86765438,0.00000000,-0.00000000
-5.86193097,6.82350394,-6.82350410,0.03329154,-0.03329154,1.17257344,-1.17257350,2.14857283,-2.14857291,1.37965521,-1.37965526,2.87667279,-2.87667281,0.00000000,-0.00000000
-5.85592796,6.89305854,-6.89305868,0.03296894,-0.03296894,1.20400659,-1.20400665,2.19103241,-2.19103248,1.39817154,-1.39817158,2.87553018,-2.87553018,0.00000000,-0.00000000
-5.84992496,6.94590275,-6.94590286,0.03248737,-0.03248737,1.23429751,-1.23429757,2.23073171,-2.23073177,1.41341352,-1.41341355,2.86467920,-2.86467919,0.00000000,-0.00000000
-5.84392196,6.98261845,-6.98261854,0.03186264,-0.03186264,1.26327277,-1.26327283,2.26735002,-2.26735009,1.42552343,-1.42552346,2.84473678,-2.84473676,0.00000000,-0.00000000
-5.83791896,7.00393820,-7.00393827,0.03111292,-0.03111292,1.29073763,-1.29073769,2.30055438,-2.30055444,1.43467328,-1.43467331,2.81645672,-2.81645669,0.00000000,-0.00000000
-5.83191596,7.01069591,-7.01069596,0.03025815,-0.03025815,1.31647562,-1.31647567,2.32999870,-2.32999876,1.44105506,-1.44105509,2.78069801,-2.78069797,0.00000000,-0.00000000
-5.82591296,7.00377885,-7.00377888,0.02931952,-0.02931952,1.34025018,-1.34025023,2.35532461,-2.35532466,1.44487189,-1.44487191,2.73839057,-2.73839053,0.00000000,-0.00000000
-5.81990995,6.98408427,-6.98408429,0.02831891,-0.02831891,1.36180869,-1.36180873,2.37616439,-2.37616444,1.44633048,-1.44633050,2.69050053,-2.69050048,0.00000000,-0.00000000
-5.81390695,6.95248354,-6.95248354,0.02727841,-0.02727841,1.38088875,-1.38088878,2.39214649,-2.39214652,1.44563570,-1.44563571,2.63799654,-2.63799648,0.00000000,-0.00000000
-5.80790395,6.90979580,-6.90979579,0.02621988,-0.02621988,1.39722684,-1.39722687,2.40290366,-2.40290369,1.44298716,-1.44298717,2.58181903,-2.58181897,0.00000000,-0.00000000
-5.80190095,6.85677247,-6.85677244,0.02516463,-0.02516463,1.41056883,-1.41056886,2.40808372,-2.40808374,1.43857830,-1.43857831,2.52285360,-2.52285354,0.00000000,-0.00000000
-5.79589795,6.79409266,-6.79409262,0.02413309,-0.02413309,1.42068191,-1.42068194,2.40736240,-2.40736241,1.43259751,-1.43259751,2.46190961,-2.46190954,0.00000000,-0.00000000
-5.78989495,6.72236900,-6.72236895,0.02314469,-0.02314469,1.42736726,-1.42736727,2.40045776,-2.40045776,1.42523114,-1.42523114,2.39970445,-2.39970438,0.00000000,-0.00000000
-5.78389195,6.64216208,-6.64216202,0.02221765,-0.02221765,1.43047257,-1.43047258,2.38714524,-2.38714523,1.41666778,-1.41666779,2.33685386,-2.33685379,0.00000000,-0.00000000
-5.77788894,6.55400139,-6.55400131,0.02136895,-0.02136895,1.42990377,-1.42990378,2.36727244,-2.36727242,1.40710318,-1.40710319,2.27386795,-2.27386788,0.00000000,-0.00000000
-5.77188594,6.45841000,-6.45840990,0.02061430,-0.02061430,1.42563480,-1.42563481,2.34077257,-2.34077254,1.39674508,-1.39674508,2.21115249,-2.21115242,0.00000000,-0.00000000
-5.76588294,6.35593012,-6.35593002,0.01996809,-0.01996809,1.41771499,-1.41771498,2.30767553,-2.30767549,1.38581720,-1.38581721,2.14901466,-2.14901459,0.00000000,-0.00000000
-5.75987994,6.24714660,-6.24714649,0.01944339,-0.01944339,1.40627308,-1.40627307,2.26811584,-2.26811579,1.37456182,-1.37456182,2.08767245,-2.08767238,0.00000000,-0.00000000
-5.75387694,6.13270587,-6.13270575,0.01905187,-0.01905187,1.39151772,-1.39151770,2.22233658,-2.22233652,1.36324019,-1.36324019,2.02726655,-2.02726648,0.00000000,-0.00000000
-5.74787394,6.01332830,-6.01332817,0.01880379,-0.01880379,1.37373391,-1.37373389,2.17068903,-2.17068896,1.35213058,-1.35213059,1.96787390,-1.96787382,0.00000000,-0.00000000
-5.74187094,5.88981258,-5.88981245,0.01870780,-0.01870780,1.35327565,-1.35327563,2.11362775,-2.11362767,1.34152371,-1.34152372,1.90952180,-1.90952173,0.00000000,-0.00000000
-5.73586793,5.76303158,-5.76303144,0.01877085,-0.01877085,1.33055484,-1.33055482,2.05170131,-2.05170122,1.33171549,-1.33171550,1.85220199,-1.85220192,0.00000000,-0.00000000
-5.72986493,5.63391972,-5.63391958,0.01899789,-0.01899789,1.30602705,-1.30602703,1.98553907,-1.98553898,1.32299750,-1.32299752,1.79588386,-1.79588378,0.00000000,-0.00000000
-5.72386193,5.50345298,-5.50345283,0.01939169,-0.01939169,1.28017477,-1.28017475,1.91583465,-1.91583456,1.31564557,-1.31564559,1.74052649,-1.74052642,0.00000000,-0.00000000
-5.71785893,5.37262276,-5.37262261,0.01995251,-0.01995252,1.25348904,-1.25348902,1.84332706,-1.84332696,1.30990706,-1.30990709,1.68608921,-1.68608914,0.00000000,-0.00000000
-5.71185593,5.24240594,-5.24240580,0.02067785,-0.02067786,1.22645036,-1.22645034,1.76878040,-1.76878030,1.30598770,-1.30598772,1.63254045,-1.63254037,0.00000000,-0.00000000
-5.70585293,5.11373310,-5.11373296,0.02156216,-0.02156217,1.19950998,-1.19950996,1.69296323,-1.69296312,1.30403872,-1.30403875,1.57986498,-1.57986491,0.00000000,-0.00000000
-5.69984992,4.98745747,-4.98745734,0.02259662,-0.02259663,1.17307240,-1.17307238,1.61662871,-1.61662861,1.30414531,-1.30414535,1.52806963,-1.52806955,0.00000000,-0.00000000
-5.69384692,4.86432687,-4.86432674,0.02376900,-0.02376900,1.14748017,-1.14748015,1.54049640,-1.54049629,1.30631702,-1.30631706,1.47718743,-1.47718736,0.00000000,-0.00000000
-5.68784392,4.74496050,-4.74496038,0.02506355,-0.02506355,1.12300167,-1.12300165,1.46523648,-1.46523637,1.31048091,-1.31048096,1.42728056,-1.42728049,0.00000000,-0.00000000
-5.68184092,4.62983238,-4.62983226,0.02646109,-0.02646109,1.09982246,-1.09982244,1.39145716,-1.39145705,1.31647819,-1.31647824,1.37844201,-1.37844194,0.00000000,-0.00000000
-5.67583792,4.51926237,-4.51926226,0.02793916,-0.02793916,1.07804069,-1.07804068,1.31969552,-1.31969542,1.32406444,-1.32406450,1.33079609,-1.33079602,0.00000000,-0.00000000
-5.66983492,4.41341534,-4.41341524,0.02947229,-0.02947230,1.05766675,-1.05766674,1.25041206,-1.25041196,1.33291392,-1.33291397,1.28449795,-1.28449788,0.00000000,-0.00000000
-5.66383192,4.31230845,-4.31230835,0.03103250,-0.03103251,1.03862703,-1.03862702,1.18398871,-1.18398862,1.34262766,-1.34262772,1.23973187,-1.23973181,0.00000000,-0.00000000
-5.65782891,4.21582587,-4.21582577,0.03258980,-0.03258980,1.02077168,-1.02077168,1.12073037,-1.12073028,1.35274534,-1.35274539,1.19670856,-1.19670849,0.00000000,-0.00000000
-5.65182591,4.12373988,-4.12373978,0.03411289,-0.03411289,1.00388580,-1.00388580,1.06086913,-1.06086905,1.36276022,-1.36276027,1.15566118,-1.15566112,0.00000000,-0.00000000
-5.64582291,4.03573697,-4.03573688,0.03556998,-0.03556998,0.98770348,-0.98770348,1.00457103,-1.00457095,1.37213674,-1.37213679,1.11684033,-1.11684027,0.00000000,-0.00000000
-5.63981991,3.95144709,-3.95144700,0.03692955,-0.03692956,0.97192398,-0.97192397,0.95194435,-0.95194427,1.38032978,-1.38032982,1.08050774,-1.08050768,0.00000000,-0.00000000
-5.63381691,3.87047422,-3.87047412,0.03816131,-0.03816131,0.95622911,-0.95622910,0.90304900,-0.90304893,1.38680482,-1.38680486,1.04692893,-1.04692888,0.00000000,-0.00000000
-5.62781391,3.79242650,-3.79242641,0.03923699,-0.03923699,0.94030110,-0.94030108,0.85790628,-0.85790622,1.39105805,-1.39105808,1.01636496,-1.01636491,0.00000000,-0.00000000
-5.62181091,3.71694409,-3.71694399,0.04013123,-0.04013123,0.92383981,-0.92383979,0.81650832,-0.81650826,1.39263539,-1.39263541,0.98906339,-0.98906334,0.00000000,-0.00000000
