energy_ev,total_up,Al_p_up,Al_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,5.59920735,0.55739575,0.00000000,1.64097496,2.44717688,0.12297906,2.13235172
-5.99399700,5.67186343,0.56247387,0.00000000,1.66339416,2.49031091,0.12296163,2.15603736
-5.98799400,5.74475271,0.56745242,0.00000000,1.68591104,2.53333754,0.12302785,2.17961652
-5.98199100,5.81748227,0.57227596,0.00000000,1.70830900,2.57602527,0.12317724,2.20303945
-5.97598799,5.88963516,0.57690418,0.00000000,1.73035069,2.61814564,0.12340815,2.22624450
-5.96998499,5.96077685,0.58131271,0.00000000,1.75178334,2.65947638,0.12371793,2.24915963
-5.96398199,6.03046199,0.58549332,0.00000000,1.77234484,2.69980391,0.12410320,2.27170438
-5.95797899,6.09824108,0.58945337,0.00000000,1.79177046,2.73892521,0.12456006,2.29379203
-5.95197599,6.16366688,0.59321462,0.00000000,1.80979991,2.77664882,0.12508428,2.31533188
-5.94597299,6.22630021,0.59681141,0.00000000,1.82618451,2.81279509,0.12567146,2.33623138
-5.93996998,6.28571513,0.60028826,0.00000000,1.84069411,2.84719573,0.12631724,2.35639806
-5.93396698,6.34150336,0.60369704,0.00000000,1.85312371,2.87969274,0.12701735,2.37574118
-5.92796398,6.39327819,0.60709378,0.00000000,1.86329930,2.91013702,0.12776770,2.39417307
-5.92196098,6.44067764,0.61053525,0.00000000,1.87108290,2.93838677,0.12856439,2.41161012
-5.91595798,6.48336743,0.61407548,0.00000000,1.87637656,2.96430605,0.12940366,2.42797350
-5.90995498,6.52104352,0.61776242,0.00000000,1.87912520,2.98776353,0.13028183,2.44318961
-5.90395198,6.55343472,0.62163475,0.00000000,1.87931814,3.00863197,0.13119514,2.45719047
-5.89794897,6.58030528,0.62571915,0.00000000,1.87698942,3.02678825,0.13213964,2.46991390
-5.89194597,6.60145773,0.63002808,0.00000000,1.87221676,3.04211437,0.13311094,2.48130384
-5.88594297,6.61673595,0.63455824,0.00000000,1.86511933,3.05449941,0.13410407,2.49131065
-5.87993997,6.62602864,0.63928975,0.00000000,1.85585441,3.06384237,0.13511326,2.49989157
-5.87393697,6.62927302,0.64418628,0.00000000,1.84461296,3.07005609,0.13613180,2.50701134
-5.86793397,6.62645888,0.64919593,0.00000000,1.83161456,3.07307194,0.13715187,2.51264303
-5.86193097,6.61763283,0.65425312,0.00000000,1.81710162,3.07284523,0.13816448,2.51676898
-5.85592796,6.60290266,0.65928125,0.00000000,1.80133329,3.06936124,0.13915948,2.51938197
-5.84992496,6.58244159,0.66419622,0.00000000,1.78457923,3.06264143,0.14012558,2.52048640
-5.84392196,6.55649244,0.66891049,0.00000000,1.76711351,3.05274976,0.14105053,2.52009968
-5.83791896,6.52537120,0.67333777,0.00000000,1.74920880,3.03979873,0.14192127,2.51825342
-5.83191596,6.48947007,0.67739787,0.00000000,1.73113106,3.02395480,0.14272432,2.51499478
-5.82591296,6.44925943,0.68102168,0.00000000,1.71313494,3.00544292,0.14344603,2.51038746
-5.81990995,6.40528861,0.68415595,0.00000000,1.69545984,2.98454977,0.14407310,2.50451263
-5.81390695,6.35818506,0.68676756,0.00000000,1.67832694,2.96162534,0.14459292,2.49746950
-5.80790395,6.30865157,0.68884719,0.00000000,1.66193689,2.93708270,0.14499410,2.48937553
-5.80190095,6.25746117,0.69041194,0.00000000,1.64646842,2.91139539,0.14526691,2.48036619
-5.79589795,6.20544956,0.69150690,0.00000000,1.63207767,2.88509247,0.14540365,2.47059424
-5.78989495,6.15350462,0.69220538,0.00000000,1.61889803,2.85875092,0.14539907,2.46022843
-5.78389195,6.10255297,0.69260775,0.00000000,1.60704065,2.83298535,0.14525062,2.44945154
-5.77788894,6.05354352,0.69283889,0.00000000,1.59659519,2.80843512,0.14495869,2.43845785
-5.77188594,6.00742822,0.69304429,0.00000000,1.58763088,2.78574899,0.14452668,2.42744992
-5.76588294,5.96514007,0.69338483,0.00000000,1.58019778,2.76556769,0.14396101,2.41663467
-5.75987994,5.92756927,0.69403064,0.00000000,1.57432796,2.74850484,0.14327101,2.40621903
-5.75387694,5.89553794,0.69515410,0.00000000,1.57003690,2.73512684,0.14246875,2.39640498
-5.74787394,5.86977441,0.69692242,0.00000000,1.56732474,2.72593257,0.14156870,2.38738434
-5.74187094,5.85088822,0.69949013,0.00000000,1.56617765,2.72133369,0.14058742,2.37933341
-5.73586793,5.83934707,0.70299191,0.00000000,1.56656925,2.72163642,0.13954311,2.37240769
-5.72986493,5.83545677,0.70753606,0.00000000,1.56846216,2.72702593,0.13845521,2.36673696
-5.72386193,5.83934583,0.71319904,0.00000000,1.57180982,2.73755416,0.13734393,2.36242101
-5.71785893,5.85095551,0.72002142,0.00000000,1.57655857,2.75313186,0.13622985,2.35952627
-5.71185593,5.87003660,0.72800543,0.00000000,1.58265010,2.77352576,0.13513351,2.35808366
-5.70585293,5.89615341,0.73711430,0.00000000,1.59002422,2.79836118,0.13407507,2.35808779
-5.69984992,5.92869557,0.74727351,0.00000000,1.59862204,2.82713039,0.13307404,2.35949780
-5.69384692,5.96689743,0.75837387,0.00000000,1.60838939,2.85920677,0.13214903,2.36223974
-5.68784392,6.00986468,0.77027634,0.00000000,1.61928035,2.89386429,0.13131764,2.36621072
-5.68184092,6.05660713,0.78281826,0.00000000,1.63126081,2.93030175,0.13059632,2.37128435
-5.67583792,6.10607649,0.79582083,0.00000000,1.64431174,2.96767080,0.13000032,2.37731755
-5.66983492,6.15720722,0.80909726,0.00000000,1.65843195,3.00510658,0.12954365,2.38415818
-5.66383192,6.20895846,0.82246129,0.00000000,1.67364009,3.04175949,0.12923910,2.39165307
-5.65782891,6.26035497,0.83573548,0.00000000,1.68997563,3.07682670,0.12909815,2.39965606
-5.65182591,6.31052480,0.84875900,0.00000000,1.70749859,3.10958178,0.12913095,2.40803536
-5.64582291,6.35873152,0.86139423,0.00000000,1.72628784,3.13940099,0.12934620,2.41667985
