energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.76679889,-3.88126813,0.44555493,-0.78156926,0.46198831,-0.61893472,0.01709983,-0.03192408,0.28705041,-1.10936012,0.02582624,-0.11837865,0.60581955,-0.81519821
-5.99399700,1.79628182,-3.97657815,0.45795803,-0.79431616,0.46309253,-0.63301880,0.01788473,-0.03217757,0.27975817,-1.12881958,0.02343765,-0.12143549,0.63857449,-0.84636702
-5.98799400,1.83844480,-4.05817788,0.47420305,-0.80445584,0.46828310,-0.64474134,0.01876719,-0.03231315,0.27628265,-1.14379095,0.02142996,-0.12398789,0.67292172,-0.87556567
-5.98199100,1.89212027,-4.12461736,0.49399122,-0.81185873,0.47720332,-0.65386330,0.01972811,-0.03232845,0.27635875,-1.15389160,0.01980120,-0.12598058,0.70857358,-0.90246751
-5.97598799,1.95607113,-4.17474966,0.51702341,-0.81646133,0.48946363,-0.66019310,0.02074686,-0.03222324,0.27970236,-1.15882948,0.01854641,-0.12736795,0.74523549,-0.92680452
-5.96998499,2.02903484,-4.20777441,0.54300920,-0.81827216,0.50465689,-0.66359399,0.02180177,-0.03199962,0.28602122,-1.15841522,0.01765873,-0.12811550,0.78261463,-0.94837678
-5.96398199,2.10976834,-4.22327349,0.57167559,-0.81737625,0.52237433,-0.66399023,0.02287071,-0.03166214,0.29502597,-1.15257210,0.01713045,-0.12820098,0.82042893,-0.96705990
-5.95797899,2.19709285,-4.22123673,0.60277548,-0.81393759,0.54222163,-0.66137162,0.02393172,-0.03121779,0.30644100,-1.14134331,0.01695394,-0.12761523,0.85841631,-0.98281025
-5.95197599,2.28993723,-4.20207558,0.63609549,-0.80819946,0.56383475,-0.65579629,0.02496356,-0.03067604,0.32001495,-1.12489595,0.01712253,-0.12636254,0.89634362,-0.99566735
-5.94597299,2.38737876,-4.16662362,0.67146319,-0.80048223,0.58689503,-0.64739126,0.02594642,-0.03004868,0.33553037,-1.10352145,0.01763123,-0.12446066,0.93401537,-1.00575336
-5.93996998,2.48868011,-4.11612317,0.70875339,-0.79117869,0.61114313,-0.63635093,0.02686243,-0.02934965,0.35281254,-1.07763215,0.01847726,-0.12194042,0.97128160,-1.01326931
-5.93396698,2.59332104,-4.05219802,0.74789330,-0.78074674,0.63639110,-0.62293329,0.02769633,-0.02859476,0.37173687,-1.04775402,0.01966049,-0.11884479,1.00804481,-1.01848842
-5.92796398,2.70102356,-3.97681298,0.78886646,-0.76969982,0.66253234,-0.60745405,0.02843588,-0.02780135,0.39223477,-1.01451573,0.02118369,-0.11522768,1.04426549,-1.02174633
-5.92196098,2.81176931,-3.89222148,0.83171497,-0.75859493,0.68954878,-0.59027877,0.02907234,-0.02698790,0.41429771,-0.97863430,0.02305253,-0.11115234,1.07996581,-1.02342900
