energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,1.23878969,0.46287124,0.34974583,0.01768514,0.10644913,0.37111387,0.02859781,0.65862926
-5.99399700,1.22481084,0.44954009,0.34070252,0.01809641,0.10659537,0.38356564,0.02830750,0.65229299
-5.98799400,1.20925943,0.43785092,0.33143250,0.01844876,0.10692803,0.39448826,0.02792084,0.64454651
-5.98199100,1.19174838,0.42734496,0.32188646,0.01873210,0.10733006,0.40362759,0.02743980,0.63526954
-5.97598799,1.17200578,0.41761929,0.31204292,0.01893787,0.10770449,0.41077452,0.02686848,0.62439464
-5.96998499,1.14988607,0.40833615,0.30190977,0.01905941,0.10797725,0.41577292,0.02621316,0.61191146
-5.96398199,1.12537803,0.39923018,0.29152524,0.01909218,0.10809939,0.41852626,0.02548217,0.59786944
-5.95797899,1.09860939,0.39011365,0.28095808,0.01903400,0.10804871,0.41900242,0.02468584,0.58237917
-5.95197599,1.06984776,0.38087946,0.27030715,0.01888512,0.10783066,0.41723651,0.02383633,0.56561190
-5.94597299,1.03949772,0.37150188,0.25970020,0.01864828,0.10747850,0.41333157,0.02294748,0.54779748
-5.93996998,1.00809388,0.36203514,0.24929203,0.01832857,0.10705274,0.40745694,0.02203456,0.52922049
-5.93396698,0.97629012,0.35260973,0.23926182,0.01793332,0.10663982,0.39984434,0.02111402,0.51021454
-5.92796398,0.94484490,0.34342674,0.22980977,0.01747174,0.10634998,0.39078180,0.02020319,0.49115505
-5.92196098,0.91460298,0.33475020,0.22115300,0.01695466,0.10631448,0.38060556,0.01931990,0.47245036
-5.91595798,0.88647396,0.32689767,0.21352075,0.01639407,0.10668201,0.36969020,0.01848212,0.45453160
-5.90995498,0.86140789,0.32022941,0.20714897,0.01580268,0.10761455,0.35843742,0.01770754,0.43784147
-5.90395198,0.84036866,0.31513616,0.20227423,0.01519343,0.10928257,0.34726370,0.01701312,0.42282211
-5.89794897,0.82430576,0.31202604,0.19912726,0.01457904,0.11185974,0.33658745,0.01641465,0.40990268
-5.89194597,0.81412497,0.31131076,0.19792594,0.01397154,0.11551724,0.32681593,0.01592626,0.39948663
-5.88594297,0.81065897,0.31339142,0.19886820,0.01338186,0.12041780,0.31833244,0.01556005,0.39193932
-5.87993997,0.81463840,0.31864434,0.20212470,0.01281944,0.12670953,0.31148423,0.01532560,0.38757626
-5.87393697,0.82666450,0.32740717,0.20783172,0.01229199,0.13451979,0.30657150,0.01522963,0.38665223
-5.86793397,0.84718388,0.33996570,0.21608434,0.01180529,0.14394927,0.30383777,0.01527569,0.38935187
-5.86193097,0.87646655,0.35654164,0.22693015,0.01136302,0.15506635,0.30346209,0.01546392,0.39578178
-5.85592796,0.91458787,0.37728186,0.24036390,0.01096681,0.16790211,0.30555317,0.01579084,0.40596476
-5.84992496,0.96141525,0.40224935,0.25632319,0.01061625,0.18244610,0.31014569,0.01624935,0.41983610
-5.84392196,1.01660046,0.43141622,0.27468554,0.01030910,0.19864308,0.31719894,0.01682872,0.43724245
-5.83791896,1.07957791,0.46465917,0.29526711,0.01004143,0.21639096,0.32659773,0.01751475,0.45794318
-5.83191596,1.14956960,0.50175759,0.31782331,0.00980797,0.23554020,0.33815569,0.01829006,0.48161450
-5.82591296,1.22559698,0.54239457,0.34205133,0.00960238,0.25589458,0.35162079,0.01913441,0.50785611
-5.81990995,1.30649964,0.58616092,0.36759494,0.00941763,0.27721375,0.36668287,0.02002524,0.53620061
-5.81390695,1.39096084,0.63256219,0.39405131,0.00924632,0.29921735,0.38298310,0.02093819,0.56612512
-5.80790395,1.47753931,0.68102877,0.42098001,0.00908105,0.32159083,0.40012491,0.02184778,0.59706514
-5.80190095,1.56470648,0.73092861,0.44791389,0.00891473,0.34399279,0.41768617,0.02272812,0.62843002
-5.79589795,1.65088821,0.78158241,0.47437152,0.00874086,0.36606368,0.43523206,0.02355364,0.65961976
-5.78989495,1.73450958,0.83228081,0.49987098,0.00855380,0.38743565,0.45232841,0.02429983,0.69004237
-5.78389195,1.81404123,0.88230278,0.52394431,0.00834895,0.40774309,0.46855475,0.02494400,0.71913137
-5.77788894,1.88804535,0.93093487,0.54615216,0.00812285,0.42663365,0.48351687,0.02546595,0.74636259
-5.77188594,1.95521973,0.97749025,0.56609807,0.00787329,0.44377914,0.49685825,0.02584854,0.77126971
-5.76588294,2.01443768,1.02132692,0.58344160,0.00759928,0.45888587,0.50827000,0.02607824,0.79345782
-5.75987994,2.06478230,1.06186440,0.59790991,0.00730108,0.47170415,0.51749892,0.02614548,0.81261443
-5.75387694,2.10557338,1.09859798,0.60930695,0.00698003,0.48203621,0.52435344,0.02604489,0.82851742
-5.74787394,2.13638563,1.13111014,0.61752001,0.00663846,0.48974244,0.52870714,0.02577539,0.84103958
-5.74187094,2.15705733,1.15907851,0.62252304,0.00627955,0.49474549,0.53049990,0.02534016,0.85014943
-5.73586793,2.16768895,1.18228026,0.62437673,0.00590710,0.49703203,0.52973653,0.02474639,0.85590835
-5.72986493,2.16863154,1.20059256,0.62322502,0.00552537,0.49665211,0.52648315,0.02400497,0.85846407
-5.72386193,2.16046557,1.21398946,0.61928836,0.00513889,0.49371614,0.52086146,0.02313002,0.85804085
-5.71785893,2.14397105,1.22253526,0.61285382,0.00475224,0.48838959,0.51304132,0.02213831,0.85492674
-5.71185593,2.12009030,1.22637493,0.60426257,0.00436992,0.48088564,0.50323187,0.02104869,0.84945857
-5.70585293,2.08988518,1.22572218,0.59389527,0.00399617,0.47145623,0.49167186,0.01988135,0.84200541
-5.69984992,2.05449077,1.22084581,0.58215597,0.00363483,0.46038185,0.47861945,0.01865720,0.83295118
-5.69384692,2.01506771,1.21205519,0.56945545,0.00328928,0.44796054,0.46434212,0.01739717,0.82267732
