energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.76482139,0.15446761,0.07719318,0.02547657,0.69475301,2.31196835,2.04186115,0.10246725,1.70120959
-5.99399700,4.33024886,0.14296503,0.07003980,0.02405594,0.62575606,2.07098843,1.85294869,0.09485694,1.55745529
-5.98799400,3.92549583,0.13286352,0.06324705,0.02270666,0.56292418,1.85966619,1.67468953,0.08737870,1.42210616
-5.98199100,3.55277302,0.12427311,0.05686632,0.02145481,0.50638455,1.67801979,1.50805451,0.08012454,1.29620661
-5.97598799,3.21379448,0.11728495,0.05094065,0.02032413,0.45617975,1.52565730,1.35383594,0.07317753,1.18064419
-5.96998499,2.90978795,0.11197073,0.04550516,0.01933545,0.41227521,1.40183490,1.21264617,0.06661035,1.07614352
-5.96398199,2.64151515,0.10838236,0.04058762,0.01850618,0.37456742,1.30551433,1.08492106,0.06048412,0.98326457
-5.95797899,2.40930011,0.10655173,0.03620932,0.01784989,0.34289258,1.23541740,0.97092773,0.05484782,0.90240484
-5.95197599,2.21306361,0.10649048,0.03238595,0.01737603,0.31703546,1.19007610,0.87077573,0.04973802,0.83380506
-5.94597299,2.05236165,0.10818997,0.02912860,0.01708966,0.29673788,1.16787728,0.78443077,0.04517903,0.77755762
-5.93996998,1.92642607,0.11162107,0.02644473,0.01699145,0.28170689,1.16710126,0.71173009,0.04118345,0.73361706
-5.93396698,1.83420544,0.11673412,0.02433909,0.01707765,0.27162223,1.18595445,0.65239851,0.03775289,0.70181200
-5.92796398,1.77440451,0.12345886,0.02281464,0.01734025,0.26614296,1.22259608,0.60606433,0.03487898,0.68185774
-5.92196098,1.74552112,0.13170440,0.02187315,0.01776720,0.26491330,1.27515974,0.57227420,0.03254456,0.67336891
-5.91595798,1.74587922,0.14135945,0.02151580,0.01834275,0.26756749,1.34177031,0.55050653,0.03072486,0.67587167
-5.90995498,1.77365755,0.15229259,0.02174343,0.01904790,0.27373372,1.42055720,0.54018278,0.02938881,0.68881492
-5.90395198,1.82691342,0.16435296,0.02255662,0.01986087,0.28303723,1.50966461,0.54067645,0.02850030,0.71158037
-5.89794897,1.90360163,0.17737121,0.02395552,0.02075768,0.29510262,1.60725981,0.55131963,0.02801942,0.74349106
-5.89194597,2.00158880,0.19116090,0.02593939,0.02171279,0.30955538,1.71153982,0.57140722,0.02790352,0.78381850
-5.88594297,2.11866354,0.20552036,0.02850598,0.02269974,0.32602301,1.82073745,0.60019905,0.02810834,0.83178823
-5.87993997,2.25254343,0.22023507,0.03165059,0.02369184,0.34413555,1.93312679,0.63692024,0.02858881,0.88658421
-5.87393697,2.40087951,0.23508051,0.03536510,0.02466281,0.36352596,2.04702879,0.68076040,0.02929995,0.94735206
-5.86793397,2.56125954,0.24982551,0.03963676,0.02558750,0.38383040,2.16081693,0.73087216,0.03019746,1.01320167
-5.86193097,2.73121116,0.26423606,0.04444698,0.02644244,0.40468853,2.27292335,0.78636970,0.03123830,1.08320932
-5.85592796,2.90820596,0.27807944,0.04977013,0.02720641,0.42574404,2.38184525,0.84632793,0.03238117,1.15641999
-5.84992496,3.08966576,0.29112862,0.05557236,0.02786093,0.44664562,2.48615184,0.90978280,0.03358683,1.23185001
-5.84392196,3.27297203,0.30316679,0.06181069,0.02839060,0.46704832,2.58449163,0.97573346,0.03481840,1.30849061
-5.83791896,3.45547916,0.31399190,0.06843217,0.02878338,0.48661557,2.67560028,1.04314654,0.03604159,1.38531266
-5.83191596,3.63453245,0.32342099,0.07537355,0.02903075,0.50502180,2.75830868,1.11096288,0.03722484,1.46127295
-5.82591296,3.80749094,0.33129424,0.08256110,0.02912774,0.52195570,2.83155157,1.17810700,0.03833945,1.53532217
-5.81990995,3.97175536,0.33747858,0.08991100,0.02907288,0.53712406,2.89437632,1.24349914,0.03935966,1.60641490
-5.81390695,4.12480082,0.34187065,0.09733012,0.02886799,0.55025622,2.94595203,1.30606983,0.04026277,1.67352136
-5.80790395,4.26421379,0.34439919,0.10471723,0.02851790,0.56110879,2.98557864,1.36477663,0.04102911,1.73564121
-5.80190095,4.38773247,0.34502649,0.11196473,0.02803017,0.56947065,3.01269604,1.41862262,0.04164215,1.79181884
-5.79589795,4.49328939,0.34374918,0.11896077,0.02741460,0.57516791,3.02689273,1.46667600,0.04208852,1.84116011
-5.78989495,4.57905488,0.34059805,0.12559167,0.02668284,0.57806869,3.02791397,1.50809016,0.04235799,1.88284990
-5.78389195,4.64347981,0.33563717,0.13174477,0.02584791,0.57808732,3.01566879,1.54212338,0.04244353,1.91617007
-5.77788894,4.68533587,0.32896210,0.13731132,0.02492378,0.57518794,2.99023572,1.56815752,0.04234131,1.94051711
-5.77188594,4.70375160,0.32069749,0.14218960,0.02392486,0.56938705,2.95186661,1.58571468,0.04205064,1.95541876
-5.76588294,4.69824260,0.31099409,0.14628781,0.02286572,0.56075497,2.90098819,1.59447129,0.04157398,1.96054897
-5.75987994,4.66873409,0.30002519,0.14952702,0.02176063,0.54941606,2.83820095,1.59426887,0.04091685,1.95574044
-5.75387694,4.61557472,0.28798279,0.15184362,0.02062333,0.53554749,2.76427498,1.58512082,0.04008776,1.94099400
-5.74787394,4.53954034,0.27507352,0.15319147,0.01946682,0.51937669,2.68014249,1.56721503,0.03909806,1.91648428
-5.74187094,4.44182711,0.26151444,0.15354353,0.01830314,0.50117741,2.58688685,1.54091181,0.03796176,1.88256130
