energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.30168073,0.03565541,0.02489713,0.53408295,0.34092906,0.05651561,0.60765004,0.23983122,1.63508757
-5.99399700,3.22025509,0.03644742,0.02603239,0.52614783,0.33710831,0.05731806,0.59503381,0.24049302,1.57717612
-5.98799400,3.14262286,0.03721845,0.02722613,0.51790816,0.33351839,0.05803602,0.58262549,0.24129863,1.52241078
-5.98199100,3.06949558,0.03797354,0.02846359,0.50945481,0.33032960,0.05867131,0.57065691,0.24227796,1.47103015
-5.97598799,3.00154328,0.03871813,0.02972942,0.50089327,0.32771251,0.05922724,0.55936386,0.24346166,1.42322439
-5.96998499,2.93938845,0.03945794,0.03100805,0.49234116,0.32583344,0.05970864,0.54898101,0.24488032,1.37913853
-5.96398199,2.88359788,0.04019870,0.03228413,0.48392502,0.32484959,0.06012169,0.53973614,0.24656340,1.33887560
-5.95797899,2.83467232,0.04094599,0.03354287,0.47577640,0.32490404,0.06047377,0.53184368,0.24853806,1.30249901
-5.95197599,2.79303375,0.04170499,0.03477042,0.46802749,0.32612070,0.06077315,0.52549797,0.25082787,1.27003416
-5.94597299,2.75901064,0.04248023,0.03595413,0.46080625,0.32859946,0.06102866,0.52086623,0.25345131,1.24146877
-5.93996998,2.73282180,0.04327529,0.03708284,0.45423135,0.33241164,0.06124926,0.51808164,0.25642025,1.21675228
-5.93396698,2.71455946,0.04409253,0.03814697,0.44840707,0.33759597,0.06144358,0.51723682,0.25973839,1.19579408
-5.92796398,2.70417277,0.04493281,0.03913868,0.44341841,0.34415524,0.06161937,0.51837796,0.26339966,1.17846116
-5.92196098,2.70145294,0.04579519,0.04005181,0.43932657,0.35205397,0.06178304,0.52150008,0.26738690,1.16457530
-5.91595798,2.70602116,0.04667676,0.04088182,0.43616517,0.36121703,0.06193913,0.52654353,0.27167061,1.15391038
