energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,0.67087231,0.00034318,0.20914925,0.82402702,0.08757604,0.00245174,0.21071360
-5.99399700,0.66725125,0.00031568,0.21720825,0.84195026,0.08771533,0.00242938,0.20033941
-5.98799400,0.66262040,0.00029086,0.22406551,0.85611981,0.08796101,0.00240171,0.19037638
-5.98199100,0.65694060,0.00026908,0.22956767,0.86614203,0.08832489,0.00236850,0.18093882
-5.97598799,0.65018952,0.00025066,0.23359030,0.87170439,0.08881977,0.00232958,0.17212388
-5.96998499,0.64236790,0.00023589,0.23604136,0.87258764,0.08945986,0.00228492,0.16401244
-5.96398199,0.63350590,0.00022500,0.23686373,0.86867554,0.09026129,0.00223468,0.15667064
-5.95797899,0.62366887,0.00021820,0.23603677,0.85996158,0.09124270,0.00217920,0.15015210
-5.95197599,0.61296236,0.00021570,0.23357668,0.84655237,0.09242599,0.00211907,0.14450059
-5.94597299,0.60153590,0.00021768,0.22953580,0.82866732,0.09383704,0.00205514,0.13975301
-5.93996998,0.58958564,0.00022432,0.22400065,0.80663482,0.09550652,0.00198853,0.13594260
-5.93396698,0.57735544,0.00023584,0.21708902,0.78088494,0.09747061,0.00192063,0.13310224
-5.92796398,0.56513681,0.00025247,0.20894603,0.75193909,0.09977181,0.00185315,0.13126770
-5.92196098,0.55326736,0.00027446,0.19973956,0.72039711,0.10245968,0.00178807,0.13048078
-5.91595798,0.54212828,0.00030211,0.18965498,0.68692242,0.10559146,0.00172764,0.13079220
-5.90995498,0.53214073,0.00033577,0.17888974,0.65222595,0.10923265,0.00167438,0.13226415
-5.90395198,0.52376143,0.00037581,0.16764775,0.61704943,0.11345745,0.00163102,0.13497246
-5.89794897,0.51747747,0.00042265,0.15613395,0.58214878,0.11834892,0.00160051,0.13900821
-5.89194597,0.51380049,0.00047673,0.14454930,0.54827810,0.12399887,0.00158595,0.14447866
-5.88594297,0.51326022,0.00053851,0.13308616,0.51617485,0.13050744,0.00159056,0.15150750
-5.87993997,0.51639720,0.00060846,0.12192444,0.48654637,0.13798214,0.00161763,0.16023413
-5.87393697,0.52375473,0.00068700,0.11122846,0.46005809,0.14653637,0.00167046,0.17081202
-5.86793397,0.53586984,0.00077452,0.10114455,0.43732347,0.15628730,0.00175234,0.18340592
-5.86193097,0.55326302,0.00087134,0.09179949,0.41889545,0.16735314,0.00186640,0.19818790
-5.85592796,0.57642671,0.00097764,0.08329961,0.40525943,0.17984956,0.00201562,0.21533222
-5.84992496,0.60581241,0.00109349,0.07573064,0.39682746,0.19388554,0.00220271,0.23500892
-5.84392196,0.64181633,0.00121877,0.06915799,0.39393328,0.20955848,0.00243000,0.25737637
-5.83791896,0.68476385,0.00135315,0.06362754,0.39682808,0.22694885,0.00269942,0.28257272
-5.83191596,0.73489288,0.00149607,0.05916668,0.40567669,0.24611434,0.00301233,0.31070666
-5.82591296,0.79233677,0.00164673,0.05578558,0.42055396,0.26708392,0.00336946,0.34184764
-5.81990995,0.85710711,0.00180403,0.05347845,0.44144139,0.28985196,0.00377081,0.37601598
-5.81390695,0.92907730,0.00196661,0.05222485,0.46822404,0.31437267,0.00421555,0.41317332
-5.80790395,1.00796779,0.00213285,0.05199086,0.50068771,0.34055526,0.00470196,0.45321384
-5.80190095,1.09333374,0.00230086,0.05273015,0.53851696,0.36826008,0.00522735,0.49595678
-5.79589795,1.18455630,0.00246853,0.05438488,0.58129403,0.39729613,0.00578800,0.54114077
-5.78989495,1.28083828,0.00263356,0.05688649,0.62849931,0.42742011,0.00637918,0.58842047
-5.78389195,1.38120518,0.00279352,0.06015644,0.67951363,0.45833735,0.00699513,0.63736593
-5.77788894,1.48451225,0.00294593,0.06410680,0.73362299,0.48970473,0.00762910,0.68746502
-5.77188594,1.58945801,0.00308828,0.06864102,0.79002589,0.52113575,0.00827341,0.73812915
-5.76588294,1.69460458,0.00321815,0.07365467,0.84784382,0.55220761,0.00891963,0.78870242
-5.75987994,1.79840450,0.00333328,0.07903643,0.90613477,0.58247038,0.00955864,0.83847403
-5.75387694,1.89923388,0.00343165,0.08466928,0.96390993,0.61145780,0.01018088,0.88669385
-5.74787394,1.99543080,0.00351154,0.09043193,1.02015337,0.63869966,0.01077655,0.93259061
-5.74187094,2.08533809,0.00357162,0.09620062,1.07384420,0.66373517,0.01133580,0.97539231
-5.73586793,2.16734891,0.00361099,0.10185104,1.12398070,0.68612688,0.01184908,1.01434794
-5.72986493,2.23995362,0.00362924,0.10726074,1.16960567,0.70547467,0.01230731,1.04874998
-5.72386193,2.30178597,0.00362647,0.11231150,1.20983212,0.72142920,0.01270222,1.07795646
-5.71785893,2.35166693,0.00360331,0.11689200,1.24386817,0.73370425,0.01302654,1.10141201
-5.71185593,2.38864410,0.00356091,0.12090044,1.27104041,0.74208747,0.01327429,1.11866670
-5.70585293,2.41202508,0.00350093,0.12424712,1.29081439,0.74644900,0.01344091,1.12939205
-5.69984992,2.42140322,0.00342548,0.12685679,1.30281153,0.74674756,0.01352351,1.13339333
-5.69384692,2.41667455,0.00333708,0.12867077,1.30682153,0.74303378,0.01352088,1.13061763
-5.68784392,2.39804504,0.00323857,0.12964861,1.30280965,0.73545048,0.01343362,1.12115741
-5.68184092,2.36602779,0.00313307,0.12976931,1.29091851,0.72423002,0.01326412,1.10524905
-5.67583792,2.32143006,0.00302383,0.12903193,1.27146419,0.70968856,0.01301649,1.08326680
-5.66983492,2.26533091,0.00291418,0.12745574,1.24492676,0.69221773,0.01269647,1.05571209
-5.66383192,2.19905000,0.00280741,0.12507961,1.21193565,0.67227385,0.01231127,1.02319876
-5.65782891,2.12410924,0.00270669,0.12196095,1.17325039,0.65036516,0.01186935,0.98643493
-5.65182591,2.04218865,0.00261496,0.11817406,1.12973758,0.62703768,0.01138021,0.94620210
-5.64582291,1.95507838,0.00253484,0.11380806,1.08234513,0.60286019,0.01085410,0.90333257
-5.63981991,1.86462889,0.00246858,0.10896442,1.03207479,0.57840900,0.01030178,0.85868598
-5.63381691,1.77270130,0.00241797,0.10375423,0.97995407,0.55425297,0.00973418,0.81312595
-5.62781391,1.68111971,0.00238432,0.09829537,0.92700889,0.53093951,0.00916221,0.76749780
-5.62181091,1.59162739,0.00236841,0.09270963,0.87423768,0.50898195,0.00859643,0.72260806
-5.61580790,1.50584819,0.00237046,0.08711984,0.82258816,0.48884869,0.00804685,0.67920647
-5.60980490,1.42525438,0.00239019,0.08164725,0.77293734,0.47095450,0.00752272,0.63797108
-5.60380190,1.35114164,0.00242678,0.07640915,0.72607537,0.45565410,0.00703236,0.59949673
-5.59779890,1.28461161,0.00247893,0.07151667,0.68269355,0.44323807,0.00658303,0.56428706
-5.59179590,1.22656189,0.00254494,0.06707310,0.64337645,0.43393110,0.00618084,0.53275011
-5.58579290,1.17768327,0.00262271,0.06317238,0.60859823,0.42789239,0.00583065,0.50519723
-5.57978989,1.13846323,0.00270991,0.05989800,0.57872267,0.42521793,0.00553613,0.48184511
-5.57378689,1.10919503,0.00280396,0.05732223,0.55400634,0.42594429,0.00529966,0.46282029
-5.56778389,1.08999101,0.00290223,0.05550558,0.53460455,0.43005360,0.00512244,0.44816580
-5.56178089,1.08079901,0.00300203,0.05449649,0.52057913,0.43747933,0.00500452,0.43784933
-5.55577789,1.08142060,0.00310079,0.05433123,0.51190749,0.44811230,0.00494485,0.43177218
