energy_ev,total_up,Sc_p_up,Sc_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,0.32353387,0.21792774,0.05632661,0.05470906,0.00004143,0.17689480,0.00000000
-5.99399700,0.30940160,0.20718231,0.05323771,0.05655265,0.00004074,0.16477162,0.00000000
-5.98799400,0.29932177,0.19920591,0.05089023,0.05910632,0.00004040,0.15493066,0.00000000
-5.98199100,0.29316920,0.19390531,0.04926697,0.06235601,0.00004040,0.14730532,0.00000000
-5.97598799,0.29076433,0.19114615,0.04834180,0.06627691,0.00004069,0.14180004,0.00000000
-5.96998499,0.29188634,0.19076111,0.04808212,0.07083438,0.00004123,0.13829851,0.00000000
-5.96398199,0.29628674,0.19255846,0.04845141,0.07598512,0.00004200,0.13667194,0.00000000
-5.95797899,0.30370312,0.19633062,0.04941180,0.08167863,0.00004296,0.13678734,0.00000000
-5.95197599,0.31387272,0.20186268,0.05092656,0.08785877,0.00004407,0.13851543,0.00000000
-5.94597299,0.32654555,0.20894058,0.05296252,0.09446558,0.00004531,0.14173813,0.00000000
-5.93996998,0.34149678,0.21735908,0.05549232,0.10143729,0.00004666,0.14635545,0.00000000
-5.93396698,0.35853816,0.22692913,0.05849645,0.10871240,0.00004811,0.15229163,0.00000000
-5.92796398,0.37752814,0.23748469,0.06196509,0.11623191,0.00004967,0.15950038,0.00000000
-5.92196098,0.39838058,0.24888886,0.06589960,0.12394152,0.00005134,0.16796916,0.00000000
-5.91595798,0.42107149,0.26103914,0.07031367,0.13179378,0.00005316,0.17772235,0.00000000
-5.90995498,0.44564378,0.27387169,0.07523406,0.13975012,0.00005516,0.18882310,0.00000000
-5.90395198,0.47220961,0.28736449,0.08070085,0.14778249,0.00005739,0.20137393,0.00000000
-5.89794897,0.50095004,0.30153918,0.08676718,0.15587482,0.00005991,0.21551571,0.00000000
-5.89194597,0.53211182,0.31646142,0.09349843,0.16402377,0.00006278,0.23142523,0.00000000
-5.88594297,0.56600115,0.33223973,0.10097069,0.17223910,0.00006608,0.24931098,0.00000000
-5.87993997,0.60297421,0.34902256,0.10926875,0.18054327,0.00006989,0.26940734,0.00000000
-5.87393697,0.64342464,0.36699362,0.11848324,0.18897036,0.00007430,0.29196709,0.00000000
-5.86793397,0.68776794,0.38636538,0.12870735,0.19756428,0.00007938,0.31725231,0.00000000
-5.86193097,0.73642311,0.40737089,0.14003280,0.20637626,0.00008521,0.34552378,0.00000000
-5.85592796,0.78979202,0.43025394,0.15254541,0.21546166,0.00009186,0.37702922,0.00000000
-5.84992496,0.84823692,0.45525775,0.16632028,0.22487627,0.00009940,0.41199046,0.00000000
-5.84392196,0.91205691,0.48261265,0.18141670,0.23467222,0.00010786,0.45059002,0.00000000
-5.83791896,0.98146419,0.51252286,0.19787299,0.24489355,0.00011727,0.49295747,0.00000000
-5.83191596,1.05656095,0.54515304,0.21570154,0.25557186,0.00012766,0.53915615,0.00000000
-5.82591296,1.13731790,0.58061499,0.23488408,0.26672209,0.00013899,0.58917061,0.00000000
-5.81990995,1.22355554,0.61895503,0.25536766,0.27833870,0.00015126,0.64289547,0.00000000
-5.81390695,1.31492909,0.66014271,0.27706137,0.29039250,0.00016439,0.70012621,0.00000000
-5.80790395,1.41091799,0.70406132,0.29983399,0.30282829,0.00017831,0.76055242,0.00000000
-5.80190095,1.51082081,0.75050082,0.32351303,0.31556349,0.00019291,0.82375402,0.00000000
-5.79589795,1.61375623,0.79915353,0.34788493,0.32848792,0.00020807,0.88920082,0.00000000
-5.78989495,1.71867043,0.84961318,0.37269689,0.34146468,0.00022365,0.95625582,0.00000000
-5.78389195,1.82435115,0.90137733,0.39766006,0.35433232,0.00023946,1.02418233,0.00000000
-5.77788894,1.92944825,0.95385361,0.42245442,0.36690813,0.00025534,1.09215504,0.00000000
-5.77188594,2.03250049,1.00636957,0.44673493,0.37899251,0.00027110,1.15927488,0.00000000
-5.76588294,2.13196781,1.05818610,0.47013910,0.39037422,0.00028652,1.22458739,0.00000000
-5.75987994,2.22626831,1.10851412,0.49229561,0.40083635,0.00030140,1.28710420,0.00000000
-5.75387694,2.31381856,1.15653411,0.51283373,0.41016279,0.00031553,1.34582697,0.00000000
-5.74787394,2.39307626,1.20141784,0.53139336,0.41814489,0.00032871,1.39977310,0.00000000
-5.74187094,2.46258344,1.24235169,0.54763510,0.42458804,0.00034075,1.44800231,0.00000000
-5.73586793,2.52100887,1.27856065,0.56125027,0.42931802,0.00035147,1.48964324,0.00000000
-5.72986493,2.56718806,1.30933228,0.57197022,0.43218670,0.00036069,1.52391909,0.00000000
-5.72386193,2.60015929,1.33403962,0.57957478,0.43307694,0.00036829,1.55017122,0.00000000
-5.71785893,2.61919438,1.35216222,0.58389937,0.43190660,0.00037415,1.56788003,0.00000000
