energy_ev,total_up,Ag_p_up,Ag_d_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.74736759,0.89512679,2.38601576,0.02006892,0.00000000,0.01148580,0.09978054,0.06877180,0.92297340
-5.99399700,3.76729217,0.89811049,2.40060219,0.02020081,0.00000000,0.01120288,0.10104283,0.06956205,0.92635793
-5.98799400,3.78080874,0.89854518,2.41425781,0.02024704,0.00000000,0.01091071,0.10193144,0.07000929,0.92630198
-5.98199100,3.78735637,0.89625594,2.42659513,0.02020479,0.00000000,0.01061036,0.10242353,0.07010381,0.92270118
-5.97598799,3.78648073,0.89111486,2.43722999,0.02007295,0.00000000,0.01030331,0.10250407,0.06984231,0.91551275
-5.96998499,3.77784659,0.88304537,2.44579151,0.01985212,0.00000000,0.00999129,0.10216646,0.06922800,0.90475698
-5.96398199,3.76124585,0.87202497,2.45193073,0.01954463,0.00000000,0.00967631,0.10141290,0.06827052,0.89051692
-5.95797899,3.73660118,0.85808609,2.45532791,0.01915448,0.00000000,0.00936046,0.10025439,0.06698574,0.87293628
-5.95197599,3.70396521,0.84131519,2.45569825,0.01868719,0.00000000,0.00904590,0.09871046,0.06539529,0.85221561
-5.94597299,3.66351561,0.82185022,2.45279607,0.01814970,0.00000000,0.00873476,0.09680856,0.06352600,0.82860703
-5.93996998,3.61554659,0.79987659,2.44641761,0.01755008,0.00000000,0.00842905,0.09458322,0.06140920,0.80240773
-5.93396698,3.56045739,0.77562190,2.43640256,0.01689739,0.00000000,0.00813066,0.09207489,0.05907987,0.77395244
-5.92796398,3.49873848,0.74934964,2.42263450,0.01620137,0.00000000,0.00784127,0.08932867,0.05657575,0.74360531
-5.92196098,3.43095637,0.72135224,2.40504063,0.01547220,0.00000000,0.00756240,0.08639284,0.05393639,0.71175133
-5.91595798,3.35773754,0.69194371,2.38359082,0.01472024,0.00000000,0.00729537,0.08331729,0.05120214,0.67878777
-5.90995498,3.27975255,0.66145215,2.35829636,0.01395580,0.00000000,0.00704136,0.08015199,0.04841329,0.64511585
-5.90395198,3.19770054,0.63021237,2.32920848,0.01318891,0.00000000,0.00680141,0.07694550,0.04560910,0.61113276
-5.89794897,3.11229504,0.59855897,2.29641672,0.01242908,0.00000000,0.00657655,0.07374353,0.04282705,0.57722451
-5.89194597,3.02425108,0.56681992,2.26004731,0.01168519,0.00000000,0.00636777,0.07058780,0.04010211,0.54375947
-5.88594297,2.93427410,0.53531080,2.22026147,0.01096531,0.00000000,0.00617616,0.06751494,0.03746616,0.51108288
-5.87993997,2.84305053,0.50432991,2.17725355,0.01027663,0.00000000,0.00600292,0.06455583,0.03494753,0.47951234
-5.87393697,2.75124007,0.47415413,2.13124903,0.00962537,0.00000000,0.00584941,0.06173502,0.03257070,0.44933422
-5.86793397,2.65946960,0.44503568,2.08250217,0.00901676,0.00000000,0.00571719,0.05907059,0.03035611,0.42080102
-5.86193097,2.56832832,0.41719962,2.03129324,0.00845504,0.00000000,0.00560805,0.05657415,0.02832010,0.39412956
-5.85592796,2.47836398,0.39084214,1.97792523,0.00794346,0.00000000,0.00552394,0.05425114,0.02647494,0.36950001
-5.84992496,2.39007992,0.36612950,1.92272004,0.00748435,0.00000000,0.00546695,0.05210134,0.02482897,0.34705543
-5.84392196,2.30393267,0.34319758,1.86601402,0.00707914,0.00000000,0.00543928,0.05011957,0.02338685,0.32690203
-5.83791896,2.22032984,0.32215194,1.80815294,0.00672844,0.00000000,0.00544308,0.04829645,0.02214981,0.30910975
-5.83191596,2.13962835,0.30306827,1.74948652,0.00643209,0.00000000,0.00548038,0.04661935,0.02111594,0.29371333
-5.82591296,2.06213274,0.28599330,1.69036264,0.00618926,0.00000000,0.00555296,0.04507323,0.02028056,0.28071367
-5.81990995,1.98809372,0.27094594,1.63112129,0.00599845,0.00000000,0.00566221,0.04364164,0.01963653,0.27007943
-5.81390695,1.91770700,0.25791871,1.57208871,0.00585761,0.00000000,0.00580897,0.04230747,0.01917459,0.26174896
-5.80790395,1.85111253,0.24687947,1.51357172,0.00576420,0.00000000,0.00599345,0.04105382,0.01888370,0.25563248
-5.80190095,1.78839439,0.23777333,1.45585264,0.00571519,0.00000000,0.00621511,0.03986459,0.01875132,0.25161447
-5.79589795,1.72958138,0.23052469,1.39918493,0.00570716,0.00000000,0.00647253,0.03872502,0.01876372,0.24955641
-5.78989495,1.67464870,0.22503961,1.34378986,0.00573634,0.00000000,0.00676343,0.03762214,0.01890624,0.24929974
-5.78389195,1.62352060,0.22120821,1.28985426,0.00579867,0.00000000,0.00708463,0.03654497,0.01916352,0.25066907
-5.77788894,1.57607430,0.21890723,1.23752950,0.00588984,0.00000000,0.00743208,0.03548470,0.01951976,0.25347573
-5.77188594,1.53214508,0.21800277,1.18693181,0.00600538,0.00000000,0.00780093,0.03443472,0.01995896,0.25752140
-5.76588294,1.49153255,0.21835292,1.13814387,0.00614070,0.00000000,0.00818568,0.03339048,0.02046507,0.26260198
-5.75987994,1.45400796,0.21981058,1.09121761,0.00629117,0.00000000,0.00858034,0.03234944,0.02102225,0.26851153
-5.75387694,1.41932238,0.22222611,1.04617815,0.00645220,0.00000000,0.00897861,0.03131077,0.02161502,0.27504612
-5.74787394,1.38721551,0.22545000,1.00302867,0.00661932,0.00000000,0.00937415,0.03027512,0.02222844,0.28200766
-5.74187094,1.35742495,0.22933532,0.96175605,0.00678822,0.00000000,0.00976080,0.02924436,0.02284829,0.28920747
-5.73586793,1.32969558,0.23374016,0.92233710,0.00695490,0.00000000,0.01013289,0.02822130,0.02346122,0.29646962
-5.72986493,1.30378887,0.23852982,0.88474510,0.00711567,0.00000000,0.01048545,0.02720938,0.02405484,0.30363385
-5.72386193,1.27949191,0.24357890,0.84895652,0.00726726,0.00000000,0.01081454,0.02621247,0.02461787,0.31055814
-5.71785893,1.25662600,0.24877324,0.81495771,0.00740685,0.00000000,0.01111746,0.02523463,0.02514020,0.31712082
-5.71185593,1.23505467,0.25401179,0.78275137,0.00753213,0.00000000,0.01139293,0.02427996,0.02561302,0.32322225
-5.70585293,1.21469110,0.25920840,0.75236278,0.00764135,0.00000000,0.01164134,0.02335242,0.02602879,0.32878610
-5.69984992,1.19550486,0.26429360,0.72384549,0.00773334,0.00000000,0.01186482,0.02245579,0.02638134,0.33376027
-5.69384692,1.17752799,0.26921633,0.69728659,0.00780749,0.00000000,0.01206737,0.02159363,0.02666590,0.33811746
-5.68784392,1.16086045,0.27394575,0.67281128,0.00786379,0.00000000,0.01225488,0.02076926,0.02687908,0.34185552
-5.68184092,1.14567477,0.27847299,0.65058678,0.00790284,0.00000000,0.01243509,0.01998586,0.02701894,0.34499762
-5.67583792,1.13221996,0.28281288,0.63082539,0.00792578,0.00000000,0.01261757,0.01924651,0.02708493,0.34759214
-5.66983492,1.12082434,0.28700554,0.61378656,0.00793431,0.00000000,0.01281357,0.01855435,0.02707798,0.34971255
-5.66383192,1.11189724,0.29111771,0.59977787,0.00793064,0.00000000,0.01303585,0.01791269,0.02700044,0.35145698
-5.65782891,1.10592895,0.29524372,0.58915450,0.00791747,0.00000000,0.01329846,0.01732519,0.02685612,0.35294764
-5.65182591,1.10348877,0.29950581,0.58231721,0.00789794,0.00000000,0.01361648,0.01679599,0.02665028,0.35432989
-5.64582291,1.10522041,0.30405380,0.57970827,0.00787557,0.00000000,0.01400568,0.01632982,0.02638956,0.35577087
-5.63981991,1.11183441,0.30906367,0.58180528,0.00785423,0.00000000,0.01448220,0.01593214,0.02608199,0.35745764
-5.63381691,1.12409698,0.31473510,0.58911245,0.00783804,0.00000000,0.01506211,0.01560917,0.02573688,0.35959453
-5.62781391,1.14281473,0.32128765,0.60214922,0.00783134,0.00000000,0.01576096,0.01536792,0.02536468,0.36239977
