energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
3.58679340,0.66100765,-0.68484882,0.39133297,-0.44571242,0.01117493,-0.00971514,0.03343248,-0.02073977,0.04462220,-0.04394446,0.04956982,-0.04898521,0.00000000,-0.00000000
3.59279640,0.65762622,-0.65215468,0.37745853,-0.41641432,0.01202164,-0.00971694,0.03794489,-0.02193092,0.04521048,-0.04227705,0.05240805,-0.04681159,0.00000000,-0.00000000
3.59879940,0.66264798,-0.62541257,0.36837897,-0.39040295,0.01305322,-0.00989431,0.04332922,-0.02380607,0.04647207,-0.04103336,0.05615147,-0.04577048,0.00000000,-0.00000000
3.60480240,0.67643412,-0.60542728,0.36433377,-0.36815961,0.01427142,-0.01025538,0.04960881,-0.02640382,0.04845418,-0.04028431,0.06076111,-0.04582291,0.00000000,-0.00000000
3.61080540,0.69917413,-0.59290766,0.36547201,-0.35010582,0.01567477,-0.01080753,0.05679793,-0.02976262,0.05119246,-0.04009617,0.06618892,-0.04693159,0.00000000,-0.00000000
3.61680840,0.73087404,-0.58845026,0.37184788,-0.33659686,0.01725819,-0.01155686,0.06489941,-0.03391957,0.05470953,-0.04052928,0.07237574,-0.04905915,0.00000000,-0.00000000
3.62281141,0.77134786,-0.59252425,0.38341730,-0.32791628,0.01901253,-0.01250767,0.07390201,-0.03890875,0.05901346,-0.04163670,0.07924971,-0.05216613,0.00000000,-0.00000000
3.62881441,0.82021247,-0.60545761,0.40003589,-0.32427099,0.02092434,-0.01366195,0.08377806,-0.04475925,0.06409658,-0.04346280,0.08672503,-0.05620879,0.00000000,-0.00000000
3.63481741,0.87688650,-0.62742488,0.42145844,-0.32578724,0.02297572,-0.01501880,0.09448122,-0.05149287,0.06993438,-0.04604197,0.09470147,-0.06113684,0.00000000,-0.00000000
3.64082041,0.94059364,-0.65843654,0.44733993,-0.33250715,0.02514430,-0.01657398,0.10594465,-0.05912163,0.07648470,-0.04939716,0.10306444,-0.06689134,0.00000000,-0.00000000
3.64682341,1.01037056,-0.69833049,0.47723840,-0.34438586,0.02740337,-0.01831947,0.11807969,-0.06764517,0.08368727,-0.05353859,0.11168576,-0.07340277,0.00000000,-0.00000000
3.65282641,1.08508008,-0.74676583,0.51061983,-0.36128945,0.02972225,-0.02024309,0.13077524,-0.07704814,0.09146374,-0.05846245,0.12042526,-0.08058949,0.00000000,-0.00000000
3.65882941,1.16342934,-0.80321959,0.54686525,-0.38299374,0.03206670,-0.02232824,0.14389787,-0.08729776,0.09971803,-0.06414971,0.12913300,-0.08835670,0.00000000,-0.00000000
3.66483242,1.24399340,-0.86698682,0.58528009,-0.40918405,0.03439963,-0.02455385,0.15729282,-0.09834169,0.10833736,-0.07056517,0.13765218,-0.09659597,0.00000000,-0.00000000
3.67083542,1.32524365,-0.93718456,0.62510605,-0.43945640,0.03668187,-0.02689430,0.17078596,-0.11010633,0.11719381,-0.07765667,0.14582267,-0.10518543,0.00000000,-0.00000000
3.67683842,1.40558095,-1.01276027,0.66553520,-0.47332024,0.03887311,-0.02931970,0.18418663,-0.12249571,0.12614644,-0.08535479,0.15348493,-0.11399071,0.00000000,-0.00000000
3.68284142,1.48337250,-1.09250499,0.70572639,-0.51020303,0.04093293,-0.03179622,0.19729140,-0.13539115,0.13504406,-0.09357279,0.16048423,-0.12286657,0.00000000,-0.00000000
3.68884442,1.55699164,-1.17507169,0.74482347,-0.54945702,0.04282188,-0.03428660,0.20988866,-0.14865171,0.14372847,-0.10220723,0.16667509,-0.13165923,0.00000000,-0.00000000
3.69484742,1.62485939,-1.25899854,0.78197508,-0.59036828,0.04450264,-0.03675091,0.22176386,-0.16211553,0.15203818,-0.11113895,0.17192550,-0.14020942,0.00000000,-0.00000000
3.70085043,1.68548631,-1.34273734,0.81635532,-0.63216823,0.04594111,-0.03914738,0.23270526,-0.17560220,0.15981259,-0.12023483,0.17612101,-0.14835590,0.00000000,-0.00000000
3.70685343,1.73751317,-1.42468628,0.84718476,-0.67404748,0.04710744,-0.04143343,0.24251000,-0.18891593,0.16689622,-0.12934999,0.17916832,-0.15593947,0.00000000,-0.00000000
3.71285643,1.77974899,-1.50322652,0.87375092,-0.71517196,0.04797696,-0.04356672,0.25099016,-0.20184974,0.17314317,-0.13833070,0.18099821,-0.16280720,0.00000000,-0.00000000
