energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,3.95933005,0.00742627,0.55252725,1.14942779,0.41257954,2.68323031,1.48649474,0.02276479,1.32730840
-5.99399700,4.00203802,0.00739490,0.55321213,1.16504130,0.42114139,2.71600583,1.49662558,0.02224562,1.34802906
-5.98799400,4.03443777,0.00734485,0.55245319,1.17694881,0.42909222,2.74194469,1.50270153,0.02167298,1.36538672
-5.98199100,4.05645975,0.00728063,0.55023858,1.18520853,0.43641493,2.76085148,1.50464705,0.02105624,1.37946473
-5.97598799,4.06820928,0.00720706,0.54657256,1.18994805,0.44310977,2.77263062,1.50244775,0.02040434,1.39041431
-5.96998499,4.06995939,0.00712909,0.54147598,1.19135884,0.44919296,2.77729044,1.49615044,0.01972569,1.39844695
-5.96398199,4.06214190,0.00705163,0.53498685,1.18968943,0.45469502,2.77494690,1.48586276,0.01902803,1.40382555
-5.95797899,4.04533666,0.00697934,0.52716095,1.18523727,0.45965888,2.76582646,1.47175237,0.01831835,1.40685461
-5.95197599,4.02025857,0.00691648,0.51807244,1.17833968,0.46413788,2.75026745,1.45404526,0.01760292,1.40786975
-5.94597299,3.98774245,0.00686676,0.50781413,1.16936394,0.46819362,2.72871923,1.43302312,0.01688730,1.40722665
-5.93996998,3.94872554,0.00683318,0.49649739,1.15869688,0.47189373,2.70173869,1.40901961,0.01617641,1.40528996
-5.93396698,3.90422790,0.00681795,0.48425151,1.14673417,0.47530957,2.66998362,1.38241529,0.01547458,1.40242229
-5.92796398,3.85533083,0.00682241,0.47122247,1.13386971,0.47851403,2.63420282,1.35363128,0.01478567,1.39897374
-5.92196098,3.80315381,0.00684698,0.45757110,1.12048537,0.48157942,2.59522275,1.32312179,0.01411316,1.39527221
-5.91595798,3.74883064,0.00689116,0.44347055,1.10694136,0.48457561,2.55393129,1.29136544,0.01346019,1.39161499
-5.90995498,3.69348548,0.00695355,0.42910319,1.09356768,0.48756838,2.51125871,1.25885586,0.01282966,1.38826183
-5.90395198,3.63820971,0.00703191,0.41465715,1.08065682,0.49061824,2.46815672,1.22609171,0.01222427,1.38542976
-5.89794897,3.58404047,0.00712324,0.40032237,1.06845802,0.49377967,2.42557642,1.19356669,0.01164657,1.38329006
-5.89194597,3.53194192,0.00722391,0.38628666,1.05717323,0.49710083,2.38444585,1.16175959,0.01109894,1.38196727
-5.88594297,3.48278971,0.00732979,0.37273166,1.04695505,0.50062383,2.34564825,1.13112525,0.01058363,1.38154050
-5.87993997,3.43735963,0.00743640,0.35982915,1.03790644,0.50438549,2.31000192,1.10208627,0.01010275,1.38204682
-5.87393697,3.39632052,0.00753910,0.34773760,1.03008246,0.50841849,2.27824229,1.07502624,0.00965822,1.38348670
-5.86793397,3.36023174,0.00763322,0.33659938,1.02349363,0.51275298,2.25100708,1.05028437,0.00925181,1.38583102
-5.86193097,3.32954504,0.00771427,0.32653852,1.01811095,0.51741831,2.22882501,1.02815189,0.00888506,1.38902937
-5.85592796,3.30461041,0.00777806,0.31765922,1.01387214,0.52244498,2.21210812,1.00887013,0.00855935,1.39301922
-5.84992496,3.28568527,0.00782088,0.31004512,1.01068883,0.52786639,2.20114818,0.99263027,0.00827581,1.39773519
-5.84392196,3.27294622,0.00783960,0.30375927,1.00845429,0.53372045,2.19611674,0.97957471,0.00803539,1.40311824
-5.83791896,3.26650239,0.00783180,0.29884476,1.00705149,0.54005071,2.19706876,0.96979968,0.00783887,1.40912382
-5.83191596,3.26640936,0.00779581,0.29532597,1.00636080,0.54690707,2.20394936,0.96335897,0.00768682,1.41572895
-5.82591296,3.27268281,0.00773075,0.29321027,1.00626734,0.55434573,2.21660320,0.96026844,0.00757970,1.42293741
