energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.52769141,0.01492295,0.00000000,0.02810234,0.10900772,0.70248343,0.00000000,0.50328720,0.15212194
-5.99399700,1.50463381,0.01484794,0.00000000,0.02774504,0.10700922,0.69497682,0.00000000,0.48717797,0.14614185
-5.98799400,1.48227961,0.01477727,0.00000000,0.02728365,0.10495055,0.68779956,0.00000000,0.47210220,0.14045365
-5.98199100,1.46050620,0.01470861,0.00000000,0.02672394,0.10284262,0.68085489,0.00000000,0.45794859,0.13504817
-5.97598799,1.43919001,0.01463953,0.00000000,0.02607264,0.10069644,0.67404663,0.00000000,0.44460636,0.12991644
-5.96998499,1.41820790,0.01456755,0.00000000,0.02533722,0.09852294,0.66728093,0.00000000,0.43196875,0.12504974
-5.96398199,1.39743892,0.01449020,0.00000000,0.02452571,0.09633269,0.66046815,0.00000000,0.41993610,0.12043950
-5.95797899,1.37676677,0.01440507,0.00000000,0.02364654,0.09413587,0.65352496,0.00000000,0.40841847,0.11607723
-5.95197599,1.35608322,0.01430992,0.00000000,0.02270838,0.09194213,0.64637680,0.00000000,0.39733799,0.11195436
-5.94597299,1.33529238,0.01420274,0.00000000,0.02172004,0.08976074,0.63896056,0.00000000,0.38663093,0.10806226
-5.93996998,1.31431575,0.01408188,0.00000000,0.02069040,0.08760070,0.63122736,0.00000000,0.37624944,0.10439222
-5.93396698,1.29309769,0.01394610,0.00000000,0.01962830,0.08547098,0.62314544,0.00000000,0.36616301,0.10093560
-5.92796398,1.27161101,0.01379470,0.00000000,0.01854251,0.08338074,0.61470275,0.00000000,0.35635960,0.09768401
-5.92196098,1.24986211,0.01362762,0.00000000,0.01744166,0.08133969,0.60590917,0.00000000,0.34684640,0.09462957
-5.91595798,1.22789529,0.01344545,0.00000000,0.01633423,0.07935826,0.59679807,0.00000000,0.33765006,0.09176516
-5.90995498,1.20579573,0.01324953,0.00000000,0.01522844,0.07744788,0.58742711,0.00000000,0.32881646,0.08908471
-5.90395198,1.18369079,0.01304195,0.00000000,0.01413227,0.07562111,0.57787800,0.00000000,0.32041000,0.08658346
-5.89794897,1.16174948,0.01282558,0.00000000,0.01305335,0.07389167,0.56825535,0.00000000,0.31251220,0.08425809
-5.89194597,1.14017977,0.01260398,0.00000000,0.01199895,0.07227445,0.55868432,0.00000000,0.30521988,0.08210681
-5.88594297,1.11922412,0.01238141,0.00000000,0.01097586,0.07078537,0.54930742,0.00000000,0.29864272,0.08012939
-5.87993997,1.09915310,0.01216268,0.00000000,0.00999041,0.06944118,0.54028040,0.00000000,0.29290054,0.07832704
-5.87393697,1.08025767,0.01195308,0.00000000,0.00904834,0.06825918,0.53176748,0.00000000,0.28812013,0.07670221
-5.86793397,1.06284043,0.01175825,0.00000000,0.00815486,0.06725699,0.52393615,0.00000000,0.28443199,0.07525839
-5.86193097,1.04720648,0.01158401,0.00000000,0.00731455,0.06645222,0.51695189,0.00000000,0.28196696,0.07399979
-5.85592796,1.03365429,0.01143625,0.00000000,0.00653143,0.06586224,0.51097295,0.00000000,0.28085302,0.07293108
-5.84992496,1.02246720,0.01132073,0.00000000,0.00580895,0.06550400,0.50614552,0.00000000,0.28121236,0.07205713
-5.84392196,1.01390614,0.01124297,0.00000000,0.00515012,0.06539392,0.50259965,0.00000000,0.28315884,0.07138284
-5.83791896,1.00820374,0.01120807,0.00000000,0.00455754,0.06554797,0.50044586,0.00000000,0.28679602,0.07091301
-5.83191596,1.00556038,0.01122062,0.00000000,0.00403361,0.06598174,0.49977283,0.00000000,0.29221588,0.07065235
-5.82591296,1.00614218,0.01128452,0.00000000,0.00358061,0.06671078,0.50064616,0.00000000,0.29949825,0.07060563
-5.81990995,1.01008109,0.01140293,0.00000000,0.00320098,0.06775096,0.50310814,0.00000000,0.30871105,0.07077788
-5.81390695,1.01747692,0.01157816,0.00000000,0.00289743,0.06911901,0.50717866,0.00000000,0.31991129,0.07117470
-5.80790395,1.02840112,0.01181161,0.00000000,0.00267324,0.07083302,0.51285701,0.00000000,0.33314687,0.07180276
-5.80190095,1.04290206,0.01210373,0.00000000,0.00253246,0.07291312,0.52012452,0.00000000,0.34845903,0.07267020
-5.79589795,1.06101136,0.01245396,0.00000000,0.00248010,0.07538202,0.52894781,0.00000000,0.36588540,0.07378716
-5.78989495,1.08275086,0.01286077,0.00000000,0.00252238,0.07826560,0.53928256,0.00000000,0.38546339,0.07516627
-5.78389195,1.10813980,0.01332167,0.00000000,0.00266690,0.08159331,0.55107745,0.00000000,0.40723381,0.07682306
-5.77788894,1.13720163,0.01383322,0.00000000,0.00292275,0.08539852,0.56427814,0.00000000,0.43124447,0.07877628
-5.77188594,1.16997013,0.01439108,0.00000000,0.00330066,0.08971852,0.57883111,0.00000000,0.45755337,0.08104812
-5.76588294,1.20649433,0.01499016,0.00000000,0.00381296,0.09459444,0.59468709,0.00000000,0.48623140,0.08366420
-5.75987994,1.24684174,0.01562463,0.00000000,0.00447359,0.10007074,0.61180394,0.00000000,0.51736403,0.08665341
-5.75387694,1.29109982,0.01628811,0.00000000,0.00529797,0.10619447,0.63014885,0.00000000,0.55105182,0.09004749
