energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.58104559,0.03930333,0.00000000,0.00281277,0.18708064,0.12350210,0.08203210
-5.99399700,0.56246881,0.03833802,0.00000000,0.00264921,0.18240195,0.12003301,0.07894902
-5.98799400,0.54256112,0.03717112,0.00000000,0.00249964,0.17743839,0.11615723,0.07576524
-5.98199100,0.52145096,0.03582113,0.00000000,0.00236235,0.17216863,0.11190979,0.07249427
-5.97598799,0.49929049,0.03430974,0.00000000,0.00223587,0.16658483,0.10733358,0.06915194
-5.96998499,0.47625363,0.03266128,0.00000000,0.00211907,0.16069314,0.10247851,0.06575634
-5.96398199,0.45253359,0.03090206,0.00000000,0.00201116,0.15451369,0.09740050,0.06232768
-5.95797899,0.42834018,0.02905979,0.00000000,0.00191179,0.14808025,0.09216040,0.05888824
-5.95197599,0.40389702,0.02716286,0.00000000,0.00182108,0.14143967,0.08682294,0.05546215
-5.94597299,0.37943879,0.02523982,0.00000000,0.00173968,0.13465113,0.08145575,0.05207537
-5.93996998,0.35520883,0.02331871,0.00000000,0.00166883,0.12778529,0.07612844,0.04875550
-5.93396698,0.33145707,0.02142664,0.00000000,0.00161045,0.12092348,0.07091192,0.04553181
-5.92796398,0.30843851,0.01958934,0.00000000,0.00156717,0.11415698,0.06587784,0.04243521
-5.92196098,0.28641230,0.01783084,0.00000000,0.00154247,0.10758644,0.06109829,0.03949833
-5.91595798,0.26564154,0.01617331,0.00000000,0.00154074,0.10132147,0.05664567,0.03675569
-5.90995498,0.24639366,0.01463692,0.00000000,0.00156745,0.09548043,0.05259282,0.03424393
-5.90395198,0.22894135,0.01323983,0.00000000,0.00162920,0.09019046,0.04901330,0.03200206
-5.89794897,0.21356405,0.01199830,0.00000000,0.00173388,0.08558756,0.04598179,0.03007179
-5.89194597,0.20054962,0.01092685,0.00000000,0.00189080,0.08181683,0.04357460,0.02849792
-5.88594297,0.19019610,0.01003840,0.00000000,0.00211079,0.07903274,0.04187015,0.02732859
-5.87993997,0.18281330,0.00934456,0.00000000,0.00240627,0.07739921,0.04094940,0.02661561
-5.87393697,0.17872380,0.00885581,0.00000000,0.00279135,0.07708952,0.04089610,0.02641460
-5.86793397,0.17826315,0.00858171,0.00000000,0.00328185,0.07828584,0.04179673,0.02678499
-5.86193097,0.18177889,0.00853102,0.00000000,0.00389522,0.08117824,0.04374020,0.02778984
-5.85592796,0.18962805,0.00871181,0.00000000,0.00465051,0.08596297,0.04681698,0.02949539
-5.84992496,0.20217298,0.00913139,0.00000000,0.00556808,0.09284009,0.05111784,0.03197026
-5.84392196,0.21977505,0.00979627,0.00000000,0.00666942,0.10201004,0.05673200,0.03528434
-5.83791896,0.24278630,0.01071186,0.00000000,0.00797667,0.11366928,0.06374469,0.03950730
-5.83191596,0.27153891,0.01188220,0.00000000,0.00951216,0.12800497,0.07223416,0.04470667
-5.82591296,0.30633252,0.01330952,0.00000000,0.01129776,0.14518853,0.08226823,0.05094556
-5.81990995,0.34741971,0.01499378,0.00000000,0.01335412,0.16536843,0.09390032,0.05827999
-5.81390695,0.39498990,0.01693209,0.00000000,0.01569988,0.18866211,0.10716520,0.06675591
-5.80790395,0.44915235,0.01911817,0.00000000,0.01835067,0.21514746,0.12207464,0.07640608
-5.80190095,0.50991868,0.02154179,0.00000000,0.02131817,0.24485403,0.13861301,0.08724666
-5.79589795,0.57718592,0.02418826,0.00000000,0.02460905,0.27775450,0.15673317,0.09927400
-5.78989495,0.65072087,0.02703801,0.00000000,0.02822400,0.31375658,0.17635294,0.11246150
-5.78389195,0.73014671,0.03006630,0.00000000,0.03215673,0.35269612,0.19735217,0.12675680
-5.77788894,0.81493289,0.03324309,0.00000000,0.03639323,0.39433166,0.21957090,0.14207961
-5.77188594,0.90438918,0.03653309,0.00000000,0.04091101,0.43834099,0.24280872,0.15832007
-5.76588294,0.99766480,0.03989605,0.00000000,0.04567873,0.48432020,0.26682549,0.17533817
-5.75987994,1.09375315,0.04328721,0.00000000,0.05065601,0.53178549,0.29134358,0.19296400
-5.75387694,1.19150285,0.04665805,0.00000000,0.05579358,0.58017803,0.31605178,0.21099930
-5.74787394,1.28963512,0.04995721,0.00000000,0.06103375,0.62887210,0.34061075,0.22922004
-5.74187094,1.38676745,0.05313164,0.00000000,0.06631127,0.67718631,0.36466002,0.24738028
-5.73586793,1.48144325,0.05612783,0.00000000,0.07155458,0.72439798,0.38782639,0.26521722
-5.72986493,1.57216667,0.05889328,0.00000000,0.07668729,0.76976017,0.40973341,0.28245721
-5.72386193,1.65744147,0.06137789,0.00000000,0.08163011,0.81252086,0.43001171,0.29882268
-5.71785893,1.73581276,0.06353547,0.00000000,0.08630298,0.85194379,0.44830979,0.31403973
-5.71185593,1.80591002,0.06532512,0.00000000,0.09062729,0.88733004,0.46430481,0.32784609
-5.70585293,1.86648950,0.06671252,0.00000000,0.09452840,0.91803963,0.47771299,0.33999915
