energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,3.33017028,0.01727046,0.27550024,0.92093036,1.90169560,0.43617722,0.15300889,0.00408623,1.16367810
-5.99399700,3.37008792,0.01880314,0.28510855,0.91622271,1.92253775,0.43927106,0.15867384,0.00384708,1.17096051
-5.98799400,3.40456809,0.02043738,0.29424564,0.91077917,1.93809959,0.44201930,0.16457839,0.00363920,1.17738863
-5.98199100,3.43289292,0.02216247,0.30276848,0.90463076,1.94800990,0.44441754,0.17068269,0.00346242,1.18272790
-5.97598799,3.45448445,0.02396627,0.31053974,0.89779663,1.95203869,0.44646166,0.17694580,0.00331599,1.18676215
-5.96998499,3.46892398,0.02583534,0.31743386,0.89028773,1.95010459,0.44814961,0.18332613,0.00319868,1.18929941
-5.96398199,3.47596782,0.02775509,0.32334295,0.88211166,1.94227808,0.44948354,0.18978193,0.00310891,1.19017763
-5.95797899,3.47555898,0.02970992,0.32818258,0.87327837,1.92878040,0.45047233,0.19627182,0.00304486,1.18927011
-5.95197599,3.46783449,0.03168345,0.33189697,0.86380651,1.90997843,0.45113427,0.20275538,0.00300454,1.18649058
-5.94597299,3.45312803,0.03365862,0.33446339,0.85372999,1.88637556,0.45149978,0.20919384,0.00298596,1.18179779
-5.93996998,3.43196790,0.03561793,0.33589560,0.84310438,1.85859909,0.45161403,0.21555086,0.00298717,1.17519943
-5.93396698,3.40507007,0.03754366,0.33624600,0.83201275,1.82738438,0.45153934,0.22179345,0.00300641,1.16675528
-5.92796398,3.37332650,0.03941806,0.33560649,0.82057075,1.79355625,0.45135715,0.22789292,0.00304212,1.15657934
-5.92196098,3.33778878,0.04122362,0.33410787,0.80893036,1.75800815,0.45116942,0.23382605,0.00309307,1.14484096
-5.91595798,3.29964741,0.04294339,0.33191770,0.79728221,1.72167953,0.45109938,0.23957616,0.00315838,1.13176456
-5.90995498,3.26020702,0.04456129,0.32923675,0.78585632,1.68553206,0.45129149,0.24513435,0.00323754,1.11762811
-5.90395198,3.22085799,0.04606243,0.32629412,0.77492093,1.65052522,0.45191044,0.25050061,0.00333047,1.10276009
-5.89794897,3.18304498,0.04743356,0.32334105,0.76477953,1.61759174,0.45313931,0.25568482,0.00343749,1.08753493
-5.89194597,3.14823309,0.04866341,0.32064376,0.75576597,1.58761366,0.45517668,0.26070758,0.00355929,1.07236690
-5.88594297,3.11787233,0.04974312,0.31847552,0.74823789,1.56139945,0.45823282,0.26560073,0.00369693,1.05770251
-5.87993997,3.09336114,0.05066665,0.31710813,0.74256835,1.53966279,0.46252488,0.27040751,0.00385176,1.04401141
-5.87393697,3.07600994,0.05143109,0.31680328,0.73913612,1.52300368,0.46827129,0.27518225,0.00402536,1.03177607
-5.86793397,3.06700546,0.05203698,0.31780391,0.73831468,1.51189224,0.47568537,0.27998953,0.00421944,1.02148013
-5.86193097,3.06737697,0.05248855,0.32032600,0.74046034,1.50665587,0.48496832,0.28490275,0.00443575,1.01359598
-5.85592796,3.07796507,0.05279374,0.32455103,0.74589965,1.50746998,0.49630177,0.29000212,0.00467597,1.00857152
-5.84992496,3.09939415,0.05296422,0.33061944,0.75491675,1.51435285,0.50984015,0.29537203,0.00494156,1.00681668
-5.84392196,3.13204935,0.05301523,0.33862526,0.76774072,1.52716469,0.52570301,0.30109789,0.00523369,1.00868991
-5.83791896,3.17605870,0.05296515,0.34861220,0.78453362,1.54561108,0.54396768,0.30726253,0.00555306,1.01448500
-5.83191596,3.23128129,0.05283510,0.36057129,0.80537961,1.56925072,0.56466247,0.31394221,0.00589982,1.02441892
-5.82591296,3.29730194,0.05264821,0.37444025,0.83027548,1.59750745,0.58776076,0.32120248,0.00627345,1.03862082
-5.81990995,3.37343293,0.05242885,0.39010456,0.85912326,1.62968615,0.61317626,0.32909410,0.00667268,1.05712288
-5.81390695,3.45872294,0.05220171,0.40740036,0.89172514,1.66499200,0.64075977,0.33764907,0.00709543,1.07985340
-5.80790395,3.55197339,0.05199085,0.42611892,0.92778127,1.70255279,0.67029760,0.34687721,0.00753876,1.10663254
-5.80190095,3.65176201,0.05181863,0.44601269,0.96689064,1.74144337,0.70151205,0.35676330,0.00799889,1.13717103
-5.79589795,3.75647318,0.05170477,0.46680267,1.00855529,1.78071150,0.73406391,0.36726509,0.00847122,1.17107228
-5.78989495,3.86433459,0.05166537,0.48818685,1.05218805,1.81940442,0.76755729,0.37831233,0.00895041,1.20783790
