energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.97498447,0.84209922,1.65788738,0.00667921,0.59072944,0.02153552,1.58197774,0.46571240,0.40203264
-5.99399700,3.89359957,0.81867709,1.62377015,0.00627212,0.56671883,0.02118802,1.56700106,0.45952434,0.39676179
-5.98799400,3.80675912,0.79551271,1.58664991,0.00587711,0.54243535,0.02071716,1.54960707,0.45369525,0.39088477
-5.98199100,3.71596068,0.77309403,1.54709808,0.00549500,0.51826285,0.02013224,1.53016340,0.44839841,0.38453581
-5.97598799,3.62271093,0.75188226,1.50569607,0.00512670,0.49456776,0.01944477,1.50905394,0.44379686,0.37785702
-5.96998499,3.52848988,0.73230113,1.46302174,0.00477324,0.47169191,0.01866809,1.48666835,0.44003933,0.37099479
-5.96398199,3.43471678,0.71472740,1.41963656,0.00443578,0.44994604,0.01781694,1.46339177,0.43725637,0.36409617
-5.95797899,3.34271864,0.69948278,1.37607396,0.00411557,0.42960414,0.01690698,1.43959534,0.43555674,0.35730518
-5.95197599,3.25370257,0.68682756,1.33282907,0.00381391,0.41089876,0.01595432,1.41562769,0.43502441,0.35075935
-5.94597299,3.16873264,0.67695592,1.29035031,0.00353219,0.39401734,0.01497501,1.39180783,0.43571610,0.34458650
-5.93996998,3.08871187,0.66999315,1.24903288,0.00327174,0.37909954,0.01398460,1.36841957,0.43765954,0.33890194
-5.93396698,3.01436999,0.66599477,1.20921441,0.00303392,0.36623590,0.01299771,1.34570779,0.44085258,0.33380615
-5.92796398,2.94625713,0.66494747,1.17117273,0.00281999,0.35546754,0.01202770,1.32387641,0.44526321,0.32938300
-5.92196098,2.88474337,0.66677191,1.13512578,0.00263116,0.34678715,0.01108637,1.30308821,0.45083048,0.32569861
-5.91595798,2.83002408,0.67132717,1.10123343,0.00246853,0.34014118,0.01018374,1.28346621,0.45746639,0.32280070
-5.90995498,2.78213052,0.67841675,1.06960111,0.00233309,0.33543316,0.00932798,1.26509664,0.46505867,0.32071866
-5.90395198,2.74094503,0.68779592,1.04028488,0.00222578,0.33252807,0.00852530,1.24803298,0.47347437,0.31946398
-5.89794897,2.70621994,0.69918004,1.01329760,0.00214739,0.33125770,0.00778005,1.23230093,0.48256420,0.31903129
-5.89194597,2.67759932,0.71225383,0.98861591,0.00209870,0.33142673,0.00709479,1.21790384,0.49216731,0.31939962
-5.88594297,2.65464232,0.72668093,0.96618752,0.00208040,0.33281942,0.00647046,1.20482835,0.50211656,0.32053406
-5.87993997,2.63684710,0.74211371,0.94593846,0.00209315,0.33520670,0.00590657,1.19304967,0.51224378,0.32238746
