energy_ev,total_up,Au_p_up,Au_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.28194421,0.55474470,1.55566831,0.52048425,0.00000000,0.00775211,0.16235301,0.38631093,0.00000000
-5.99399700,2.30575785,0.55378120,1.58709442,0.51558036,0.00000000,0.00789099,0.16110465,0.38431194,0.00000000
-5.98799400,2.32682929,0.55207612,1.61705198,0.50943054,0.00000000,0.00803520,0.15917137,0.38255851,0.00000000
-5.98199100,2.34562448,0.54982536,1.64583811,0.50212810,0.00000000,0.00818927,0.15663069,0.38108680,0.00000000
-5.97598799,2.36263904,0.54722823,1.67375761,0.49379029,0.00000000,0.00835743,0.15356929,0.37993025,0.00000000
-5.96998499,2.37836526,0.54447750,1.70109713,0.48455431,0.00000000,0.00854330,0.15007973,0.37911705,0.00000000
-5.96398199,2.39325949,0.54174989,1.72810009,0.47457263,0.00000000,0.00874968,0.14625724,0.37866763,0.00000000
-5.95797899,2.40771190,0.53919740,1.75494406,0.46400790,0.00000000,0.00897827,0.14219648,0.37859219,0.00000000
-5.95197599,2.42202031,0.53694021,1.78172198,0.45302768,0.00000000,0.00922955,0.13798867,0.37888866,0.00000000
-5.94597299,2.43636978,0.53506125,1.80842826,0.44179915,0.00000000,0.00950262,0.13371904,0.37954121,0.00000000
-5.93996998,2.45081932,0.53360305,1.83495101,0.43048437,0.00000000,0.00979515,0.12946471,0.38051943,0.00000000
-5.93396698,2.46529651,0.53256680,1.86107081,0.41923589,0.00000000,0.01010334,0.12529321,0.38177830,0.00000000
-5.92796398,2.47960054,0.53191387,1.88646636,0.40819329,0.00000000,0.01042208,0.12126152,0.38325912,0.00000000
-5.92196098,2.49341354,0.53156951,1.91072675,0.39748047,0.00000000,0.01074496,0.11741568,0.38489127,0.00000000
-5.91595798,2.50631945,0.53142866,1.93336995,0.38720397,0.00000000,0.01106460,0.11379098,0.38659474,0.00000000
-5.90995498,2.51782950,0.53136333,1.95386620,0.37745226,0.00000000,0.01137281,0.11041261,0.38828342,0.00000000
-5.90395198,2.52741251,0.53123128,1.97166537,0.36829582,0.00000000,0.01166093,0.10729670,0.38986880,0.00000000
-5.89794897,2.53452825,0.53088528,1.98622635,0.35978811,0.00000000,0.01192016,0.10445165,0.39126391,0.00000000
-5.89194597,2.53866183,0.53018254,1.99704703,0.35196714,0.00000000,0.01214190,0.10187970,0.39238733,0.00000000
-5.88594297,2.53935669,0.52899364,2.00369280,0.34485744,0.00000000,0.01231811,0.09957841,0.39316689,0.00000000
-5.87993997,2.53624444,0.52721048,2.00582216,0.33847228,0.00000000,0.01244161,0.09754226,0.39354282,0.00000000
-5.87393697,2.52906946,0.52475275,2.00320766,0.33281594,0.00000000,0.01250640,0.09576397,0.39347025,0.00000000
-5.86793397,2.51770686,0.52157261,1.99575102,0.32788578,0.00000000,0.01250789,0.09423566,0.39292072,0.00000000
-5.86193097,2.50217257,0.51765728,1.98349154,0.32367397,0.00000000,0.01244312,0.09294968,0.39188285,0.00000000
-5.85592796,2.48262523,0.51302947,1.96660731,0.32016879,0.00000000,0.01231085,0.09189916,0.39036179,0.00000000
-5.84992496,2.45935961,0.50774564,1.94540913,0.31735540,0.00000000,0.01211160,0.09107816,0.38837783,0.00000000
-5.84392196,2.43279218,0.50189236,1.92032768,0.31521597,0.00000000,0.01184767,0.09048156,0.38596406,0.00000000
-5.83791896,2.40343987,0.49558084,1.89189463,0.31372941,0.00000000,0.01152302,0.09010466,0.38316337,0.00000000
-5.83191596,2.37189332,0.48894024,1.86071895,0.31287053,0.00000000,0.01114309,0.08994251,0.38002490,0.00000000
-5.82591296,2.33878653,0.48211002,1.82745982,0.31260891,0.00000000,0.01071462,0.08998917,0.37660030,0.00000000
-5.81990995,2.30476465,0.47523204,1.79279779,0.31290759,0.00000000,0.01024536,0.09023680,0.37294001,0.00000000
-5.81390695,2.27045225,0.46844260,1.75740589,0.31372173,0.00000000,0.00974382,0.09067484,0.36908980,0.00000000
-5.80790395,2.23642363,0.46186531,1.72192234,0.31499748,0.00000000,0.00921892,0.09128925,0.36508788,0.00000000
-5.80190095,2.20317735,0.45560482,1.68692638,0.31667112,0.00000000,0.00867971,0.09206186,0.36096266,0.00000000
-5.79589795,2.17111625,0.44974208,1.65291855,0.31866879,0.00000000,0.00813507,0.09297007,0.35673150,0.00000000
-5.78989495,2.14053416,0.44433124,1.62030636,0.32090679,0.00000000,0.00759343,0.09398668,0.35240025,0.00000000
-5.78389195,2.11161006,0.43939845,1.58939616,0.32329269,0.00000000,0.00706257,0.09508011,0.34796396,0.00000000
-5.77788894,2.08440981,0.43494247,1.56039120,0.32572713,0.00000000,0.00654941,0.09621499,0.34340836,0.00000000
-5.77188594,2.05889535,0.43093724,1.53339613,0.32810648,0.00000000,0.00605986,0.09735288,0.33871229,0.00000000
-5.76588294,2.03494072,0.42733603,1.50842719,0.33032613,0.00000000,0.00559876,0.09845352,0.33385079,0.00000000
-5.75987994,2.01235363,0.42407707,1.48542738,0.33228453,0.00000000,0.00516983,0.09947613,0.32879865,0.00000000
-5.75387694,1.99090153,0.42109022,1.46428561,0.33388759,0.00000000,0.00477567,0.10038098,0.32353423,0.00000000
-5.74787394,1.97034028,0.41830437,1.44485839,0.33505344,0.00000000,0.00441781,0.10113113,0.31804339,0.00000000
-5.74187094,1.95044381,0.41565506,1.42699285,0.33571724,0.00000000,0.00409682,0.10169414,0.31232314,0.00000000
-5.73586793,1.93103284,0.41309189,1.41054938,0.33583580,0.00000000,0.00381240,0.10204377,0.30638481,0.00000000
-5.72986493,1.91200102,0.41058538,1.39542267,0.33539178,0.00000000,0.00356354,0.10216153,0.30025677,0.00000000
-5.72386193,1.89333668,0.40813265,1.38155975,0.33439728,0.00000000,0.00334861,0.10203810,0.29398610,0.00000000
-5.71785893,1.87513901,0.40576183,1.36897380,0.33289636,0.00000000,0.00316555,0.10167439,0.28763951,0.00000000
-5.71185593,1.85762723,0.40353466,1.35775293,0.33096662,0.00000000,0.00301201,0.10108223,0.28130318,0.00000000
-5.70585293,1.84114239,0.40154729,1.34806331,0.32871931,0.00000000,0.00288542,0.10028472,0.27508148,0.00000000
-5.69984992,1.82614102,0.39992893,1.34014617,0.32629805,0.00000000,0.00278317,0.09931605,0.26909472,0.00000000
-5.69384692,1.81318103,0.39883854,1.33430896,0.32387607,0.00000000,0.00270264,0.09822089,0.26347590,0.00000000
-5.68784392,1.80290002,0.39845943,1.33091075,0.32165187,0.00000000,0.00264129,0.09705328,0.25836652,0.00000000
-5.68184092,1.79598712,0.39899212,1.33034282,0.31984341,0.00000000,0.00259673,0.09587503,0.25391175,0.00000000
-5.67583792,1.79314941,0.40064559,1.33300516,0.31868093,0.00000000,0.00256670,0.09475371,0.25025496,0.00000000
-5.66983492,1.79507449,0.40362743,1.33928024,0.31839865,0.00000000,0.00254913,0.09376032,0.24753193,0.00000000
-5.66383192,1.80239108,0.40813303,1.34950539,0.31922556,0.00000000,0.00254211,0.09296655,0.24586501,0.00000000
-5.65782891,1.81562942,0.41433467,1.36394527,0.32137564,0.00000000,0.00254388,0.09244196,0.24535734,0.00000000
-5.65182591,1.83518361,0.42237068,1.38276593,0.32503788,0.00000000,0.00255287,0.09225102,0.24608750,0.00000000
-5.64582291,1.86127786,0.43233538,1.40601203,0.33036653,0.00000000,0.00256760,0.09245020,0.24810481,0.00000000
-5.63981991,1.89393839,0.44427031,1.43358846,0.33747201,0.00000000,0.00258674,0.09308522,0.25142545,0.00000000
-5.63381691,1.93297279,0.45815717,1.46524765,0.34641289,0.00000000,0.00260912,0.09418856,0.25602973,0.00000000
-5.62781391,1.97795797,0.47391297,1.50058333,0.35718939,0.00000000,0.00263367,0.09577744,0.26186056,0.00000000
-5.62181091,2.02823785,0.49138765,1.53903147,0.36973880,0.00000000,0.00265953,0.09785226,0.26882334,0.00000000
-5.61580790,2.08293120,0.51036460,1.57987855,0.38393303,0.00000000,0.00268601,0.10039564,0.27678730,0.00000000
-5.60980490,2.14094968,0.53056392,1.62227711,0.39957875,0.00000000,0.00271270,0.10337219,0.28558838,0.00000000
-5.60380190,2.20102576,0.55164881,1.66526805,0.41642000,0.00000000,0.00273947,0.10672898,0.29503350,0.00000000
-5.59779890,2.26174947,0.57323454,1.70780900,0.43414352,0.00000000,0.00276659,0.11039669,0.30490623,0.00000000
-5.59179590,2.32161285,0.59490013,1.74880742,0.45238663,0.00000000,0.00279473,0.11429151,0.31497367,0.00000000
-5.58579290,2.37906016,0.61620199,1.78715733,0.47074740,0.00000000,0.00282510,0.11831772,0.32499423,0.00000000
-5.57978989,2.43254210,0.63668928,1.82177799,0.48879696,0.00000000,0.00285945,0.12237079,0.33472615,0.00000000
-5.57378689,2.48057160,0.65592017,1.85165288,0.50609324,0.00000000,0.00290014,0.12634092,0.34393636,0.00000000
-5.56778389,2.52177893,0.67347841,1.87586741,0.52219593,0.00000000,0.00295020,0.13011696,0.35240927,0.00000000
-5.56178089,2.55496386,0.68898949,1.89364367,0.53668175,0.00000000,0.00301333,0.13359034,0.35995532,0.00000000
-5.55577789,2.57914248,0.70213559,1.90437082,0.54915965,0.00000000,0.00309391,0.13665916,0.36641865,0.00000000
-5.54977489,2.59358687,0.71266856,1.90762972,0.55928509,0.00000000,0.00319695,0.13923186,0.37168371,0.00000000
-5.54377189,2.59785567,0.72042053,1.90321094,0.56677284,0.00000000,0.00332808,0.14123068,0.37568046,0.00000000
-5.53776888,2.59181448,0.72531125,1.89112531,0.57140780,0.00000000,0.00349347,0.14259451,0.37838790,0.00000000
-5.53176588,2.57564504,0.72735209,1.87160675,0.57305318,0.00000000,0.00369969,0.14328108,0.37983561,0.00000000
-5.52576288,2.54984283,0.72664616,1.84510711,0.57165583,0.00000000,0.00395361,0.14326839,0.38010342,0.00000000
-5.51975988,2.51520332,0.72338480,1.81228360,0.56724837,0.00000000,0.00426228,0.14255535,0.37931898,0.00000000
-5.51375688,2.47279729,0.71784014,1.77397915,0.55994809,0.00000000,0.00463272,0.14116147,0.37765334,0.00000000
-5.50775388,2.42393651,0.71035446,1.73119677,0.54995267,0.00000000,0.00507172,0.13912586,0.37531481,0.00000000
-5.50175088,2.37013105,0.70132642,1.68506884,0.53753287,0.00000000,0.00558574,0.13650529,0.37254117,0.00000000
-5.49574787,2.31304014,0.69119502,1.63682273,0.52302265,0.00000000,0.00618062,0.13337172,0.36959063,0.00000000
-5.48974487,2.25441855,0.68042192,1.58774415,0.50680711,0.00000000,0.00686145,0.12980921,0.36673199,0.00000000
-5.48374187,2.19606078,0.66947290,1.53913946,0.48930876,0.00000000,0.00763237,0.12591042,0.36423425,0.00000000
-5.47773887,2.13974506,0.65879934,1.49229863,0.47097283,0.00000000,0.00849644,0.12177295,0.36235621,0.00000000
-5.47173587,2.08717951,0.64882052,1.44845991,0.45225220,0.00000000,0.00945550,0.11749560,0.36133647,0.00000000
-5.46573287,2.03995224,0.63990758,1.40877756,0.43359249,0.00000000,0.01051009,0.11317468,0.36138427,0.00000000
-5.45972986,1.99948732,0.63236975,1.37429351,0.41541811,0.00000000,0.01165939,0.10890075,0.36267144,0.00000000
-5.45372686,1.96700773,0.62644352,1.34591383,0.39811946,0.00000000,0.01290122,0.10475562,0.36532592,0.00000000
-5.44772386,1.94350656,0.62228508,1.32439046,0.38204202,0.00000000,0.01423209,0.10080997,0.36942690,0.00000000
-5.44172086,1.92972696,0.61996630,1.31030846,0.36747745,0.00000000,0.01564726,0.09712155,0.37500193,0.00000000
-5.43571786,1.92615107,0.61947443,1.30407900,0.35465695,0.00000000,0.01714093,0.09373399,0.38202593,0.00000000
-5.42971486,1.93299771,0.62071522,1.30593752,0.34374707,0.00000000,0.01870637,0.09067632,0.39042211,0.00000000
-5.42371186,1.95022842,0.62351933,1.31594714,0.33484779,0.00000000,0.02033611,0.08796307,0.40006476,0.00000000
-5.41770885,1.97756091,0.62765160,1.33400629,0.32799294,0.00000000,0.02202224,0.08559497,0.41078369,0.00000000
-5.41170585,2.01448887,0.63282258,1.35986022,0.32315272,0.00000000,0.02375658,0.08356016,0.42237009,0.00000000
-5.40570285,2.06030693,0.63870176,1.39311535,0.32023805,0.00000000,0.02553097,0.08183576,0.43458356,0.00000000
-5.39969985,2.11413942,0.64493185,1.43325595,0.31910644,0.00000000,0.02733747,0.08038975,0.44716001,0.00000000
-5.39369685,2.17497167,0.65114328,1.47966203,0.31956924,0.00000000,0.02916858,0.07918312,0.45982008,0.00000000
-5.38769385,2.24168240,0.65696859,1.53162798,0.32139973,0.00000000,0.03101736,0.07817194,0.47227777,0.00000000
-5.38169085,2.31307614,0.66205571,1.58838115,0.32434186,0.00000000,0.03287759,0.07730955,0.48424905,0.00000000
-5.37568784,2.38791472,0.66607993,1.64909991,0.32811930,0.00000000,0.03474376,0.07654854,0.49546001,0.00000000
-5.36968484,2.46494677,0.66875406,1.71293079,0.33244457,0.00000000,0.03661109,0.07584261,0.50565448,0.00000000
-5.36368184,2.54293483,0.66983641,1.77900424,0.33702784,0.00000000,0.03847540,0.07514815,0.51460081,0.00000000
-5.35767884,2.62067951,0.66913650,1.84644923,0.34158540,0.00000000,0.04033298,0.07442554,0.52209768,0.00000000
-5.35167584,2.69704053,0.66651852,1.91440620,0.34584739,0.00000000,0.04218032,0.07364012,0.52797879,0.00000000
-5.34567284,2.77095448,0.66190239,1.98203878,0.34956472,0.00000000,0.04401392,0.07276294,0.53211640,0.00000000
-5.33966983,2.84144957,0.65526283,2.04854429,0.35251508,0.00000000,0.04582991,0.07177115,0.53442368,0.00000000
-5.33366683,2.90765732,0.64662653,2.11316305,0.35450787,0.00000000,0.04762378,0.07064810,0.53485579,0.00000000
-5.32766383,2.96882167,0.63606773,2.17518699,0.35538790,0.00000000,0.04939001,0.06938328,0.53340986,0.00000000
