energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.24193377,0.01445481,1.03774311,0.89019566,0.53720094,0.09447805,2.09184094,1.46059117,0.98156850
-5.99399700,5.23057924,0.01384095,1.04148193,0.89996046,0.53213717,0.09057659,2.08476774,1.45480612,0.99160338
-5.98799400,5.22520955,0.01322996,1.04671483,0.91019011,0.52746181,0.08675798,2.07961567,1.45164592,1.00283763
-5.98199100,5.22850440,0.01263219,1.05430284,0.92111144,0.52340846,0.08307888,2.07710060,1.45237301,1.01592991
-5.97598799,5.24305533,0.01205724,1.06513426,0.93292177,0.52019789,0.07959230,2.07786012,1.45824838,1.03156300
-5.96998499,5.27129285,0.01151386,1.08009910,0.94578042,0.51803247,0.07634674,2.08243534,1.47049488,1.05042381
-5.96398199,5.31541492,0.01100969,1.10006158,0.95980122,0.51709098,0.07338554,2.09125534,1.49025942,1.07318168
-5.95797899,5.37731877,0.01055123,1.12583140,0.97504656,0.51752424,0.07074629,2.10462498,1.51857535,1.10046529
-5.95197599,5.45853775,0.01014366,1.15813448,0.99152303,0.51945134,0.06846044,2.12271612,1.55632584,1.13283901
-5.94597299,5.56018504,0.00979089,1.19758416,1.00917901,0.52295684,0.06655296,2.14556266,1.60420963,1.17077925
-5.93996998,5.68290586,0.00949547,1.24465381,1.02790425,0.52808875,0.06504213,2.17305938,1.66271009,1.21465176
-5.93396698,5.82683992,0.00925862,1.29965174,1.04753162,0.53485753,0.06393946,2.20496468,1.73206872,1.26469055
-5.92796398,5.99159540,0.00908032,1.36269943,1.06784093,0.54323586,0.06324966,2.24090712,1.81226424,1.32097942
-5.92196098,6.17623584,0.00895933,1.43371401,1.08856479,0.55315948,0.06297076,2.28039554,1.90299791,1.38343678
-5.91595798,6.37928086,0.00889332,1.51239594,1.10939636,0.56452877,0.06309427,2.32283249,2.00368619,1.45180473
-5.90995498,6.59872131,0.00887893,1.59822247,1.12999867,0.57721117,0.06360544,2.36753060,2.11346106,1.52564294
-5.90395198,6.83204934,0.00891197,1.69044765,1.15001529,0.59104438,0.06448364,2.41373138,2.23117868,1.60432793
-5.89794897,7.07630292,0.00898745,1.78810931,1.16908184,0.60584016,0.06570281,2.46062588,2.35543636,1.68705824
-5.89194597,7.32812449,0.00909979,1.89004304,1.18683796,0.62138872,0.06723195,2.50737667,2.48459785,1.77286555
-5.88594297,7.58383242,0.00924293,1.99490330,1.20293934,0.63746352,0.06903579,2.55314034,2.61682653,1.86063185
-5.87993997,7.83950361,0.00941046,2.10119117,1.21706918,0.65382644,0.07107546,2.59708986,2.75012588,1.94911233
-5.87393697,8.09106523,0.00959577,2.20728825,1.22894869,0.67023306,0.07330927,2.63843616,2.88238610,2.03696348
-5.86793397,8.33439282,0.00979219,2.31149559,1.23834619,0.68643805,0.07569353,2.67644805,3.01143570,2.12277558
-5.86193097,8.56541188,0.00999310,2.41207671,1.24508442,0.70220040,0.07818345,2.71047002,3.13509645,2.20510873
-5.85592796,8.78019960,0.01019205,2.50730314,1.24904575,0.71728841,0.08073396,2.73993721,3.25123994,2.28253099
-5.84992496,8.97508339,0.01038292,2.59550095,1.25017505,0.73148431,0.08330068,2.76438711,3.35784383,2.35365750
-5.84392196,9.14673281,0.01055996,2.67509657,1.24848015,0.74458837,0.08584070,2.78346766,3.45304578,2.41718900
-5.83791896,9.29224156,0.01071791,2.74466028,1.24403000,0.75642236,0.08831340,2.79694159,3.53519316,2.47194840
-5.83191596,9.40919682,0.01085207,2.80294553,1.23695046,0.76683232,0.09068116,2.80468691,3.60288651,2.51691384
-5.82591296,9.49573342,0.01095838,2.84892273,1.22741814,0.77569062,0.09290995,2.80669370,3.65501540,2.55124712
