energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,1.57556952,-1.57548296,0.35967302,-0.35969833,0.35766832,-0.35764247,0.00211928,-0.00211882,0.23012420,-0.23010655,0.48552714,-0.48553780,0.00000000,-0.00000000,0.62890100,-0.62890259,0.09538060,-0.09537008
-5.99399700,1.58463582,-1.58459228,0.35623114,-0.35626050,0.35988357,-0.35986724,0.00225760,-0.00225703,0.23271652,-0.23270334,0.48564429,-0.48566940,0.00000000,-0.00000000,0.63005840,-0.63008321,0.09570280,-0.09569569
-5.98799400,1.58916186,-1.58916292,0.35226990,-0.35230462,0.36106604,-0.36105898,0.00242359,-0.00242290,0.23484150,-0.23483358,0.48428842,-0.48432775,0.00000000,-0.00000000,0.62883063,-0.62887898,0.09565928,-0.09565590
-5.98199100,1.58896406,-1.58900922,0.34767522,-0.34771605,0.36122163,-0.36122313,0.00261880,-0.00261801,0.23642280,-0.23642053,0.48146385,-0.48151664,0.00000000,-0.00000000,0.62516926,-0.62524093,0.09522365,-0.09522415
-5.97598799,1.58406969,-1.58415632,0.34238843,-0.34243556,0.36040160,-0.36041047,0.00284493,-0.00284402,0.23742308,-0.23742642,0.47723120,-0.47729614,0.00000000,-0.00000000,0.61908647,-0.61918070,0.09438480,-0.09438921
-5.96998499,1.57471260,-1.57483611,0.33640540,-0.33645850,0.35870073,-0.35871537,0.00310365,-0.00310263,0.23784337,-0.23785188,0.47170553,-0.47178084,0.00000000,-0.00000000,0.61065634,-0.61077180,0.09314683,-0.09315501
-5.96398199,1.56132079,-1.56147480,0.32977368,-0.32983194,0.35625377,-0.35627222,0.00339656,-0.00339542,0.23772091,-0.23773381,0.46505226,-0.46513569,0.00000000,-0.00000000,0.60001381,-0.60014864,0.09152822,-0.09153991
-5.95797899,1.54449609,-1.54467266,0.32258778,-0.32264994,0.35323008,-0.35325008,0.00372496,-0.00372369,0.23712569,-0.23714188,0.45748080,-0.45756976,0.00000000,-0.00000000,0.58735143,-0.58750329,0.08956063,-0.08957544
-5.95197599,1.52498674,-1.52517673,0.31498267,-0.31504713,0.34982684,-0.34984592,0.00408975,-0.00408836,0.23615564,-0.23617377,0.44923641,-0.44932802,0.00000000,-0.00000000,0.57291394,-0.57308004,0.08728714,-0.08730458
-5.94597299,1.50365402,-1.50384749,0.30712604,-0.30719094,0.34626094,-0.34627652,0.00449125,-0.00448973,0.23493082,-0.23494939,0.44059043,-0.44068164,0.00000000,-0.00000000,0.55699077,-0.55716797,0.08476011,-0.08477961
-5.93996998,1.48143432,-1.48162092,0.29920937,-0.29927263,0.34275992,-0.34276941,0.00492904,-0.00492738,0.23358683,-0.23360425,0.43182924,-0.43191697,0.00000000,-0.00000000,0.53990680,-0.54009170,0.08203883,-0.08205978
-5.93396698,1.45929806,-1.45946747,0.29143825,-0.29149775,0.33955237,-0.33955329,0.00540181,-0.00540002,0.23226760,-0.23228227,0.42324272,-0.42332392,0.00000000,-0.00000000,0.52201170,-0.52220074,0.07918691,-0.07920865
-5.92796398,1.43820732,-1.43834974,0.28402247,-0.28407612,0.33685806,-0.33684814,0.00590727,-0.00590535,0.23111800,-0.23112838,0.41511226,-0.41518411,0.00000000,-0.00000000,0.50366825,-0.50385786,0.07626966,-0.07629154
-5.92196098,1.41907393,-1.41918049,0.27716607,-0.27721189,0.33487837,-0.33485566,0.00644203,-0.00643999,0.23027640,-0.23028112,0.40769929,-0.40775926,0.00000000,-0.00000000,0.48524021,-0.48542686,0.07335151,-0.07337289
-5.91595798,1.40271976,-1.40278290,0.27105778,-0.27109400,0.33378731,-0.33375027,0.00700157,-0.00699942,0.22986774,-0.22986565,0.40123452,-0.40128048,0.00000000,-0.00000000,0.46708006,-0.46726042,0.07049358,-0.07051389
-5.90995498,1.38984086,-1.38985470,0.26586233,-0.26588750,0.33372355,-0.33367113,0.00758021,-0.00757797,0.22999704,-0.22998729,0.39590844,-0.39593878,0.00000000,-0.00000000,0.44951733,-0.44968839,0.06775153,-0.06777025
-5.90395198,1.38097707,-1.38093770,0.26171279,-0.26172583,0.33478381,-0.33471554,0.00817119,-0.00816887,0.23074397,-0.23072604,0.39186360,-0.39187729,0.00000000,-0.00000000,0.43284784,-0.43300696,0.06517369,-0.06519040
-5.89794897,1.37648823,-1.37639391,0.25870440,-0.25870465,0.33701797,-0.33693395,0.00876673,-0.00876437,0.23215846,-0.23213220,0.38918887,-0.38918548,0.00000000,-0.00000000,0.41732442,-0.41746946,0.06279965,-0.06281400
-5.89194597,1.37653815,-1.37638943,0.25688993,-0.25687721,0.34042591,-0.34032686,0.00935821,-0.00935583,0.23425758,-0.23422327,0.38791600,-0.38789576,0.00000000,-0.00000000,0.40314937,-0.40327873,0.06065920,-0.06067098
-5.88594297,1.38108686,-1.38088660,0.25627687,-0.25625148,0.34495649,-0.34484378,0.00993636,-0.00993399,0.23702395,-0.23698224,0.38801853,-0.38798233,0.00000000,-0.00000000,0.39046912,-0.39058178,0.05877183,-0.05878092
-5.87993997,1.38989146,-1.38964478,0.25682652,-0.25678925,0.35050855,-0.35038411,0.01049149,-0.01048917,0.24040549,-0.24035744,0.38941332,-0.38936265,0.00000000,-0.00000000,0.37937111,-0.37946665,0.05714661,-0.05715299
-5.87393697,1.40251558,-1.40222969,0.25845493,-0.25840703,0.35693392,-0.35680022,0.01101378,-0.01101154,0.24431676,-0.24426378,0.39196425,-0.39190120,0.00000000,-0.00000000,0.36988315,-0.36996174,0.05578252,-0.05578629
-5.86793397,1.41834689,-1.41803083,0.26103571,-0.26097885,0.36404237,-0.36390236,0.01149359,-0.01149147,0.24864168,-0.24858550,0.39548836,-0.39541549,0.00000000,-0.00000000,0.36197516,-0.36203754,0.05466921,-0.05467057
-5.86193097,1.43662195,-1.43628631,0.26440451,-0.26434076,0.37160826,-0.37146527,0.01192179,-0.01191981,0.25323755,-0.25318015,0.39976375,-0.39968403,0.00000000,-0.00000000,0.35556321,-0.35561066,0.05378811,-0.05378733
-5.85592796,1.45645728,-1.45611377,0.26836511,-0.26829681,0.37937867,-0.37923626,0.01229003,-0.01228824,0.25794019,-0.25788375,0.40453921,-0.40445590,0.00000000,-0.00000000,0.35051570,-0.35054991,0.05311379,-0.05311120
-5.84992496,1.47688526,-1.47654629,0.27269663,-0.27262635,0.38708252,-0.38694444,0.01259112,-0.01258954,0.26256999,-0.26251681,0.40954495,-0.40946147,0.00000000,-0.00000000,0.34666117,-0.34668422,0.05261556,-0.05261156
-5.84392196,1.49689329,-1.49657153,0.27716180,-0.27709223,0.39444057,-0.39431056,0.01281922,-0.01281788,0.26693861,-0.26689099,0.41450407,-0.41442389,0.00000000,-0.00000000,0.34379769,-0.34381190,0.05225922,-0.05225422
-5.83791896,1.51546463,-1.51517252,0.28151577,-0.28144963,0.40117559,-0.40105731,0.01297016,-0.01296906,0.27085595,-0.27081617,0.41914431,-0.41907078,0.00000000,-0.00000000,0.34170306,-0.34171091,0.05200882,-0.05200325
-5.83191596,1.53161898,-1.53136827,0.28551520,-0.28545515,0.40702253,-0.40691938,0.01304155,-0.01304071,0.27413730,-0.27410748,0.42320944,-0.42314570,0.00000000,-0.00000000,0.34014554,-0.34014956,0.05182845,-0.05182271
-5.82591296,1.54445120,-1.54425251,0.28892719,-0.28887573,0.41173806,-0.41165312,0.01303294,-0.01303236,0.27661010,-0.27659217,0.42646995,-0.42641878,0.00000000,-0.00000000,0.33889460,-0.33889723,0.05168387,-0.05167837
-5.81990995,1.55316653,-1.55302897,0.29153769,-0.29149706,0.41510929,-0.41504518,0.01294586,-0.01294553,0.27812027,-0.27811587,0.42873253,-0.42869627,0.00000000,-0.00000000,0.33773108,-0.33773462,0.05154406,-0.05153914
-5.81390695,1.55711075,-1.55704159,0.29315913,-0.29313124,0.41696121,-0.41692001,0.01278378,-0.01278370,0.27853766,-0.27854809,0.42984794,-0.42982839,0.00000000,-0.00000000,0.33645650,-0.33646299,0.05138245,-0.05137840
-5.80790395,1.55579413,-1.55579855,0.29363676,-0.29362315,0.41716250,-0.41714569,0.01255206,-0.01255219,0.27776055,-0.27778675,0.42971696,-0.42971529,0.00000000,-0.00000000,0.33490091,-0.33491205,0.05117796,-0.05117500
-5.80190095,1.54890826,-1.54898918,0.29285374,-0.29285550,0.41562965,-0.41563808,0.01225773,-0.01225806,0.27571892,-0.27576141,0.42829409,-0.42831086,0.00000000,-0.00000000,0.33292914,-0.33294625,0.05091569,-0.05091397
