energy_ev,total_up,As_p_up,As_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.24753364,1.02106189,0.00000000,0.01818676,0.54261157,0.48252293,0.56151152
-5.99399700,2.29694339,1.04284384,0.00000000,0.01891371,0.55494380,0.49531658,0.57443972
-5.98799400,2.34379612,1.06414404,0.00000000,0.01977713,0.56558695,0.50849766,0.58735163
-5.98199100,2.38763175,1.08486895,0.00000000,0.02077941,0.57433409,0.52185844,0.60020940
-5.97598799,2.42806424,1.10494883,0.00000000,0.02192148,0.58101013,0.53519564,0.61298319
-5.96998499,2.46478707,1.12433539,0.00000000,0.02320249,0.58547752,0.54831483,0.62564892
-5.96398199,2.49757511,1.14299822,0.00000000,0.02461944,0.58764101,0.56103392,0.63818549
-5.95797899,2.52628301,1.16091991,0.00000000,0.02616681,0.58745119,0.57318599,0.65057145
-5.95197599,2.55084053,1.17809048,0.00000000,0.02783634,0.58490652,0.58462125,0.66278144
-5.94597299,2.57124529,1.19450150,0.00000000,0.02961672,0.58005402,0.59520817,0.67478278
-5.93996998,2.58755343,1.21014016,0.00000000,0.03149353,0.57298836,0.60483408,0.68653226
-5.93396698,2.59986904,1.22498401,0.00000000,0.03344917,0.56384950,0.61340508,0.69797358
-5.92796398,2.60833304,1.23899656,0.00000000,0.03546297,0.55281884,0.62084551,0.70903559
-5.92196098,2.61311219,1.25212419,0.00000000,0.03751148,0.54011424,0.62709716,0.71963148
-5.91595798,2.61438908,1.26429465,0.00000000,0.03956885,0.52598386,0.63211837,0.72965921
-5.90995498,2.61235367,1.27541736,0.00000000,0.04160733,0.51069929,0.63588299,0.73900305
-5.90395198,2.60719681,1.28538553,0.00000000,0.04359801,0.49454807,0.63837961,0.74753639
-5.89794897,2.59910620,1.29408013,0.00000000,0.04551150,0.47782603,0.63961087,0.75512570
-5.89194597,2.58826483,1.30137551,0.00000000,0.04731890,0.46082961,0.63959313,0.76163544
-5.88594297,2.57485187,1.30714632,0.00000000,0.04899259,0.44384861,0.63835632,0.76693372
-5.87993997,2.55904574,1.31127549,0.00000000,0.05050722,0.42715939,0.63594411,0.77089846
-5.87393697,2.54102888,1.31366263,0.00000000,0.05184056,0.41101891,0.63241421,0.77342370
-5.86793397,2.52099368,1.31423240,0.00000000,0.05297432,0.39565968,0.62783875,0.77442565
-5.86193097,2.49914880,1.31294235,0.00000000,0.05389482,0.38128566,0.62230457,0.77384826
-5.85592796,2.47572512,1.30978958,0.00000000,0.05459359,0.36806932,0.61591330,0.77166780
-5.84992496,2.45098058,1.30481579,0.00000000,0.05506771,0.35614964,0.60878116,0.76789632
-5.84392196,2.42520332,1.29811032,0.00000000,0.05531999,0.34563113,0.60103812,0.76258361
-5.83791896,2.39871229,1.28981098,0.00000000,0.05535897,0.33658376,0.59282664,0.75581759
-5.83191596,2.37185533,1.28010222,0.00000000,0.05519863,0.32904366,0.58429960,0.74772303
-5.82591296,2.34500417,1.26921104,0.00000000,0.05485798,0.32301449,0.57561769,0.73845859
-5.81990995,2.31854664,1.25740040,0.00000000,0.05436043,0.31846930,0.56694601,0.72821230
-5.81390695,2.29287622,1.24496060,0.00000000,0.05373293,0.31535290,0.55845024,0.71719572
-5.80790395,2.26837947,1.23219897,0.00000000,0.05300510,0.31358447,0.55029230,0.70563691
-5.80190095,2.24542198,1.21942838,0.00000000,0.05220817,0.31306046,0.54262577,0.69377273
-5.79589795,2.22433356,1.20695506,0.00000000,0.05137390,0.31365769,0.53559125,0.68184059
-5.78989495,2.20539370,1.19506644,0.00000000,0.05053347,0.31523655,0.52931191,0.67007026
-5.78389195,2.18881811,1.18401952,0.00000000,0.04971645,0.31764443,0.52388943,0.65867593
-5.77788894,2.17474712,1.17403038,0.00000000,0.04894976,0.32071928,0.51940059,0.64784905
-5.77188594,2.16323708,1.16526540,0.00000000,0.04825681,0.32429324,0.51589469,0.63775206
-5.76588294,2.15425507,1.15783458,0.00000000,0.04765676,0.32819653,0.51339202,0.62851355
-5.75987994,2.14767772,1.15178735,0.00000000,0.04716393,0.33226147,0.51188348,0.62022477
-5.75387694,2.14329434,1.14711109,0.00000000,0.04678739,0.33632658,0.51133147,0.61293791
-5.74787394,2.14081457,1.14373246,0.00000000,0.04653082,0.34024087,0.51167212,0.60666604
-5.74187094,2.13988039,1.14152168,0.00000000,0.04639245,0.34386808,0.51281874,0.60138476
-5.73586793,2.14008225,1.14029941,0.00000000,0.04636534,0.34709096,0.51466656,0.59703561
-5.72986493,2.14097874,1.13984617,0.00000000,0.04643775,0.34981534,0.51709849,0.59353092
-5.72386193,2.14211920,1.13991398,0.00000000,0.04659373,0.35197396,0.51999184,0.59076001
-5.71785893,2.14306829,1.14023957,0.00000000,0.04681387,0.35352990,0.52322567,0.58859663
-5.71185593,2.14343152,1.14055890,0.00000000,0.04707615,0.35447936,0.52668848,0.58690698
-5.70585293,2.14288077,1.14062219,0.00000000,0.04735692,0.35485386,0.53028607,0.58555845
-5.69984992,2.14117842,1.14020898,0.00000000,0.04763187,0.35472143,0.53394901,0.58442824
-5.69384692,2.13819909,1.13914234,0.00000000,0.04787711,0.35418690,0.53763953,0.58341196
-5.68784392,2.13394772,1.13730188,0.00000000,0.04807012,0.35339103,0.54135748,0.58243136
-5.68184092,2.12857299,1.13463454,0.00000000,0.04819071,0.35250847,0.54514486,0.58144119
-5.67583792,2.12237515,1.13116294,0.00000000,0.04822184,0.35174453,0.54908885,0.58043466
-5.66983492,2.11580754,1.12699046,0.00000000,0.04815029,0.35133068,0.55332294,0.57944722
-5.66383192,2.10947129,1.12230292,0.00000000,0.04796718,0.35151893,0.55802601,0.57855842
-5.65782891,2.10410307,1.11736652,0.00000000,0.04766828,0.35257517,0.56341936,0.57789181
-5.65182591,2.10055598,1.11252186,0.00000000,0.04725412,0.35477163,0.56976151,0.57761254
-5.64582291,2.09977405,1.10817432,0.00000000,0.04672989,0.35837865,0.57734105,0.57792292
-5.63981991,2.10276114,1.10478101,0.00000000,0.04610514,0.36365608,0.58646765,0.57905601
-5.63381691,2.11054536,1.10283467,0.00000000,0.04539325,0.37084456,0.59746154,0.58126733
-5.62781391,2.12414034,1.10284531,0.00000000,0.04461082,0.38015694,0.61064183,0.58482515
-5.62181091,2.14450510,1.10532018,0.00000000,0.04377688,0.39177035,0.62631417,0.58999977
-5.61580790,2.17250405,1.11074314,0.00000000,0.04291196,0.40581902,0.64475825,0.59705210
-5.60980490,2.20886908,1.11955416,0.00000000,0.04203723,0.42238834,0.66621564,0.60622219
-5.60380190,2.25416544,1.13213004,0.00000000,0.04117358,0.44151030,0.69087850,0.61771818
-5.59779890,2.30876303,1.14876721,0.00000000,0.04034072,0.46316064,0.71887977,0.63170615
-5.59179590,2.37281445,1.16966735,0.00000000,0.03955643,0.48725777,0.75028508,0.64830140
-5.58579290,2.44624098,1.19492658,0.00000000,0.03883591,0.51366358,0.78508696,0.66756145
-5.57978989,2.52872713,1.22452877,0.00000000,0.03819126,0.54218618,0.82320143,0.68948117
-5.57378689,2.61972405,1.25834308,0.00000000,0.03763119,0.57258438,0.86446728,0.71399028
-5.56778389,2.71846170,1.29612606,0.00000000,0.03716086,0.60457389,0.90864789,0.74095313
-5.56178089,2.82396923,1.33752797,0.00000000,0.03678196,0.63783484,0.95543565,0.77017103
-5.55577789,2.93510262,1.38210315,0.00000000,0.03649287,0.67202043,1.00445875,0.80138680
-5.54977489,3.05057839,1.42932392,0.00000000,0.03628912,0.70676636,1.05528999,0.83429135
-5.54377189,3.16901182,1.47859720,0.00000000,0.03616382,0.74170055,1.10745733,0.86853218
-5.53776888,3.28895807,1.52928345,0.00000000,0.03610832,0.77645296,1.16045574,0.90372315
-5.53176588,3.40895461,1.58071675,0.00000000,0.03611284,0.81066493,1.21375989,0.93945549
-5.52576288,3.52756312,1.63222548,0.00000000,0.03616720,0.84399785,1.26683733,0.97530927
-5.51975988,3.64340952,1.68315278,0.00000000,0.03626148,0.87614086,1.31916161,1.01086522
-5.51375688,3.75522058,1.73287586,0.00000000,0.03638668,0.90681722,1.37022511,1.04571639
-5.50775388,3.86185620,1.78082391,0.00000000,0.03653531,0.93578939,1.41955111,1.07947925
-5.50175088,3.96233638,1.82649368,0.00000000,0.03670187,0.96286262,1.46670486,1.11180407
-5.49574787,4.05586226,1.86946254,0.00000000,0.03688322,0.98788700,1.51130342,1.14238409
-5.48974487,4.14183117,1.90939877,0.00000000,0.03707889,1.01075818,1.55302405,1.17096342
-5.48374187,4.21984523,1.94606866,0.00000000,0.03729115,1.03141676,1.59161096,1.19734346
-5.47773887,4.28971403,1.97934052,0.00000000,0.03752507,1.04984648,1.62688039,1.22138761
-5.47173587,4.35145140,2.00918551,0.00000000,0.03778837,1.06607150,1.65872386,1.24302415
-5.46573287,4.40526680,2.03567540,0.00000000,0.03809126,1.08015297,1.68710949,1.26224735
-5.45972986,4.45155181,2.05897726,0.00000000,0.03844605,1.09218492,1.71208150,1.27911660
-5.45372686,4.49086236,2.07934551,0.00000000,0.03886677,1.10228989,1.73375769,1.29375361
-5.44772386,4.52389714,2.09711133,0.00000000,0.03936871,1.11061437,1.75232514,1.30633781
-5.44172086,4.55147305,2.11266990,0.00000000,0.03996790,1.11732416,1.76803400,1.31709984
-5.43571786,4.57449822,2.12646578,0.00000000,0.04068050,1.12259984,1.78118973,1.32631346
-5.42971486,4.59394340,2.13897691,0.00000000,0.04152231,1.12663247,1.79214382,1.33428604
-5.42371186,4.61081251,2.15069767,0.00000000,0.04250813,1.12961947,1.80128342,1.34134787
-5.41770885,4.62611321,2.16212175,0.00000000,0.04365126,1.13176094,1.80902005,1.34784076
-5.41170585,4.64082832,2.17372519,0.00000000,0.04496297,1.13325620,1.81577811,1.35410625
-5.40570285,4.65588918,2.18595053,0.00000000,0.04645207,1.13430085,1.82198339,1.36047398
-5.39969985,4.67215172,2.19919270,0.00000000,0.04812454,1.13508414,1.82805223,1.36725080
-5.39369685,4.69037631,2.21378716,0.00000000,0.04998319,1.13578680,1.83438190,1.37471104
-5.38769385,4.71121222,2.23000116,0.00000000,0.05202752,1.13657924,1.84134261,1.38308853
-5.38169085,4.73518725,2.24802852,0.00000000,0.05425362,1.13762019,1.84927162,1.39257092
-5.37568784,4.76270321,2.26798820,0.00000000,0.05665416,1.13905560,1.85846980,1.40329642
-5.36968484,4.79403739,2.28992712,0.00000000,0.05921859,1.14101799,1.86920072,1.41535353
-5.36368184,4.82934983,2.31382689,0.00000000,0.06193331,1.14362591,1.88169247,1.42878362
-5.35767884,4.86869615,2.33961446,0.00000000,0.06478210,1.14698362,1.89614183,1.44358634
-5.35167584,4.91204491,2.36717589,0.00000000,0.06774652,1.15118076,1.91272058,1.45972767
-5.34567284,4.95929855,2.39637275,0.00000000,0.07080644,1.15629206,1.93158329,1.47715002
-5.33966983,5.01031630,2.42705991,0.00000000,0.07394061,1.16237666,1.95287594,1.49578381
-5.33366683,5.06493744,2.45910374,0.00000000,0.07712729,1.16947735,1.97674455,1.51555981
-5.32766383,5.12300316,2.49239939,0.00000000,0.08034480,1.17761919,2.00334277,1.53642122
-5.32166083,5.18437505,2.52688579,0.00000000,0.08357210,1.18680787,2.03283766,1.55833472
-5.31565783,5.24894870,2.56255727,0.00000000,0.08678935,1.19702739,2.06541277,1.58129943
-5.30965483,5.31666079,2.59947043,0.00000000,0.08997826,1.20823751,2.10126765,1.60535297
-5.30365183,5.38748862,2.63774566,0.00000000,0.09312239,1.22037069,2.14061347,1.63057400
-5.29764882,5.46144155,2.67756240,0.00000000,0.09620739,1.23332900,2.18366415,1.65708049
-5.29164582,5.53854417,2.71914811,0.00000000,0.09922095,1.24698101,2.23062336,1.68502371
-5.28564282,5.61881172,2.76276098,0.00000000,0.10215269,1.26115909,2.28166732,1.71457774
-5.27963982,5.70221907,2.80866701,0.00000000,0.10499391,1.27565729,2.33692440,1.74592483
-5.27363682,5.78866467,2.85711238,0.00000000,0.10773714,1.29023031,2.39645212,1.77923735
-5.26763382,5.87793198,2.90829256,0.00000000,0.11037566,1.30459367,2.46021313,1.81465697
-5.26163082,5.96965059,2.96231971,0.00000000,0.11290288,1.31842548,2.52805124,1.85227243
-5.25562781,6.06326010,3.01919042,0.00000000,0.11531169,1.33136997,2.59966933,1.89209702
-5.24962481,6.15797937,3.07875570,0.00000000,0.11759384,1.34304298,2.67461061,1.93404731
-5.24362181,6.25278388,3.14069535,0.00000000,0.11973936,1.35303925,2.75224477,1.97792456
-5.23761881,6.34639363,3.20449854,0.00000000,0.12173602,1.36094159,2.83176053,2.02340006
-5.23161581,6.43727329,3.26945237,0.00000000,0.12356898,1.36633161,2.91216549,2.07000583
-5.22561281,6.52364612,3.33463966,0.00000000,0.12522063,1.36880164,2.99229432,2.11713159
-5.21960980,6.60352182,3.39894678,0.00000000,0.12667049,1.36796753,3.07082550,2.16402862
-5.21360680,6.67473842,3.46108203,0.00000000,0.12789553,1.36348163,3.14630667,2.20982091
-5.20760380,6.73501684,3.51960414,0.00000000,0.12887051,1.35504556,3.21718785,2.25352357
-5.20160080,6.78202639,3.57296017,0.00000000,0.12956866,1.34242203,3.28186188,2.29406785
-5.19559780,6.81345871,3.61953150,0.00000000,0.12996247,1.32544537,3.33871033,2.33033204
-5.18959480,6.82710696,3.65768592,0.00000000,0.13002473,1.30403001,3.38615328,2.36117701
-5.18359180,6.82094697,3.68583374,0.00000000,0.12972954,1.27817671,3.42270104,2.38548472
-5.17758879,6.79321647,3.70248539,0.00000000,0.12905356,1.24797619,3.44700538,2.40219813
-5.17158579,6.74248901,3.70630777,0.00000000,0.12797707,1.21360994,3.45790826,2.41036061
-5.16558279,6.66773893,3.69617685,0.00000000,0.12648518,1.17534826,3.45448586,2.40915297
-5.15957979,6.56839448,3.67122404,0.00000000,0.12456876,1.13354565,3.43608587,2.39792637
-5.15357679,6.44437651,3.63087410,0.00000000,0.12222532,1.08863368,3.40235644,2.37622964
-5.14757379,6.29612116,3.57487293,0.00000000,0.11945964,1.04111186,3.35326559,2.34382958
-5.14157079,6.12458520,3.50330393,0.00000000,0.11628415,0.99153676,3.28911005,2.30072346
-5.13556778,5.93123419,3.41659225,0.00000000,0.11271913,0.94051005,3.21051335,2.24714315
-5.12956478,5.71801375,3.31549694,0.00000000,0.10879251,0.88866573,3.11841322,2.18355070
-5.12356178,5.48730544,3.20109134,0.00000000,0.10453950,0.83665724,3.01403886,2.11062582
-5.11755878,5.24186912,3.07473285,0.00000000,0.10000198,0.78514487,2.89887919,2.02924580
-5.11155578,4.98477431,2.93802354,0.00000000,0.09522758,0.73478368,2.77464338,1.94045902
-5.10555278,4.71932344,2.79276342,0.00000000,0.09026865,0.68621252,2.64321533,1.84545321
-5.09954977,4.44896992,2.64089850,0.00000000,0.08518109,0.64004414,2.50660398,1.74552007
-5.09354677,4.17723423,2.48446597,0.00000000,0.08002305,0.59685666,2.36689126,1.64201769
-5.08754377,3.90762101,2.32553853,0.00000000,0.07485361,0.55718637,2.22617967,1.53633245
-5.08154077,3.64353983,2.16617030,0.00000000,0.06973148,0.52152197,2.08654128,1.42984190
-5.07553777,3.38823213,2.00834596,0.00000000,0.06471373,0.49029989,1.94996967,1.32387992
-5.06953477,3.14470621,1.85393508,0.00000000,0.05985467,0.46390094,1.81833634,1.21970538
-5.06353177,2.91568188,1.70465261,0.00000000,0.05520480,0.44264774,1.69335260,1.11847532
-5.05752876,2.70354563,1.56202682,0.00000000,0.05080995,0.42680309,1.57653782,1.02122306
-5.05152576,2.51031697,1.42737497,0.00000000,0.04671063,0.41656892,1.46919444,0.92884186
-5.04552276,2.33762587,1.30178695,0.00000000,0.04294144,0.41208581,1.37239015,0.84207415
-5.03951976,2.18670114,1.18611683,0.00000000,0.03953085,0.41343291,1.28694699,0.76150614
-5.03351676,2.05836886,1.08098170,0.00000000,0.03650095,0.42062826,1.21343725,0.68756750
-5.02751376,1.95306017,0.98676713,0.00000000,0.03386757,0.43362947,1.15218559,0.62053567
-5.02151076,1.87082717,0.90363843,0.00000000,0.03164035,0.45233482,1.10327695,0.56054399
-5.01550775,1.81136589,0.83155663,0.00000000,0.02982308,0.47658477,1.06656932,0.50759305
-5.00950475,1.77404489,0.77029815,0.00000000,0.02841408,0.50616407,1.04171083,0.46156449
-5.00350175,1.75793855,0.71947716,0.00000000,0.02740666,0.54080440,1.02816030,0.42223644
