energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.38375780,0.00471108,0.05631846,0.36007376,0.08829867,0.56475717,0.00000000,0.25034288,0.28213331
-5.99399700,1.38336480,0.00566530,0.05288529,0.35856888,0.09368120,0.57281535,0.00000000,0.24708684,0.27671005
-5.98799400,1.39198473,0.00680881,0.05039452,0.35710714,0.10062923,0.58386198,0.00000000,0.24766271,0.27235772
-5.98199100,1.41117621,0.00816414,0.04885471,0.35604788,0.10934858,0.59867000,0.00000000,0.25229613,0.26929906
-5.97598799,1.44256580,0.00975446,0.04826864,0.35577751,0.12005346,0.61805258,0.00000000,0.26119897,0.26777230
-5.96998499,1.48780331,0.01160311,0.04863360,0.35669795,0.13296144,0.64284021,0.00000000,0.27456438,0.26802438
-5.96398199,1.54850919,0.01373312,0.04994136,0.35921378,0.14828745,0.67385450,0.00000000,0.29256010,0.27030286
-5.95797899,1.62621550,0.01616662,0.05217773,0.36371875,0.16623685,0.71187934,0.00000000,0.31532025,0.27484684
-5.95197599,1.72230251,0.01892424,0.05532187,0.37058202,0.18699773,0.75763054,0.00000000,0.34293601,0.28187722
-5.94597299,1.83793336,0.02202446,0.05934529,0.38013462,0.21073274,0.81172472,0.00000000,0.37544560,0.29158675
-5.93996998,1.97398964,0.02548300,0.06421087,0.39265681,0.23757066,0.87464880,0.00000000,0.41282431,0.30413030
-5.93396698,2.13101066,0.02931222,0.06987178,0.40836659,0.26759804,0.94673133,0.00000000,0.45497514,0.31961585
-5.92796398,2.30913960,0.03352062,0.07627059,0.42741009,0.30085127,1.02811681,0.00000000,0.50172076,0.33809659
-5.92196098,2.50807936,0.03811242,0.08333868,0.44985399,0.33730949,1.11874437,0.00000000,0.55279760,0.35956461
-5.91595798,2.72706097,0.04308729,0.09099601,0.47568047,0.37688866,1.21833200,0.00000000,0.60785244,0.38394661
-5.90995498,2.96482679,0.04844027,0.09915136,0.50478494,0.41943727,1.32636719,0.00000000,0.66644238,0.41110186
-5.90395198,3.21963048,0.05416182,0.10770318,0.53697651,0.46473379,1.44210496,0.00000000,0.72803828,0.44082270
-5.89794897,3.48925494,0.06023811,0.11654105,0.57198147,0.51248648,1.56457385,0.00000000,0.79203208,0.47283765
-5.89194597,3.77104861,0.06665154,0.12554775,0.60944949,0.56233535,1.69259000,0.00000000,0.85774791,0.50681723
-5.88594297,4.06197977,0.07338134,0.13460186,0.64896249,0.61385678,1.82477936,0.00000000,0.92445690,0.54238230
-5.87993997,4.35870759,0.08040447,0.14358093,0.69004582,0.66657042,1.95960750,0.00000000,0.99139516,0.57911462
-5.87393697,4.65766774,0.08769651,0.15236500,0.73218131,0.71994851,2.09541623,0.00000000,1.05778424,0.61656941
-5.86793397,4.95516943,0.09523267,0.16084036,0.77482176,0.77342725,2.23046581,0.00000000,1.12285350,0.65428922
-5.86193097,5.24750037,0.10298885,0.16890335,0.81740635,0.82641993,2.36298138,0.00000000,1.18586300,0.69181864
-5.85592796,5.53103500,0.11094254,0.17646398,0.85937620,0.87833129,2.49120156,0.00000000,1.24612618,0.72871919
-5.84992496,5.80234155,0.11907364,0.18344925,0.90018967,0.92857261,2.61342767,0.00000000,1.30303093,0.76458354
-5.84392196,6.05828290,0.12736503,0.18980591,0.93933671,0.97657695,2.72807117,0.00000000,1.35605810,0.79904850
-5.83791896,6.29610658,0.13580287,0.19550238,0.97635166,1.02181386,2.83369754,0.00000000,1.40479629,0.83180600
-5.83191596,6.51351954,0.14437657,0.20052991,1.01082406,1.06380300,2.92906461,0.00000000,1.44895217,0.86261149
-5.82591296,6.70874394,0.15307834,0.20490264,1.04240700,1.10212600,3.01315373,0.00000000,1.48835558,0.89128926
-5.81990995,6.88055129,0.16190239,0.20865662,1.07082284,1.13643609,3.08519230,0.00000000,1.52295906,0.91773430
-5.81390695,7.02827304,0.17084367,0.21184778,1.09586594,1.16646508,3.14466688,0.00000000,1.55283180,0.94191066
-5.80790395,7.15178715,0.17989635,0.21454885,1.11740263,1.19202741,3.19132637,0.00000000,1.57814811,0.96384616
-5.80190095,7.25148152,0.18905191,0.21684545,1.13536821,1.21302103,3.22517513,0.00000000,1.59917106,0.98362387
-5.79589795,7.32819598,0.19829713,0.21883136,1.14976158,1.22942526,3.24645676,0.00000000,1.61623210,1.00137066
-5.78989495,7.38314634,0.20761191,0.22060338,1.16063758,1.24129568,3.25562936,0.00000000,1.62970778,1.01724358
-5.78389195,7.41783445,0.21696725,0.22225591,1.16809769,1.24875635,3.25333379,0.00000000,1.63999469,1.03141464
-5.77788894,7.43394929,0.22632331,0.22387553,1.17227952,1.25198994,3.24035658,0.00000000,1.64748423,1.04405507
-5.77188594,7.43326459,0.23562796,0.22553592,1.17334590,1.25122613,3.21758955,0.00000000,1.65253849,1.05531985
-5.76588294,7.41753847,0.24481574,0.22729338,1.17147382,1.24672903,3.18598815,0.00000000,1.65546850,1.06533351
-5.75987994,7.38842071,0.25380755,0.22918315,1.16684425,1.23878428,3.14653080,0.00000000,1.65651638,1.07417805
-5.75387694,7.34737255,0.26251098,0.23121677,1.15963306,1.22768647,3.10018099,0.00000000,1.65584204,1.08188374
-5.74787394,7.29560322,0.27082154,0.23338068,1.15000361,1.21372749,3.04785413,0.00000000,1.65351550,1.08842341
-5.74187094,7.23402648,0.27862467,0.23563601,1.13810143,1.19718646,2.99039048,0.00000000,1.64951495,1.09371064
-5.73586793,7.16323917,0.28579861,0.23791979,1.12405107,1.17832165,2.92853527,0.00000000,1.64373092,1.09760201
-5.72986493,7.08352223,0.29221792,0.24014735,1.10795539,1.15736468,2.86292654,0.00000000,1.63597607,1.09990328
-5.72386193,6.99486379,0.29775770,0.24221584,1.08989701,1.13451729,2.79409092,0.00000000,1.62600010,1.10037934
-5.71785893,6.89700215,0.30229819,0.24400878,1.06994190,1.10995060,2.72244691,0.00000000,1.61350882,1.09876715
-5.71185593,6.78948554,0.30572957,0.24540132,1.04814463,1.08380678,2.64831507,0.00000000,1.59818632,1.09479113
-5.70585293,6.67174460,0.30795682,0.24626595,1.02455500,1.05620290,2.57193377,0.00000000,1.57971889,1.08818002
-5.69984992,6.54317274,0.30890419,0.24647843,0.99922535,1.02723642,2.49347920,0.00000000,1.55781919,1.07868430
-5.69384692,6.40320923,0.30851929,0.24592358,0.97221815,0.99699205,2.41308808,0.00000000,1.53224945,1.06609297
-5.68784392,6.25141971,0.30677628,0.24450069,0.94361312,0.96554918,2.33088121,0.00000000,1.50284219,1.05024903
-5.68184092,6.08756919,0.30367820,0.24212828,0.91351356,0.93298946,2.24698632,0.00000000,1.46951744,1.03106239
-5.67583792,5.91168314,0.29925815,0.23874796,0.88205115,0.89940392,2.16155864,0.00000000,1.43229530,1.00851978
