energy_ev,total_up,Cu_p_up,Cu_d_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up
-6.00000000,3.60466199,1.98472021,1.80795702,0.21991300,0.00000000,1.42703069,0.00000000
-5.99399700,3.58185428,1.96466686,1.79963778,0.22038062,0.00000000,1.41351317,0.00000000
-5.98799400,3.54344737,1.93708799,1.78302249,0.21987945,0.00000000,1.39414044,0.00000000
-5.98199100,3.48983278,1.90208557,1.75836670,0.21836559,0.00000000,1.36911989,0.00000000
-5.97598799,3.42174929,1.85992761,1.72611283,0.21581632,0.00000000,1.33878759,0.00000000
-5.96998499,3.34028788,1.81105561,1.68689028,0.21223182,0.00000000,1.30360973,0.00000000
-5.96398199,3.24688497,1.75608561,1.64150975,0.20763613,0.00000000,1.26417966,0.00000000
-5.95797899,3.14330354,1.69580259,1.59095130,0.20207717,0.00000000,1.22121033,0.00000000
-5.95197599,3.03160240,1.63114809,1.53634664,0.19562604,0.00000000,1.17552224,0.00000000
-5.94597299,2.91409420,1.56320151,1.47895572,0.18837538,0.00000000,1.12802711,0.00000000
-5.93996998,2.79329350,1.49315568,1.42013851,0.18043703,0.00000000,1.07970777,0.00000000
-5.93396698,2.67185625,1.42228752,1.36132256,0.17193901,0.00000000,1.03159478,0.00000000
-5.92796398,2.55251288,1.35192496,1.30396737,0.16302208,0.00000000,0.98474066,0.00000000
-5.92196098,2.43799696,1.28341139,1.24952670,0.15383584,0.00000000,0.94019241,0.00000000
-5.91595798,2.33097176,1.21806882,1.19940983,0.14453474,0.00000000,0.89896325,0.00000000
-5.90995498,2.23395721,1.15716123,1.15494303,0.13527410,0.00000000,0.86200454,0.00000000
-5.90395198,2.14925932,1.10185928,1.11733239,0.12620617,0.00000000,0.83017863,0.00000000
-5.89794897,2.07890450,1.05320758,1.08762905,0.11747666,0.00000000,0.80423368,0.00000000
-5.89194597,2.02458059,1.01209567,1.06669794,0.10922151,0.00000000,0.78478095,0.00000000
-5.88594297,1.98758655,0.97923340,1.05519096,0.10156433,0.00000000,0.77227563,0.00000000
-5.87993997,1.96879227,0.95513157,1.05352542,0.09461423,0.00000000,0.76700139,0.00000000
-5.87393697,1.96860974,0.94008828,1.06186850,0.08846443,0.00000000,0.76905959,0.00000000
-5.86793397,1.98697658,0.93418130,1.08012821,0.08319124,0.00000000,0.77836318,0.00000000
-5.86193097,2.02335248,0.93726658,1.10795139,0.07885376,0.00000000,0.79463576,0.00000000
-5.85592796,2.07672890,0.94898297,1.14472886,0.07549392,0.00000000,0.81741591,0.00000000
-5.84992496,2.14565195,0.96876276,1.18960785,0.07313703,0.00000000,0.84606676,0.00000000
-5.84392196,2.22825799,0.99584781,1.24151161,0.07179261,0.00000000,0.87979065,0.00000000
-5.83791896,2.32232117,1.02931080,1.29916570,0.07145548,0.00000000,0.91764861,0.00000000
-5.83191596,2.42531176,1.06808072,1.36113047,0.07210696,0.00000000,0.95858425,0.00000000
-5.82591296,2.53446363,1.11097220,1.42583886,0.07371622,0.00000000,1.00145130,0.00000000
-5.81990995,2.64684903,1.15671748,1.49163852,0.07624161,0.00000000,1.04504422,0.00000000
-5.81390695,2.75945847,1.20400025,1.55683694,0.07963195,0.00000000,1.08813082,0.00000000
-5.80790395,2.86928317,1.25149030,1.61974824,0.08382781,0.00000000,1.12948594,0.00000000
-5.80190095,2.97339742,1.29787796,1.67874002,0.08876263,0.00000000,1.16792509,0.00000000
-5.79589795,3.06903814,1.34190721,1.73227875,0.09436386,0.00000000,1.20233693,0.00000000
-5.78989495,3.15367890,1.38240652,1.77897198,0.10055394,0.00000000,1.23171338,0.00000000
-5.78389195,3.22509591,1.41831642,1.81760599,0.10725129,0.00000000,1.25517639,0.00000000
-5.77788894,3.28142359,1.44871314,1.84717742,0.11437123,0.00000000,1.27200034,0.00000000
-5.77188594,3.32119790,1.47282734,1.86691779,0.12182692,0.00000000,1.28162929,0.00000000
-5.76588294,3.34338603,1.49005782,1.87630998,0.12953027,0.00000000,1.28368858,0.00000000
-5.75987994,3.34740153,1.49997959,1.87509632,0.13739295,0.00000000,1.27799032,0.00000000
-5.75387694,3.33310476,1.50234653,1.86327791,0.14532731,0.00000000,1.26453273,0.00000000
-5.74787394,3.30078893,1.49708845,1.84110562,0.15324747,0.00000000,1.24349356,0.00000000
-5.74187094,3.25115289,1.48430329,1.80906324,0.16107026,0.00000000,1.21521794,0.00000000
-5.73586793,3.18526200,1.46424462,1.76784365,0.16871629,0.00000000,1.18020145,0.00000000
-5.72986493,3.10449926,1.43730542,1.71831934,0.17611090,0.00000000,1.13906905,0.00000000
-5.72386193,3.01050897,1.40399878,1.66150859,0.18318500,0.00000000,1.09255118,0.00000000
-5.71785893,2.90513534,1.36493642,1.59853882,0.18987595,0.00000000,1.04145773,0.00000000
-5.71185593,2.79035901,1.32080602,1.53060876,0.19612813,0.00000000,0.98665138,0.00000000
-5.70585293,2.66823362,1.27234810,1.45895095,0.20189346,0.00000000,0.92902102,0.00000000
-5.69984992,2.54082522,1.22033340,1.38479593,0.20713174,0.00000000,0.86945651,0.00000000
-5.69384692,2.41015635,1.16554143,1.30933952,0.21181079,0.00000000,0.80882545,0.00000000
-5.68784392,2.27815661,1.10874092,1.23371404,0.21590642,0.00000000,0.74795275,0.00000000
-5.68184092,2.14662108,1.05067248,1.15896437,0.21940231,0.00000000,0.68760353,0.00000000
-5.67583792,2.01717731,0.99203400,1.08602921,0.22228972,0.00000000,0.62846954,0.00000000
-5.66983492,1.89126130,0.93346897,1.01572785,0.22456709,0.00000000,0.57115936,0.00000000
-5.66383192,1.77010251,0.87555774,0.94875229,0.22623969,0.00000000,0.51619224,0.00000000
-5.65782891,1.65471722,0.81881166,0.88566438,0.22731909,0.00000000,0.46399543,0.00000000
-5.65182591,1.54590973,0.76367013,0.82689760,0.22782277,0.00000000,0.41490461,0.00000000
-5.64582291,1.44428016,0.71050009,0.77276271,0.22777367,0.00000000,0.36916710,0.00000000
-5.63981991,1.35023774,0.65959779,0.72345655,0.22719976,0.00000000,0.32694724,0.00000000
-5.63381691,1.26401832,0.61119246,0.67907323,0.22613368,0.00000000,0.28833350,0.00000000
-5.62781391,1.18570473,0.56545153,0.63961688,0.22461233,0.00000000,0.25334689,0.00000000
-5.62181091,1.11524877,0.52248695,0.60501523,0.22267652,0.00000000,0.22194999,0.00000000
-5.61580790,1.05249372,0.48236230,0.57513329,0.22037051,0.00000000,0.19405643,0.00000000
-5.60980490,0.99719646,0.44510036,0.54978677,0.21774158,0.00000000,0.16954021,0.00000000
-5.60380190,0.94904831,0.41069074,0.52875457,0.21483948,0.00000000,0.14824471,0.00000000
-5.59779890,0.90769420,0.37909746,0.51179023,0.21171588,0.00000000,0.12999107,0.00000000
-5.59179590,0.87274974,0.35026607,0.49863214,0.20842373,0.00000000,0.11458593,0.00000000
-5.58579290,0.84381616,0.32413039,0.48901246,0.20501664,0.00000000,0.10182816,0.00000000
-5.57978989,0.82049312,0.30061849,0.48266490,0.20154821,0.00000000,0.09151484,0.00000000
-5.57378689,0.80238963,0.27965818,0.47933145,0.19807151,0.00000000,0.08344624,0.00000000
-5.56778389,0.78913346,0.26118166,0.47876836,0.19463867,0.00000000,0.07743009,0.00000000
-5.56178089,0.78037928,0.24512969,0.48075155,0.19130067,0.00000000,0.07328493,0.00000000
-5.55577789,0.77581616,0.23145511,0.48508169,0.18810735,0.00000000,0.07084287,0.00000000
-5.54977489,0.77517453,0.22012587,0.49158928,0.18510781,0.00000000,0.06995167,0.00000000
-5.54377189,0.77823304,0.21112770,0.50013958,0.18235110,0.00000000,0.07047636,0.00000000
-5.53776888,0.78482553,0.20446640,0.51063785,0.17988725,0.00000000,0.07230032,0.00000000
-5.53176588,0.79484805,0.20016991,0.52303449,0.17776864,0.00000000,0.07532609,0.00000000
-5.52576288,0.80826585,0.19829007,0.53733015,0.17605165,0.00000000,0.07947577,0.00000000
-5.51975988,0.82512021,0.19890421,0.55358065,0.17479844,0.00000000,0.08469112,0.00000000
-5.51375688,0.84553462,0.20211639,0.57190120,0.17407888,0.00000000,0.09093343,0.00000000
-5.50775388,0.86971993,0.20805833,0.59246983,0.17397230,0.00000000,0.09818307,0.00000000
-5.50175088,0.89797787,0.21688981,0.61552943,0.17456912,0.00000000,0.10643876,0.00000000
-5.49574787,0.93070246,0.22879843,0.64138822,0.17597197,0.00000000,0.11571656,0.00000000
-5.48974487,0.96837868,0.24399864,0.67041813,0.17829639,0.00000000,0.12604854,0.00000000
-5.48374187,1.01157809,0.26272972,0.70305094,0.18167073,0.00000000,0.13748110,0.00000000
-5.47773887,1.06095077,0.28525271,0.73977197,0.18623531,0.00000000,0.15007295,0.00000000
-5.47173587,1.11721373,0.31184606,0.78111117,0.19214069,0.00000000,0.16389281,0.00000000
-5.46573287,1.18113550,0.34279990,0.82763178,0.19954499,0.00000000,0.17901668,0.00000000
-5.45972986,1.25351718,0.37840905,0.87991663,0.20861040,0.00000000,0.19552493,0.00000000
-5.45372686,1.33517038,0.41896461,0.93855255,0.21949878,0.00000000,0.21349904,0.00000000
-5.44772386,1.42689258,0.46474440,1.00411322,0.23236661,0.00000000,0.23301825,0.00000000
-5.44172086,1.52944076,0.51600248,1.07714114,0.24735942,0.00000000,0.25415607,0.00000000
-5.43571786,1.64350416,0.57295796,1.15812933,0.26460586,0.00000000,0.27697678,0.00000000
-5.42971486,1.76967722,0.63578347,1.24750339,0.28421181,0.00000000,0.30153210,0.00000000
-5.42371186,1.90843389,0.70459391,1.34560484,0.30625458,0.00000000,0.32785804,0.00000000
-5.41770885,2.06010420,0.77943568,1.45267621,0.33077767,0.00000000,0.35597214,0.00000000
-5.41170585,2.22485434,0.86027716,1.56884870,0.35778622,0.00000000,0.38587109,0.00000000
-5.40570285,2.40267095,0.94700069,1.69413282,0.38724347,0.00000000,0.41752898,0.00000000
-5.39969985,2.59335051,1.03939667,1.82841249,0.41906842,0.00000000,0.45089616,0.00000000
-5.39369685,2.79649417,1.13715998,1.97144285,0.45313476,0.00000000,0.48589868,0.00000000
-5.38769385,3.01150840,1.23988910,2.12285178,0.48927130,0.00000000,0.52243858,0.00000000
-5.38169085,3.23761133,1.34708804,2.28214512,0.52726383,0.00000000,0.56039473,0.00000000
-5.37568784,3.47384450,1.45817091,2.44871524,0.56685840,0.00000000,0.59962432,0.00000000
-5.36968484,3.71908946,1.57246928,2.62185253,0.60776586,0.00000000,0.63996496,0.00000000
-5.36368184,3.97208837,1.68924175,2.80075929,0.64966763,0.00000000,0.68123710,0.00000000
-5.35767884,4.23146764,1.80768548,2.98456526,0.69222232,0.00000000,0.72324687,0.00000000
-5.35167584,4.49576351,1.92694916,3.17234410,0.73507299,0.00000000,0.76578892,0.00000000
