energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-3.43671836,3.92029643,-1.41059681,1.33157452,-0.62050015,2.62375921,-0.67359338,0.27055767,-0.27324412,0.00185473,-0.00058246,2.27706233,-0.83167466,0.00000000,-0.00000000
-3.43071536,3.91831460,-1.38644707,1.34329836,-0.61068451,2.61816768,-0.66985643,0.28175450,-0.25663433,0.00185908,-0.00054891,2.25978743,-0.83154641,0.00000000,-0.00000000
-3.42471236,3.91105366,-1.36450888,1.35207599,-0.60064621,2.60964749,-0.66808443,0.29225969,-0.23972983,0.00186038,-0.00051540,2.23972088,-0.83298615,0.00000000,-0.00000000
-3.41870935,3.89815717,-1.34581500,1.35758030,-0.59085149,2.59811993,-0.66873960,0.30190958,-0.22278637,0.00185839,-0.00048242,2.21683770,-0.83653203,0.00000000,-0.00000000
-3.41270635,3.87928379,-1.33135929,1.35951755,-0.58176657,2.58349818,-0.67226412,0.31056145,-0.20605077,0.00185286,-0.00045049,2.19110115,-0.84270653,0.00000000,-0.00000000
-3.40670335,3.85413071,-1.32207119,1.35763757,-0.57384418,2.56569939,-0.67906910,0.31809738,-0.18975621,0.00184357,-0.00042006,2.16247148,-0.85200008,0.00000000,-0.00000000
-3.40070035,3.82245826,-1.31879325,1.35174350,-0.56751133,2.54465852,-0.68952483,0.32442739,-0.17411843,0.00183035,-0.00039159,2.13091658,-0.86485613,0.00000000,-0.00000000
-3.39469735,3.78411449,-1.32226247,1.34170073,-0.56315863,2.52034289,-0.70395232,0.32949182,-0.15933296,0.00181309,-0.00036549,2.09642362,-0.88165803,0.00000000,-0.00000000
-3.38869435,3.73905821,-1.33309565,1.32744460,-0.56113159,2.49276678,-0.72261649,0.33326276,-0.14557328,0.00179178,-0.00034213,2.05901119,-0.90271809,0.00000000,-0.00000000
-3.38269135,3.68737917,-1.35177900,1.30898629,-0.56172381,2.46200493,-0.74572086,0.33574449,-0.13298996,0.00176648,-0.00032184,2.01874114,-0.92826915,0.00000000,-0.00000000
-3.37668834,3.62931401,-1.37866190,1.28641669,-0.56517244,2.42820429,-0.77340382,0.33697286,-0.12171062,0.00173735,-0.00030489,1.97572914,-0.95845858,0.00000000,-0.00000000
-3.37068534,3.56525688,-1.41395450,1.25990779,-0.57165555,2.39159287,-0.80573632,0.33701372,-0.11184054,0.00170469,-0.00029153,1.93015349,-0.99334489,0.00000000,-0.00000000
-3.36468234,3.49576381,-1.45772887,1.22971160,-0.58129140,2.35248524,-0.84272080,0.33596038,-0.10346385,0.00166887,-0.00028198,1.88226128,-1.03289672,0.00000000,-0.00000000
-3.35867934,3.42155025,-1.50992303,1.19615631,-0.59413934,2.31128391,-0.88429136,0.33393018,-0.09664506,0.00163038,-0.00027640,1.83237149,-1.07699403,0.00000000,-0.00000000
-3.35267634,3.34348148,-1.57034739,1.15964000,-0.61020204,2.26847628,-0.93031486,0.33106038,-0.09143067,0.00158983,-0.00027495,1.78087466,-1.12543131,0.00000000,-0.00000000
-3.34667334,3.26255610,-1.63869303,1.12062190,-0.62942872,2.22462713,-0.98059278,0.32750340,-0.08785090,0.00154786,-0.00027775,1.72822883,-1.17792246,0.00000000,-0.00000000
-3.34067034,3.17988293,-1.71454119,1.07961154,-0.65171910,2.18036658,-1.03486398,0.32342174,-0.08592114,0.00150522,-0.00028492,1.67495205,-1.23410711,0.00000000,-0.00000000
