energy_ev,total_up,Al_p_up,Al_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.82539608,0.05716040,0.00000000,0.71788984,0.73524468,0.01205390,1.03611375
-5.99399700,1.79394447,0.05682225,0.00000000,0.68886371,0.71915697,0.01188660,1.00356771
-5.98799400,1.77007627,0.05665443,0.00000000,0.66282899,0.70618687,0.01182925,0.97630693
-5.98199100,1.75383222,0.05667113,0.00000000,0.63985226,0.69629037,0.01189511,0.95433039
-5.97598799,1.74516957,0.05688284,0.00000000,0.61995940,0.68939196,0.01209570,0.93758990
-5.96998499,1.74396437,0.05729661,0.00000000,0.60313736,0.68538637,0.01244046,0.92598837
-5.96398199,1.75001636,0.05791646,0.00000000,0.58933785,0.68414135,0.01293660,0.91937994
-5.95797899,1.76305563,0.05874385,0.00000000,0.57848257,0.68550099,0.01358882,0.91757170
-5.95197599,1.78274976,0.05977814,0.00000000,0.57046920,0.68928932,0.01439921,0.92032622
-5.94597299,1.80871072,0.06101698,0.00000000,0.56517785,0.69531351,0.01536701,0.92736452
-5.93996998,1.84050091,0.06245674,0.00000000,0.56247736,0.70336678,0.01648858,0.93836913
-5.93396698,1.87763803,0.06409283,0.00000000,0.56223110,0.71323062,0.01775727,0.95298695
-5.92796398,1.91959881,0.06591988,0.00000000,0.56430213,0.72467639,0.01916346,0.97083202
-5.92196098,1.96582196,0.06793204,0.00000000,0.56855738,0.73746651,0.02069456,0.99148810
-5.91595798,2.01571077,0.07012302,0.00000000,0.57487093,0.75135523,0.02233523,1.01451155
-5.90995498,2.06863609,0.07248624,0.00000000,0.58312637,0.76608947,0.02406751,1.03943457
-5.90395198,2.12394035,0.07501490,0.00000000,0.59321833,0.78140987,0.02587120,1.06576936
-5.89794897,2.18094323,0.07770202,0.00000000,0.60505332,0.79705242,0.02772425,1.09301328
-5.89194597,2.23894938,0.08054051,0.00000000,0.61854992,0.81275082,0.02960321,1.12065547
-5.88594297,2.29725839,0.08352322,0.00000000,0.63363850,0.82823978,0.03148379,1.14818486
-5.87993997,2.35517699,0.08664295,0.00000000,0.65026052,0.84325926,0.03334148,1.17509960
-5.87393697,2.41203289,0.08989243,0.00000000,0.66836746,0.85755952,0.03515215,1.20091765
-5.86793397,2.46718981,0.09326430,0.00000000,0.68791933,0.87090685,0.03689270,1.22518823
-5.86193097,2.52006258,0.09675087,0.00000000,0.70888283,0.88308971,0.03854164,1.24750360
-5.85592796,2.57013143,0.10034398,0.00000000,0.73122907,0.89392477,0.04007962,1.26751057
-5.84992496,2.61695435,0.10403452,0.00000000,0.75493094,0.90326264,0.04148987,1.28492118
-5.84392196,2.66017662,0.10781200,0.00000000,0.77996014,0.91099285,0.04275859,1.29952195
-5.83791896,2.69953666,0.11166392,0.00000000,0.80628394,0.91704761,0.04387506,1.31118111
-5.83191596,2.73486790,0.11557500,0.00000000,0.83386206,0.92140441,0.04483180,1.31985369
-5.82591296,2.76609644,0.11952645,0.00000000,0.86264371,0.92408705,0.04562442,1.32558396
-5.81990995,2.79323495,0.12349514,0.00000000,0.89256535,0.92516521,0.04625145,1.32850546
-5.81390695,2.81637346,0.12745286,0.00000000,0.92354940,0.92475287,0.04671399,1.32883879
-5.80790395,2.83566808,0.13136572,0.00000000,0.95550454,0.92300549,0.04701530,1.32688740
-5.80190095,2.85132902,0.13519371,0.00000000,0.98832771,0.92011672,0.04716029,1.32303210
