energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.78830506,-2.87280157,0.46478759,-1.99480605,0.07427363,-0.45257027,0.13269321,-0.71142732,0.16649355,-0.21167042,0.00026318,-0.00024902,0.00899083,-0.06659431,0.00901342,-0.01563536,0.47315727,-1.83441991
-5.99399700,0.76347470,-2.81881911,0.44937557,-1.95644625,0.07031651,-0.44336559,0.12473867,-0.69550869,0.16347865,-0.20829516,0.00023421,-0.00025290,0.00837857,-0.06509774,0.00892964,-0.01558687,0.45885972,-1.80081116
-5.98799400,0.74111488,-2.75326990,0.43599287,-1.90978699,0.06693143,-0.43203565,0.11806038,-0.67699606,0.16048602,-0.20408950,0.00020713,-0.00025685,0.00785260,-0.06353121,0.00881699,-0.01550019,0.44608025,-1.75960176
-5.98199100,0.72096377,-2.67755560,0.42453106,-1.85582234,0.06406895,-0.41881436,0.11259052,-0.65625448,0.15747251,-0.19915046,0.00018204,-0.00026072,0.00740994,-0.06192153,0.00867358,-0.01537955,0.43467045,-1.71169004
-5.97598799,0.70281687,-2.59318304,0.41489452,-1.79562837,0.06168504,-0.40395990,0.10826025,-0.63366544,0.15441259,-0.19358243,0.00015901,-0.00026440,0.00704871,-0.06029239,0.00849862,-0.01522925,0.42451296,-1.65804727
-5.96998499,0.68653227,-2.50171173,0.40700122,-1.73032546,0.05974212,-0.38774620,0.10500087,-0.60961456,0.15129923,-0.18749329,0.00013806,-0.00026776,0.00676838,-0.05866356,0.00829251,-0.01505345,0.41552400,-1.59968369
-5.96398199,0.67203237,-2.40470350,0.40078215,-1.66104194,0.05820966,-0.37045454,0.10274454,-0.58448004,0.14814398,-0.18099082,0.00011917,-0.00027071,0.00657003,-0.05705037,0.00805684,-0.01485590,0.40765403,-1.53761582
-5.95797899,0.65930220,-2.30367659,0.39617954,-1.58888045,0.05706437,-0.35236536,0.10142464,-0.55862237,0.14497622,-0.17417935,0.00010230,-0.00027317,0.00645643,-0.05546336,0.00779438,-0.01463988,0.40088642,-1.47283634
-5.95197599,0.64838475,-2.20006598,0.39314411,-1.51488859,0.05629001,-0.33375088,0.10097576,-0.53237578,0.14184166,-0.16715700,0.00008737,-0.00027505,0.00643218,-0.05390828,0.00750900,-0.01440802,0.39523445,-1.40628793
-5.94597299,0.63937358,-2.09519152,0.39163148,-1.44003486,0.05587689,-0.31486859,0.10133350,-0.50604157,0.13880026,-0.16001351,0.00007429,-0.00027627,0.00650366,-0.05238627,0.00720555,-0.01416232,0.39073686,-1.33884204
