energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,4.81118882,-4.81118848,0.06270837,-0.06270836,0.86169551,-0.86169544,1.82313930,-1.82313920,1.02725212,-1.02725202,0.60099719,-0.60099717,0.25694427,-0.25694425,1.84684177,-1.84684166,0.00000000,-0.00000000
-5.99399700,4.91653410,-4.91653376,0.06629033,-0.06629033,0.89558097,-0.89558090,1.87387689,-1.87387679,1.05281194,-1.05281183,0.61045645,-0.61045643,0.26518226,-0.26518224,1.86505333,-1.86505322,0.00000000,-0.00000000
-5.98799400,5.01749188,-5.01749155,0.06984352,-0.06984351,0.92795818,-0.92795810,1.92024792,-1.92024783,1.07829977,-1.07829966,0.61986028,-0.61986027,0.27309849,-0.27309847,1.88222161,-1.88222151,0.00000000,-0.00000000
-5.98199100,5.11047620,-5.11047590,0.07330517,-0.07330516,0.95799692,-0.95799685,1.96072626,-1.96072618,1.10294594,-1.10294584,0.62867788,-0.62867786,0.28049813,-0.28049812,1.89724439,-1.89724430,0.00000000,-0.00000000
-5.97598799,5.19195318,-5.19195290,0.07661076,-0.07661075,0.98489169,-0.98489162,1.99389805,-1.99389798,1.12595048,-1.12595038,0.63640222,-0.63640220,0.28718700,-0.28718699,1.90903363,-1.90903354,0.00000000,-0.00000000
-5.96998499,5.25856300,-5.25856275,0.07969560,-0.07969560,1.00788689,-1.00788683,2.01850963,-2.01850957,1.14650907,-1.14650898,0.64256868,-0.64256867,0.29297804,-0.29297802,1.91655738,-1.91655731,0.00000000,-0.00000000
-5.96398199,5.30723857,-5.30723836,0.08249666,-0.08249665,1.02630079,-1.02630074,2.03350993,-2.03350989,1.16384022,-1.16384014,0.64677202,-0.64677201,0.29769793,-0.29769792,1.91888086,-1.91888080,0.00000000,-0.00000000
-5.95797899,5.33531559,-5.33531542,0.08495444,-0.08495443,1.03954706,-1.03954702,2.03808546,-2.03808542,1.17721238,-1.17721231,0.64868101,-0.64868101,0.30119356,-0.30119355,1.91520454,-1.91520449,0.00000000,-0.00000000
-5.95197599,5.34062941,-5.34062929,0.08701499,-0.08701498,1.04715323,-1.04715319,2.03168655,-2.03168653,1.18596983,-1.18596977,0.64805020,-0.64805020,0.30333788,-0.30333788,1.90489776,-1.90489773,0.00000000,-0.00000000
-5.94597299,5.32159445,-5.32159437,0.08863175,-0.08863175,1.04877514,-1.04877512,2.01404400,-2.01404400,1.18955631,-1.18955626,0.64472831,-0.64472832,0.30403504,-0.30403504,1.88752618,-1.88752617,0.00000000,-0.00000000
-5.93996998,5.27726272,-5.27726270,0.08976733,-0.08976733,1.04420706,-1.04420705,1.98517536,-1.98517538,1.18753514,-1.18753511,0.63866306,-0.63866307,0.30322449,-0.30322449,1.86287186,-1.86287187,0.00000000,-0.00000000
-5.93396698,5.20735918,-5.20735921,0.09039490,-0.09039490,1.03338688,-1.03338687,1.94538106,-1.94538109,1.17960517,-1.17960516,0.62990222,-0.62990223,0.30088386,-0.30088387,1.83094510,-1.83094512,0.00000000,-0.00000000
-5.92796398,5.11229244,-5.11229253,0.09049938,-0.09049939,1.01639639,-1.01639639,1.89523048,-1.89523053,1.16561166,-1.16561166,0.61859091,-0.61859093,0.29703047,-0.29703048,1.79198753,-1.79198758,0.00000000,-0.00000000
-5.92196098,4.99314060,-4.99314074,0.09007820,-0.09007820,0.99345668,-0.99345669,1.83553913,-1.83553919,1.14555175,-1.14555177,0.60496539,-0.60496542,0.29172139,-0.29172140,1.74646635,-1.74646641,0.00000000,-0.00000000
-5.91595798,4.85161316,-4.85161335,0.08914153,-0.08914153,0.96491890,-0.96491893,1.76733779,-1.76733786,1.11957430,-1.11957433,0.58934362,-0.58934365,0.28505211,-0.28505212,1.69505999,-1.69506007,0.00000000,-0.00000000
-5.90995498,4.68999102,-4.68999126,0.08771216,-0.08771217,0.93125095,-0.93125099,1.69183543,-1.69183552,1.08797414,-1.08797419,0.57211296,-0.57211299,0.27715375,-0.27715377,1.63863605,-1.63863614,0.00000000,-0.00000000
-5.90395198,4.51104745,-4.51104774,0.08582492,-0.08582493,0.89302061,-0.89302065,1.61037742,-1.61037751,1.05118112,-1.05118119,0.55371575,-0.55371579,0.26818912,-0.26818914,1.57822239,-1.57822250,0.00000000,-0.00000000
-5.89794897,4.31795376,-4.31795408,0.08352556,-0.08352557,0.85087607,-0.85087613,1.52440099,-1.52440110,1.00974452,-1.00974460,0.53463325,-0.53463329,0.25834758,-0.25834761,1.51497291,-1.51497302,0.00000000,-0.00000000
-5.89194597,4.11417392,-4.11417427,0.08086937,-0.08086938,0.80552463,-0.80552469,1.43538984,-1.43538995,0.96431354,-0.96431362,0.51536856,-0.51536861,0.24783924,-0.24783926,1.45012932,-1.45012945,0.00000000,-0.00000000
-5.88594297,3.90335288,-3.90335327,0.07791942,-0.07791944,0.75771045,-0.75771052,1.34482961,-1.34482972,0.91561491,-0.91561501,0.49642946,-0.49642951,0.23688838,-0.23688840,1.38498088,-1.38498102,0.00000000,-0.00000000
-5.87993997,3.68920314,-3.68920355,0.07474460,-0.07474462,0.70819233,-0.70819240,1.25416599,-1.25416611,0.86442865,-0.86442876,0.47831153,-0.47831158,0.22572675,-0.22572678,1.32082347,-1.32082361,0.00000000,-0.00000000
-5.87393697,3.47539418,-3.47539461,0.07141745,-0.07141747,0.65772240,-0.65772247,1.16476689,-1.16476701,0.81156298,-0.81156309,0.46148241,-0.46148247,0.21458677,-0.21458680,1.25891989,-1.25892003,0.00000000,-0.00000000
-5.86793397,3.26544900,-3.26544944,0.06801200,-0.06801201,0.60702637,-0.60702644,1.07788972,-1.07788984,0.75782953,-0.75782965,0.44636772,-0.44636778,0.20369495,-0.20369498,1.20046282,-1.20046297,0.00000000,-0.00000000
-5.86193097,3.06265130,-3.06265174,0.06460161,-0.06460162,0.55678611,-0.55678619,0.99465484,-0.99465496,0.70401983,-0.70401995,0.43333898,-0.43333904,0.19326586,-0.19326589,1.14654173,-1.14654188,0.00000000,-0.00000000
-5.85592796,2.86996632,-2.86996676,0.06125696,-0.06125697,0.50762502,-0.50762510,0.91602546,-0.91602558,0.65088395,-0.65088407,0.42270410,-0.42270415,0.18349676,-0.18349679,1.09811476,-1.09811491,0.00000000,-0.00000000
-5.84992496,2.68997731,-2.68997774,0.05804421,-0.05804422,0.46009647,-0.46009654,0.84279440,-0.84279452,0.59911204,-0.59911216,0.41470049,-0.41470055,0.17456306,-0.17456308,1.05598652,-1.05598668,0.00000000,-0.00000000
-5.84392196,2.52483905,-2.52483947,0.05502340,-0.05502341,0.41467553,-0.41467560,0.77557743,-0.77557754,0.54931921,-0.54931932,0.40949114,-0.40949120,0.16661471,-0.16661474,1.02079209,-1.02079224,0.00000000,-0.00000000
-5.83791896,2.37624864,-2.37624905,0.05224722,-0.05224723,0.37175407,-0.37175414,0.71481284,-0.71481295,0.50203418,-0.50203429,0.40716340,-0.40716346,0.15977367,-0.15977370,0.99298736,-0.99298750,0.00000000,-0.00000000
-5.83191596,2.24543328,-2.24543367,0.04975998,-0.04976000,0.33163889,-0.33163896,0.66076673,-0.66076683,0.45769185,-0.45769195,0.40773052,-0.40773058,0.15413229,-0.15413232,0.97284576,-0.97284590,0.00000000,-0.00000000
-5.82591296,2.13315378,-2.13315415,0.04759705,-0.04759707,0.29455287,-0.29455293,0.61354298,-0.61354307,0.41662954,-0.41662964,0.41113573,-0.41113579,0.14975266,-0.14975268,0.96046071,-0.96046085,0.00000000,-0.00000000
-5.81990995,2.03972212,-2.03972248,0.04578450,-0.04578451,0.26063854,-0.26063860,0.57309727,-0.57309736,0.37908692,-0.37908702,0.41725831,-0.41725836,0.14666686,-0.14666688,0.95575337,-0.95575350,0.00000000,-0.00000000
