energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.97687209,0.01104597,0.00020002,0.00836801,0.73688503,0.70521210,0.38154661
-5.99399700,1.03004875,0.01187220,0.00020710,0.00862096,0.77882598,0.74538443,0.40208781
-5.98799400,1.08680925,0.01277315,0.00021443,0.00885254,0.82388206,0.78810568,0.42442559
-5.98199100,1.14704805,0.01375244,0.00022202,0.00906140,0.87198012,0.83326860,0.44855228
-5.97598799,1.21069608,0.01481319,0.00022992,0.00924702,0.92306921,0.88078753,0.47447434
-5.96998499,1.27770914,0.01595773,0.00023818,0.00940979,0.97711123,0.93059369,0.50220533
-5.96398199,1.34805271,0.01718715,0.00024687,0.00955085,1.03406911,0.98262819,0.53175748
-5.95797899,1.42168426,0.01850097,0.00025606,0.00967206,1.09389312,1.03683332,0.56313241
-5.95197599,1.49853412,0.01989673,0.00026585,0.00977580,1.15650637,1.09314263,0.59631139
-5.94597299,1.57848620,0.02136968,0.00027630,0.00986484,1.22179042,1.15147074,0.63124604
-5.93996998,1.66136009,0.02291250,0.00028750,0.00994211,1.28957217,1.21170368,0.66784989
-5.93396698,1.74689582,0.02451516,0.00029950,0.01001053,1.35961289,1.27369052,0.70599154
-5.92796398,1.83474256,0.02616478,0.00031234,0.01007280,1.43160059,1.33723724,0.74548991
-5.92196098,1.92445239,0.02784578,0.00032605,0.01013121,1.50514634,1.40210330,0.78611211
-5.91595798,2.01547986,0.02953998,0.00034062,0.01018752,1.57978521,1.46800151,0.82757413
-5.90995498,2.10718781,0.03122702,0.00035603,0.01024281,1.65498196,1.53460134,0.86954453
-5.90395198,2.19885937,0.03288474,0.00037220,0.01029740,1.73014165,1.60153571,0.91165113
-5.89794897,2.28971579,0.03448981,0.00038907,0.01035083,1.80462457,1.66841081,0.95349037
-5.89194597,2.37893916,0.03601839,0.00040653,0.01040187,1.87776484,1.73481855,0.99463891
-5.88594297,2.46569880,0.03744685,0.00042446,0.01044857,1.94889171,1.80035059,1.03466695
-5.87993997,2.54917973,0.03875256,0.00044272,0.01048839,2.01735224,1.86461307,1.07315243
-5.87393697,2.62861141,0.03991463,0.00046118,0.01051829,2.08253394,1.92724086,1.10969532
-5.86793397,2.70329493,0.04091463,0.00047969,0.01053495,2.14388590,1.98791010,1.14393120
-5.86193097,2.77262666,0.04173724,0.00049810,0.01053488,2.20093696,2.04634801,1.17554313
-5.85592796,2.83611684,0.04237074,0.00051626,0.01051470,2.25330959,2.10233890,1.20427125
-5.84992496,2.89340163,0.04280738,0.00053406,0.01047122,2.30072850,2.15572574,1.22991931
-5.84392196,2.94424770,0.04304361,0.00055136,0.01040170,2.34302319,2.20640686,1.25235774
-5.83791896,2.98854898,0.04308006,0.00056806,0.01030390,2.38012424,2.25432775,1.27152315
-5.83191596,3.02631556,0.04292145,0.00058406,0.01017627,2.41205330,2.29946828,1.28741408
-5.82591296,3.05765552,0.04257624,0.00059925,0.01001799,2.43890763,2.34182609,1.30008343
-5.81990995,3.08275084,0.04205619,0.00061356,0.00982899,2.46083994,2.38139736,1.30962806
-5.81390695,3.10182910,0.04137576,0.00062690,0.00960998,2.47803511,2.41815609,1.31617615
-5.80790395,3.11513297,0.04055149,0.00063918,0.00936237,2.49068522,2.45203367,1.31987332
-5.80190095,3.12288963,0.03960126,0.00065031,0.00908826,2.49896493,2.48290039,1.32086843
-5.79589795,3.12528251,0.03854359,0.00066018,0.00879026,2.50300873,2.51055025,1.31929998
-5.78989495,3.12242734,0.03739695,0.00066869,0.00847144,2.50289208,2.53469082,1.31528421
-5.78389195,3.11435451,0.03617914,0.00067570,0.00813517,2.49861764,2.55493915,1.30890556
-5.77788894,3.10099893,0.03490678,0.00068109,0.00778500,2.49010788,2.57082444,1.30021030
