energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,1.78975962,0.14581735,0.81698076,0.00284754,0.03462703,0.31514136,0.73470304,0.00921718,0.22238428
-5.99399700,1.87664531,0.15196729,0.86094663,0.00294770,0.03530342,0.31960616,0.77233736,0.00914874,0.23293374
-5.98799400,1.96145693,0.15768085,0.90427255,0.00304045,0.03586620,0.32301780,0.80939278,0.00903804,0.24299846
-5.98199100,2.04367811,0.16289421,0.94663469,0.00312479,0.03632196,0.32544568,0.84568218,0.00889046,0.25248276
-5.97598799,2.12280577,0.16754984,0.98770214,0.00319976,0.03668019,0.32697785,0.88102360,0.00871224,0.26129690
-5.96998499,2.19835732,0.17159821,1.02714199,0.00326437,0.03695309,0.32771797,0.91524266,0.00851036,0.26935915
-5.96398199,2.26987915,0.17499960,1.06462549,0.00331770,0.03715528,0.32778220,0.94817520,0.00829231,0.27659789
-5.95797899,2.33695611,0.17772571,1.09983531,0.00335890,0.03730347,0.32729598,0.97967032,0.00806593,0.28295348
-5.95197599,2.39922179,0.17976122,1.13247346,0.00338723,0.03741606,0.32639113,1.00959338,0.00783917,0.28838012
-5.94597299,2.45636930,0.18110500,1.16226978,0.00340206,0.03751273,0.32520311,1.03782928,0.00761991,0.29284738
-5.93996998,2.50816195,0.18177117,1.18899055,0.00340299,0.03761394,0.32386879,1.06428552,0.00741578,0.29634140
-5.93396698,2.55444333,0.18178977,1.21244683,0.00338979,0.03774049,0.32252453,1.08889508,0.00723402,0.29886585
-5.92796398,2.59514630,0.18120703,1.23250218,0.00336249,0.03791305,0.32130488,1.11161895,0.00708125,0.30044234
-5.92196098,2.63030026,0.18008533,1.24907928,0.00332141,0.03815172,0.32034157,1.13244805,0.00696346,0.30111047
-5.91595798,2.66003619,0.17850266,1.26216511,0.00326715,0.03847560,0.31976302,1.15140452,0.00688583,0.30092747
-5.90995498,2.68458912,0.17655176,1.27181439,0.00320064,0.03890246,0.31969409,1.16854222,0.00685267,0.29996739
-5.90395198,2.70429757,0.17433886,1.27815099,0.00312308,0.03944845,0.32025609,1.18394630,0.00686742,0.29831990
-5.89794897,2.71959993,0.17198211,1.28136709,0.00303602,0.04012786,0.32156691,1.19773188,0.00693254,0.29608877
-5.89194597,2.73102760,0.16960969,1.28172024,0.00294126,0.04095303,0.32374118,1.21004182,0.00704959,0.29339009
-5.88594297,2.73919502,0.16735772,1.27952802,0.00284090,0.04193426,0.32689036,1.22104355,0.00721917,0.29035023
-5.87993997,2.74478687,0.16536799,1.27516078,0.00273721,0.04307990,0.33112262,1.23092512,0.00744098,0.28710367
-5.87393697,2.74854268,0.16378556,1.26903241,0.00263266,0.04439644,0.33654259,1.23989049,0.00771389,0.28379068
-5.86793397,2.75123933,0.16275631,1.26158960,0.00252985,0.04588870,0.34325068,1.24815429,0.00803593,0.28055502
-5.86193097,2.75367200,0.16242437,1.25329990,0.00243141,0.04756004,0.35134226,1.25593604,0.00840443,0.27754145
-5.85592796,2.75663397,0.16292960,1.24463886,0.00234000,0.04941266,0.36090632,1.26345422,0.00881604,0.27489339
-5.84992496,2.76089595,0.16440506,1.23607695,0.00225818,0.05144778,0.37202394,1.27092012,0.00926686,0.27275040
-5.84392196,2.76718544,0.16697440,1.22806627,0.00218842,0.05366591,0.38476633,1.27853179,0.00975250,0.27124575
-5.83791896,2.77616662,0.17074933,1.22102786,0.00213297,0.05606696,0.39919265,1.28646820,0.01026819,0.27050386
-5.83191596,2.78842131,0.17582702,1.21533968,0.00209384,0.05865036,0.41534751,1.29488373,0.01080889,0.27063774
-5.82591296,2.80443143,0.18228746,1.21132575,0.00207275,0.06141494,0.43325832,1.30390322,0.01136936,0.27174635
-5.81990995,2.82456340,0.19019090,1.20924672,0.00207104,0.06435881,0.45293247,1.31361763,0.01194427,0.27391194
-5.81390695,2.84905478,0.19957523,1.20929203,0.00208968,0.06747905,0.47435447,1.32408049,0.01252829,0.27719735
-5.80790395,2.87800373,0.21045347,1.21157407,0.00212920,0.07077127,0.49748312,1.33530522,0.01311615,0.28164342
-5.80190095,2.91136137,0.22281135,1.21612434,0.00218967,0.07422905,0.52224892,1.34726348,0.01370273,0.28726644
-5.79589795,2.94892763,0.23660526,1.22289169,0.00227068,0.07784333,0.54855175,1.35988470,0.01428309,0.29405590
-5.78989495,2.99035076,0.25176037,1.23174304,0.00237135,0.08160174,0.57625909,1.37305670,0.01485253,0.30197262
-5.78389195,3.03513092,0.26816943,1.24246620,0.00249029,0.08548788,0.60520492,1.38662783,0.01540659,0.31094731
-5.77788894,3.08262806,0.28569207,1.25477520,0.00262566,0.08948069,0.63518948,1.40041037,0.01594108,0.32087988
-5.77188594,3.13207432,0.30415508,1.26831783,0.00277517,0.09355398,0.66598020,1.41418546,0.01645208,0.33163945
-5.76588294,3.18259115,0.32335345,1.28268542,0.00293609,0.09767601,0.69731382,1.42770961,0.01693593,0.34306541
-5.75987994,3.23321100,0.34305262,1.29742471,0.00310536,0.10180940,0.72889999,1.44072254,0.01738921,0.35496939
-5.75387694,3.28290357,0.36299183,1.31205149,0.00327959,0.10591126,0.76042637,1.45295655,0.01780875,0.36713835
-5.74787394,3.33060605,0.38288862,1.32606588,0.00345517,0.10993361,0.79156528,1.46414715,0.01819163,0.37933885
-5.74187094,3.37525697,0.40244458,1.33896866,0.00362835,0.11382415,0.82198187,1.47404466,0.01853516,0.39132220
-5.73586793,3.41583254,0.42135201,1.35027836,0.00379532,0.11752732,0.85134359,1.48242662,0.01883694,0.40283070
-5.72986493,3.45138458,0.43930161,1.35954841,0.00395229,0.12098566,0.87933070,1.48911051,0.01909486,0.41360451
-5.72386193,3.48107855,0.45599076,1.36638387,0.00409565,0.12414142,0.90564753,1.49396630,0.01930720,0.42338917
-5.71785893,3.50423014,0.47113215,1.37045693,0.00422201,0.12693836,0.93003383,1.49692837,0.01947266,0.43194328
-5.71185593,3.52033888,0.48446242,1.37152068,0.00432834,0.12932364,0.95227584,1.49800607,0.01959045,0.43904617
-5.70585293,3.52911681,0.49575049,1.36942026,0.00441203,0.13124978,0.97221635,1.49729248,0.01966040,0.44450517
-5.69984992,3.53051077,0.50480503,1.36410095,0.00447100,0.13267644,0.98976314,1.49497055,0.01968299,0.44816216
